,Gyro 0,Gyro 1,Gyro 2,Label,Orientation 0,Orientation 1,Orientation 2,Orientation 3,Sensor 0,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Timestamp
0,152.0,0.0,-25.0,1.0,-5410.0,-10329.0,-4664.0,-10524.0,2.0,4.0,9.0,30.0,21.0,9.0,4.0,-1.0,2.1457672119140625e-06
1,152.0,0.0,-25.0,1.0,-5410.0,-10329.0,-4664.0,-10524.0,-1.0,-4.0,1.0,61.0,11.0,3.0,3.0,1.0,0.002177000045776367
2,152.0,0.0,-25.0,1.0,-5410.0,-10329.0,-4664.0,-10524.0,0.0,2.0,1.0,-31.0,-4.0,-4.0,3.0,-1.0,0.004453897476196289
3,376.0,77.0,-18.0,1.0,-5370.0,-10339.0,-4719.0,-10510.0,0.0,2.0,1.0,-31.0,-4.0,-4.0,3.0,-1.0,0.00678563117980957
4,376.0,77.0,-18.0,1.0,-5370.0,-10339.0,-4719.0,-10510.0,0.0,-1.0,-13.0,-74.0,-19.0,-11.0,-7.0,0.0,0.009000539779663086
5,294.0,115.0,-11.0,1.0,-5340.0,-10339.0,-4770.0,-10503.0,0.0,-1.0,-13.0,-74.0,-19.0,-11.0,-7.0,0.0,0.011386632919311523
6,294.0,115.0,-11.0,1.0,-5340.0,-10339.0,-4770.0,-10503.0,-4.0,-3.0,-8.0,-23.0,-21.0,-10.0,-23.0,-6.0,0.013556480407714844
7,294.0,115.0,-11.0,1.0,-5340.0,-10339.0,-4770.0,-10503.0,-3.0,1.0,-1.0,4.0,-1.0,-2.0,-3.0,0.0,0.015544891357421875
8,156.0,84.0,-5.0,1.0,-5326.0,-10332.0,-4798.0,-10503.0,-3.0,1.0,-1.0,4.0,-1.0,-2.0,-3.0,0.0,0.01743030548095703
9,156.0,84.0,-5.0,1.0,-5326.0,-10332.0,-4798.0,-10503.0,-2.0,1.0,0.0,21.0,-6.0,-2.0,9.0,2.0,0.019825220108032227
10,156.0,84.0,-5.0,1.0,-5326.0,-10332.0,-4798.0,-10503.0,-6.0,-13.0,-4.0,5.0,2.0,-3.0,-3.0,-4.0,0.022067546844482422
11,80.0,38.0,-18.0,1.0,-5317.0,-10327.0,-4806.0,-10510.0,-6.0,-13.0,-4.0,5.0,2.0,-3.0,-3.0,-4.0,0.02414393424987793
12,80.0,38.0,-18.0,1.0,-5317.0,-10327.0,-4806.0,-10510.0,4.0,13.0,3.0,9.0,5.0,4.0,11.0,4.0,0.026096105575561523
13,80.0,38.0,-18.0,1.0,-5317.0,-10327.0,-4806.0,-10510.0,1.0,0.0,-2.0,19.0,-5.0,-4.0,-2.0,-1.0,0.027907609939575195
14,118.0,48.0,-16.0,1.0,-5300.0,-10322.0,-4813.0,-10519.0,1.0,0.0,-2.0,19.0,-5.0,-4.0,-2.0,-1.0,0.0298004150390625
15,118.0,48.0,-16.0,1.0,-5300.0,-10322.0,-4813.0,-10519.0,-2.0,-4.0,-6.0,-20.0,-6.0,7.0,3.0,9.0,0.03168678283691406
16,118.0,48.0,-16.0,1.0,-5300.0,-10322.0,-4813.0,-10519.0,4.0,2.0,14.0,11.0,-6.0,4.0,-1.0,-5.0,0.03373217582702637
17,85.0,-42.0,-29.0,1.0,-5296.0,-10325.0,-4816.0,-10517.0,4.0,2.0,14.0,11.0,-6.0,4.0,-1.0,-5.0,0.035903215408325195
18,85.0,-42.0,-29.0,1.0,-5296.0,-10325.0,-4816.0,-10517.0,8.0,7.0,0.0,-12.0,4.0,-13.0,0.0,-11.0,0.038048505783081055
19,85.0,-42.0,-29.0,1.0,-5296.0,-10325.0,-4816.0,-10517.0,-12.0,-11.0,-10.0,-1.0,5.0,1.0,-3.0,-18.0,0.03996706008911133
20,63.0,-55.0,-52.0,1.0,-5290.0,-10339.0,-4823.0,-10503.0,-12.0,-11.0,-10.0,-1.0,5.0,1.0,-3.0,-18.0,0.04182863235473633
21,63.0,-55.0,-52.0,1.0,-5290.0,-10339.0,-4823.0,-10503.0,-5.0,-9.0,0.0,-9.0,-5.0,2.0,1.0,0.0,0.043706417083740234
22,63.0,-55.0,-52.0,1.0,-5290.0,-10339.0,-4823.0,-10503.0,0.0,-1.0,-8.0,2.0,-2.0,13.0,-1.0,8.0,0.04557609558105469
23,-54.0,6.0,-57.0,1.0,-5295.0,-10340.0,-4820.0,-10502.0,0.0,-1.0,-8.0,2.0,-2.0,13.0,-1.0,8.0,0.04737067222595215
24,-54.0,6.0,-57.0,1.0,-5295.0,-10340.0,-4820.0,-10502.0,1.0,6.0,-2.0,-19.0,-2.0,3.0,2.0,-11.0,0.04924130439758301
25,-54.0,6.0,-57.0,1.0,-5295.0,-10340.0,-4820.0,-10502.0,-2.0,-6.0,-15.0,-1.0,4.0,7.0,0.0,-4.0,0.05135607719421387
26,-175.0,20.0,-35.0,1.0,-5314.0,-10328.0,-4802.0,-10512.0,-2.0,-6.0,-15.0,-1.0,4.0,7.0,0.0,-4.0,0.053466796875
27,-175.0,20.0,-35.0,1.0,-5314.0,-10328.0,-4802.0,-10512.0,1.0,-1.0,7.0,5.0,0.0,-5.0,0.0,-2.0,0.05557703971862793
28,-175.0,20.0,-35.0,1.0,-5314.0,-10328.0,-4802.0,-10512.0,2.0,-4.0,14.0,7.0,3.0,-13.0,-1.0,14.0,0.058220624923706055
29,-37.0,41.0,-98.0,1.0,-5323.0,-10320.0,-4810.0,-10512.0,2.0,-4.0,14.0,7.0,3.0,-13.0,-1.0,14.0,0.061852455139160156
30,-37.0,41.0,-98.0,1.0,-5323.0,-10320.0,-4810.0,-10512.0,-3.0,-10.0,-9.0,-12.0,-6.0,1.0,-9.0,-16.0,0.06389141082763672
31,-37.0,41.0,-98.0,1.0,-5323.0,-10320.0,-4810.0,-10512.0,2.0,4.0,-14.0,-5.0,2.0,3.0,2.0,-17.0,0.06573987007141113
32,199.0,60.0,-141.0,1.0,-5318.0,-10317.0,-4861.0,-10493.0,2.0,4.0,-14.0,-5.0,2.0,3.0,2.0,-17.0,0.06755852699279785
33,199.0,60.0,-141.0,1.0,-5318.0,-10317.0,-4861.0,-10493.0,4.0,2.0,5.0,0.0,3.0,1.0,5.0,20.0,0.06955814361572266
34,199.0,60.0,-141.0,1.0,-5318.0,-10317.0,-4861.0,-10493.0,-5.0,-5.0,7.0,6.0,-6.0,-20.0,-7.0,-3.0,0.07134509086608887
35,256.0,66.0,-160.0,1.0,-5315.0,-10313.0,-4926.0,-10468.0,-5.0,-5.0,7.0,6.0,-6.0,-20.0,-7.0,-3.0,0.0731804370880127
36,256.0,66.0,-160.0,1.0,-5315.0,-10313.0,-4926.0,-10468.0,2.0,8.0,-6.0,-3.0,-1.0,-5.0,0.0,3.0,0.07503628730773926
37,256.0,66.0,-160.0,1.0,-5315.0,-10313.0,-4926.0,-10468.0,2.0,-2.0,1.0,-3.0,1.0,5.0,7.0,12.0,0.07684588432312012
38,140.0,54.0,-107.0,1.0,-5318.0,-10308.0,-4972.0,-10451.0,2.0,-2.0,1.0,-3.0,1.0,5.0,7.0,12.0,0.07864117622375488
39,140.0,54.0,-107.0,1.0,-5318.0,-10308.0,-4972.0,-10451.0,-4.0,-2.0,-16.0,-12.0,3.0,-2.0,4.0,13.0,0.08063435554504395
40,140.0,54.0,-107.0,1.0,-5318.0,-10308.0,-4972.0,-10451.0,-3.0,-1.0,-10.0,-6.0,-3.0,-35.0,-7.0,15.0,0.0834505558013916
41,55.0,27.0,-67.0,1.0,-5326.0,-10300.0,-4995.0,-10443.0,-3.0,-1.0,-10.0,-6.0,-3.0,-35.0,-7.0,15.0,0.0857856273651123
42,55.0,27.0,-67.0,1.0,-5326.0,-10300.0,-4995.0,-10443.0,-1.0,-7.0,-11.0,-2.0,0.0,8.0,1.0,-14.0,0.08768963813781738
43,55.0,27.0,-67.0,1.0,-5326.0,-10300.0,-4995.0,-10443.0,2.0,4.0,11.0,7.0,-1.0,-9.0,1.0,3.0,0.08959412574768066
44,61.0,31.0,-9.0,1.0,-5324.0,-10296.0,-5010.0,-10441.0,2.0,4.0,11.0,7.0,-1.0,-9.0,1.0,3.0,0.09138131141662598
45,61.0,31.0,-9.0,1.0,-5324.0,-10296.0,-5010.0,-10441.0,-3.0,-5.0,6.0,-1.0,-1.0,7.0,-1.0,-1.0,0.09324240684509277
46,61.0,31.0,-9.0,1.0,-5324.0,-10296.0,-5010.0,-10441.0,4.0,-3.0,-1.0,2.0,1.0,13.0,1.0,4.0,0.09504079818725586
47,32.0,30.0,19.0,1.0,-5319.0,-10293.0,-5015.0,-10444.0,4.0,-3.0,-1.0,2.0,1.0,13.0,1.0,4.0,0.0968317985534668
48,32.0,30.0,19.0,1.0,-5319.0,-10293.0,-5015.0,-10444.0,-3.0,1.0,9.0,-2.0,-1.0,-4.0,-4.0,-4.0,0.09904837608337402
49,32.0,30.0,19.0,1.0,-5319.0,-10293.0,-5015.0,-10444.0,1.0,6.0,7.0,13.0,-2.0,-13.0,-4.0,-5.0,0.10115218162536621
50,20.0,63.0,32.0,1.0,-5313.0,-10286.0,-5019.0,-10452.0,1.0,6.0,7.0,13.0,-2.0,-13.0,-4.0,-5.0,0.10329461097717285
51,20.0,63.0,32.0,1.0,-5313.0,-10286.0,-5019.0,-10452.0,-1.0,-1.0,10.0,0.0,-5.0,6.0,-3.0,1.0,0.10527563095092773
52,20.0,63.0,32.0,1.0,-5313.0,-10286.0,-5019.0,-10452.0,4.0,5.0,8.0,5.0,2.0,23.0,1.0,-2.0,0.10722541809082031
53,9.0,59.0,50.0,1.0,-5304.0,-10281.0,-5018.0,-10462.0,4.0,5.0,8.0,5.0,2.0,23.0,1.0,-2.0,0.10906767845153809
54,9.0,59.0,50.0,1.0,-5304.0,-10281.0,-5018.0,-10462.0,-6.0,-10.0,-8.0,-3.0,1.0,-6.0,9.0,20.0,0.11150932312011719
55,9.0,59.0,50.0,1.0,-5304.0,-10281.0,-5018.0,-10462.0,-1.0,4.0,-5.0,3.0,1.0,13.0,5.0,-14.0,0.11363577842712402
56,-5.0,61.0,45.0,1.0,-5297.0,-10274.0,-5014.0,-10475.0,-1.0,4.0,-5.0,3.0,1.0,13.0,5.0,-14.0,0.11569380760192871
57,-5.0,61.0,45.0,1.0,-5297.0,-10274.0,-5014.0,-10475.0,0.0,-3.0,-2.0,-8.0,0.0,4.0,-1.0,1.0,0.11769556999206543
58,-5.0,61.0,45.0,1.0,-5297.0,-10274.0,-5014.0,-10475.0,4.0,12.0,-11.0,-5.0,0.0,0.0,-3.0,-11.0,0.11950063705444336
59,4.0,41.0,37.0,1.0,-5289.0,-10270.0,-5010.0,-10484.0,4.0,12.0,-11.0,-5.0,0.0,0.0,-3.0,-11.0,0.12146139144897461
60,4.0,41.0,37.0,1.0,-5289.0,-10270.0,-5010.0,-10484.0,-2.0,9.0,20.0,9.0,-5.0,-17.0,-9.0,0.0,0.12375044822692871
