,Gyro 0,Gyro 1,Gyro 2,Label,Orientation 0,Orientation 1,Orientation 2,Orientation 3,Sensor 0,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Timestamp
0,-2.0,-50.0,-20.0,0.0,7723.0,1572.0,-10926.0,-9325.0,-5.0,-3.0,1.0,-3.0,0.0,-3.0,-1.0,-1.0,2.1457672119140625e-06
1,-2.0,-50.0,-20.0,0.0,7723.0,1572.0,-10926.0,-9325.0,0.0,-3.0,-3.0,0.0,-2.0,-5.0,-1.0,0.0,0.0021805763244628906
2,-2.0,-50.0,-20.0,0.0,7723.0,1572.0,-10926.0,-9325.0,-4.0,-5.0,-15.0,-3.0,-1.0,1.0,-1.0,-1.0,0.004428386688232422
3,-103.0,-49.0,-26.0,0.0,7713.0,1563.0,-10923.0,-9338.0,-4.0,-5.0,-15.0,-3.0,-1.0,1.0,-1.0,-1.0,0.0074732303619384766
4,-103.0,-49.0,-26.0,0.0,7713.0,1563.0,-10923.0,-9338.0,-3.0,-6.0,-13.0,-5.0,-2.0,-1.0,-2.0,-1.0,0.009792566299438477
5,-119.0,-63.0,1.0,0.0,7706.0,1548.0,-10918.0,-9353.0,-3.0,-6.0,-13.0,-5.0,-2.0,-1.0,-2.0,-1.0,0.011926412582397461
6,-119.0,-63.0,1.0,0.0,7706.0,1548.0,-10918.0,-9353.0,1.0,0.0,-5.0,-1.0,0.0,-3.0,-2.0,-1.0,0.014315605163574219
7,-119.0,-63.0,1.0,0.0,7706.0,1548.0,-10918.0,-9353.0,0.0,-2.0,-1.0,11.0,-1.0,-3.0,-2.0,-4.0,0.016393661499023438
8,-37.0,-48.0,-15.0,0.0,7697.0,1543.0,-10921.0,-9357.0,0.0,-2.0,-1.0,11.0,-1.0,-3.0,-2.0,-4.0,0.01835012435913086
9,-37.0,-48.0,-15.0,0.0,7697.0,1543.0,-10921.0,-9357.0,-1.0,-1.0,-5.0,-13.0,1.0,5.0,2.0,-2.0,0.020621299743652344
10,-37.0,-48.0,-15.0,0.0,7697.0,1543.0,-10921.0,-9357.0,-2.0,4.0,1.0,-12.0,-2.0,2.0,0.0,-1.0,0.02282571792602539
11,-59.0,-64.0,-35.0,0.0,7685.0,1538.0,-10920.0,-9369.0,-2.0,4.0,1.0,-12.0,-2.0,2.0,0.0,-1.0,0.024927854537963867
