,Gyro 0,Gyro 1,Gyro 2,Orientation 0,Orientation 1,Orientation 2,Orientation 3,Sensor 0,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Timestamp
0,-155.0,72.0,-46.0,-11352.0,4232.0,4329.0,-10145.0,2.0,-3.0,-1.0,12.0,7.0,0.0,-5.0,1.0,1.1920928955078125e-06
1,-155.0,72.0,-46.0,-11352.0,4232.0,4329.0,-10145.0,-3.0,3.0,2.0,-3.0,-1.0,5.0,7.0,0.0,0.0024597644805908203
2,-84.0,82.0,-60.0,-11358.0,4251.0,4330.0,-10131.0,-3.0,3.0,2.0,-3.0,-1.0,5.0,7.0,0.0,0.004629611968994141
3,-84.0,82.0,-60.0,-11358.0,4251.0,4330.0,-10131.0,0.0,-1.0,-4.0,-27.0,-2.0,0.0,-2.0,-1.0,0.006887912750244141
4,-84.0,82.0,-60.0,-11358.0,4251.0,4330.0,-10131.0,-1.0,-9.0,10.0,10.0,-1.0,-7.0,-9.0,-3.0,0.010193824768066406
5,47.0,70.0,-63.0,-11370.0,4251.0,4324.0,-10120.0,-1.0,-9.0,10.0,10.0,-1.0,-7.0,-9.0,-3.0,0.013097524642944336
6,47.0,70.0,-63.0,-11370.0,4251.0,4324.0,-10120.0,2.0,1.0,4.0,6.0,0.0,0.0,2.0,2.0,0.015331506729125977
7,47.0,70.0,-63.0,-11370.0,4251.0,4324.0,-10120.0,1.0,-3.0,0.0,-3.0,0.0,-2.0,-5.0,0.0,0.01761603355407715
8,114.0,71.0,-53.0,-11384.0,4242.0,4308.0,-10114.0,1.0,-3.0,0.0,-3.0,0.0,-2.0,-5.0,0.0,0.01973247528076172
9,114.0,71.0,-53.0,-11384.0,4242.0,4308.0,-10114.0,-4.0,4.0,1.0,-1.0,-3.0,4.0,3.0,-1.0,0.023067712783813477
10,114.0,71.0,-53.0,-11384.0,4242.0,4308.0,-10114.0,1.0,2.0,0.0,16.0,2.0,-2.0,-2.0,0.0,0.02611684799194336
11,127.0,62.0,-78.0,-11401.0,4230.0,4295.0,-10105.0,1.0,2.0,0.0,16.0,2.0,-2.0,-2.0,0.0,0.02954387664794922
12,127.0,62.0,-78.0,-11401.0,4230.0,4295.0,-10105.0,-1.0,-3.0,3.0,6.0,-5.0,-5.0,-3.0,-4.0,0.03173255920410156
13,127.0,62.0,-78.0,-11401.0,4230.0,4295.0,-10105.0,1.0,1.0,-6.0,-8.0,1.0,2.0,1.0,-1.0,0.03379964828491211
14,140.0,59.0,-83.0,-11420.0,4213.0,4277.0,-10098.0,1.0,1.0,-6.0,-8.0,1.0,2.0,1.0,-1.0,0.03656196594238281
15,140.0,59.0,-83.0,-11420.0,4213.0,4277.0,-10098.0,-1.0,-3.0,3.0,-2.0,-1.0,0.0,-1.0,1.0,0.040422677993774414
16,140.0,59.0,-83.0,-11420.0,4213.0,4277.0,-10098.0,-2.0,0.0,-4.0,-10.0,-3.0,-2.0,0.0,-1.0,0.04365086555480957
17,122.0,61.0,-95.0,-11440.0,4198.0,4260.0,-10090.0,-2.0,0.0,-4.0,-10.0,-3.0,-2.0,0.0,-1.0,0.04730033874511719
18,122.0,61.0,-95.0,-11440.0,4198.0,4260.0,-10090.0,-2.0,0.0,-3.0,5.0,1.0,-2.0,-4.0,-6.0,0.05062460899353027
19,122.0,61.0,-95.0,-11440.0,4198.0,4260.0,-10090.0,1.0,-8.0,7.0,5.0,-1.0,-4.0,-4.0,-2.0,0.0542454719543457
20,25.0,68.0,-107.0,-11456.0,4198.0,4251.0,-10075.0,1.0,-8.0,7.0,5.0,-1.0,-4.0,-4.0,-2.0,0.057840824127197266
21,25.0,68.0,-107.0,-11456.0,4198.0,4251.0,-10075.0,-1.0,-1.0,-4.0,-3.0,-1.0,1.0,-9.0,0.0,0.06096959114074707
22,25.0,68.0,-107.0,-11456.0,4198.0,4251.0,-10075.0,0.0,1.0,-2.0,-7.0,-4.0,-3.0,-4.0,-2.0,0.06476736068725586
23,14.0,80.0,-109.0,-11472.0,4201.0,4242.0,-10060.0,0.0,1.0,-2.0,-7.0,-4.0,-3.0,-4.0,-2.0,0.06853055953979492
24,14.0,80.0,-109.0,-11472.0,4201.0,4242.0,-10060.0,1.0,3.0,-3.0,-2.0,-1.0,-1.0,-5.0,1.0,0.07240819931030273
25,14.0,80.0,-109.0,-11472.0,4201.0,4242.0,-10060.0,-2.0,-9.0,-2.0,-4.0,0.0,-1.0,2.0,1.0,0.07600092887878418
26,62.0,71.0,-108.0,-11490.0,4197.0,4226.0,-10048.0,-2.0,-9.0,-2.0,-4.0,0.0,-1.0,2.0,1.0,0.07995843887329102
27,62.0,71.0,-108.0,-11490.0,4197.0,4226.0,-10048.0,-1.0,-1.0,-11.0,-7.0,-1.0,-3.0,4.0,0.0,0.08409285545349121
28,62.0,71.0,-108.0,-11490.0,4197.0,4226.0,-10048.0,-5.0,1.0,-3.0,3.0,1.0,3.0,5.0,-3.0,0.08742809295654297
29,45.0,74.0,-121.0,-11509.0,4194.0,4211.0,-10034.0,-5.0,1.0,-3.0,3.0,1.0,3.0,5.0,-3.0,0.09121394157409668
