,Gyro 0,Gyro 1,Gyro 2,Label,Orientation 0,Orientation 1,Orientation 2,Orientation 3,Sensor 0,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Timestamp
0,116.0,468.0,322.0,1.0,12001.0,-6017.0,-863.0,9352.0,-17.0,-26.0,-17.0,-21.0,-7.0,-8.0,-15.0,2.0,1.6689300537109375e-06
1,116.0,468.0,322.0,1.0,12001.0,-6017.0,-863.0,9352.0,7.0,23.0,10.0,-13.0,2.0,-13.0,-1.0,-4.0,0.0023169517517089844
2,116.0,468.0,322.0,1.0,12001.0,-6017.0,-863.0,9352.0,5.0,4.0,10.0,24.0,0.0,-64.0,11.0,0.0,0.00432896614074707
3,155.0,427.0,357.0,1.0,11977.0,-6047.0,-771.0,9370.0,5.0,4.0,10.0,24.0,0.0,-64.0,11.0,0.0,0.006407499313354492
4,155.0,427.0,357.0,1.0,11977.0,-6047.0,-771.0,9370.0,-3.0,-12.0,10.0,17.0,3.0,102.0,0.0,3.0,0.008450031280517578
5,155.0,427.0,357.0,1.0,11977.0,-6047.0,-771.0,9370.0,-15.0,-7.0,4.0,-1.0,1.0,36.0,-1.0,1.0,0.010485410690307617
6,246.0,410.0,348.0,1.0,11962.0,-6057.0,-671.0,9391.0,-15.0,-7.0,4.0,-1.0,1.0,36.0,-1.0,1.0,0.012454748153686523
7,246.0,410.0,348.0,1.0,11962.0,-6057.0,-671.0,9391.0,-47.0,1.0,-24.0,-17.0,-5.0,-26.0,-3.0,-2.0,0.014442205429077148
8,246.0,410.0,348.0,1.0,11962.0,-6057.0,-671.0,9391.0,22.0,2.0,-6.0,-1.0,2.0,-9.0,5.0,-4.0,0.016387224197387695
9,361.0,458.0,253.0,1.0,11965.0,-6053.0,-558.0,9397.0,22.0,2.0,-6.0,-1.0,2.0,-9.0,5.0,-4.0,0.018282413482666016
10,361.0,458.0,253.0,1.0,11965.0,-6053.0,-558.0,9397.0,5.0,3.0,12.0,1.0,2.0,-17.0,0.0,-2.0,0.02011561393737793
11,361.0,458.0,253.0,1.0,11965.0,-6053.0,-558.0,9397.0,19.0,-44.0,17.0,14.0,12.0,-1.0,24.0,-15.0,0.021796464920043945
12,368.0,486.0,155.0,1.0,11977.0,-6052.0,-442.0,9389.0,19.0,-44.0,17.0,14.0,12.0,-1.0,24.0,-15.0,0.023485183715820312
13,368.0,486.0,155.0,1.0,11977.0,-6052.0,-442.0,9389.0,106.0,26.0,36.0,0.0,-2.0,-11.0,-3.0,12.0,0.0258026123046875
14,368.0,486.0,155.0,1.0,11977.0,-6052.0,-442.0,9389.0,62.0,61.0,-16.0,-18.0,-11.0,14.0,-21.0,-91.0,0.029737234115600586
15,292.0,439.0,106.0,1.0,11985.0,-6059.0,-341.0,9378.0,62.0,61.0,-16.0,-18.0,-11.0,14.0,-21.0,-91.0,0.032738447189331055
16,292.0,439.0,106.0,1.0,11985.0,-6059.0,-341.0,9378.0,9.0,-9.0,-88.0,3.0,-5.0,-15.0,-5.0,-36.0,0.035215139389038086
17,292.0,439.0,106.0,1.0,11985.0,-6059.0,-341.0,9378.0,47.0,17.0,-40.0,-11.0,-10.0,9.0,-12.0,6.0,0.03876900672912598
18,249.0,360.0,50.0,1.0,11994.0,-6068.0,-254.0,9364.0,47.0,17.0,-40.0,-11.0,-10.0,9.0,-12.0,6.0,0.040624141693115234
19,249.0,360.0,50.0,1.0,11994.0,-6068.0,-254.0,9364.0,29.0,-2.0,6.0,-7.0,-5.0,-12.0,-10.0,28.0,0.04240012168884277
20,249.0,360.0,50.0,1.0,11994.0,-6068.0,-254.0,9364.0,-90.0,-23.0,60.0,9.0,4.0,8.0,9.0,38.0,0.04414010047912598
21,176.0,197.0,9.0,1.0,12002.0,-6072.0,-205.0,9352.0,-90.0,-23.0,60.0,9.0,4.0,8.0,9.0,38.0,0.045821428298950195
22,176.0,197.0,9.0,1.0,12002.0,-6072.0,-205.0,9352.0,-60.0,3.0,28.0,6.0,1.0,-6.0,7.0,8.0,0.04762625694274902
23,176.0,197.0,9.0,1.0,12002.0,-6072.0,-205.0,9352.0,-17.0,-10.0,-4.0,0.0,-1.0,0.0,-4.0,-5.0,0.049306631088256836
24,247.0,92.0,-50.0,1.0,12020.0,-6053.0,-163.0,9341.0,-17.0,-10.0,-4.0,0.0,-1.0,0.0,-4.0,-5.0,0.05106043815612793
25,247.0,92.0,-50.0,1.0,12020.0,-6053.0,-163.0,9341.0,-8.0,1.0,0.0,-2.0,0.0,-1.0,2.0,-3.0,0.05284595489501953
26,247.0,92.0,-50.0,1.0,12020.0,-6053.0,-163.0,9341.0,-12.0,0.0,-13.0,-11.0,0.0,3.0,-4.0,6.0,0.05452895164489746
27,300.0,10.0,-196.0,1.0,12058.0,-6016.0,-137.0,9318.0,-12.0,0.0,-13.0,-11.0,0.0,3.0,-4.0,6.0,0.05632209777832031
28,300.0,10.0,-196.0,1.0,12058.0,-6016.0,-137.0,9318.0,4.0,-3.0,-1.0,0.0,1.0,-4.0,3.0,-8.0,0.05809831619262695
29,300.0,10.0,-196.0,1.0,12058.0,-6016.0,-137.0,9318.0,-6.0,18.0,-11.0,3.0,-1.0,5.0,3.0,14.0,0.05980348587036133
30,182.0,-96.0,-303.0,1.0,12099.0,-5981.0,-144.0,9287.0,-6.0,18.0,-11.0,3.0,-1.0,5.0,3.0,14.0,0.061493873596191406
31,182.0,-96.0,-303.0,1.0,12099.0,-5981.0,-144.0,9287.0,-9.0,-11.0,2.0,3.0,4.0,-2.0,3.0,-12.0,0.06326150894165039
32,182.0,-96.0,-303.0,1.0,12099.0,-5981.0,-144.0,9287.0,1.0,6.0,1.0,-1.0,-1.0,1.0,-6.0,7.0,0.06500554084777832
33,30.0,-104.0,-325.0,1.0,12136.0,-5963.0,-180.0,9250.0,1.0,6.0,1.0,-1.0,-1.0,1.0,-6.0,7.0,0.06673693656921387
34,30.0,-104.0,-325.0,1.0,12136.0,-5963.0,-180.0,9250.0,-17.0,-6.0,-4.0,3.0,0.0,2.0,-4.0,1.0,0.06854915618896484
35,30.0,-104.0,-325.0,1.0,12136.0,-5963.0,-180.0,9250.0,-7.0,0.0,1.0,10.0,0.0,1.0,-4.0,2.0,0.07028436660766602
36,13.0,-83.0,-295.0,1.0,12164.0,-5957.0,-205.0,9216.0,-7.0,0.0,1.0,10.0,0.0,1.0,-4.0,2.0,0.07217264175415039
37,13.0,-83.0,-295.0,1.0,12164.0,-5957.0,-205.0,9216.0,2.0,3.0,5.0,2.0,-1.0,-3.0,-1.0,2.0,0.07396793365478516
38,13.0,-83.0,-295.0,1.0,12164.0,-5957.0,-205.0,9216.0,10.0,-5.0,-3.0,-5.0,-2.0,0.0,2.0,1.0,0.07566690444946289
39,-103.0,-119.0,-241.0,1.0,12181.0,-5963.0,-254.0,9188.0,10.0,-5.0,-3.0,-5.0,-2.0,0.0,2.0,1.0,0.07735514640808105
40,-103.0,-119.0,-241.0,1.0,12181.0,-5963.0,-254.0,9188.0,-12.0,2.0,-2.0,-2.0,-3.0,0.0,-2.0,0.0,0.07910704612731934
41,-103.0,-119.0,-241.0,1.0,12181.0,-5963.0,-254.0,9188.0,1.0,3.0,3.0,-3.0,-1.0,-4.0,0.0,4.0,0.0807962417602539
42,-46.0,-89.0,-148.0,1.0,12193.0,-5965.0,-291.0,9169.0,1.0,3.0,3.0,-3.0,-1.0,-4.0,0.0,4.0,0.08251523971557617
43,-46.0,-89.0,-148.0,1.0,12193.0,-5965.0,-291.0,9169.0,-6.0,0.0,-1.0,-2.0,2.0,-3.0,-1.0,-6.0,0.08429360389709473
44,-46.0,-89.0,-148.0,1.0,12193.0,-5965.0,-291.0,9169.0,2.0,4.0,1.0,-1.0,4.0,-3.0,-2.0,2.0,0.08604311943054199
45,-24.0,-16.0,-116.0,1.0,12200.0,-5969.0,-295.0,9157.0,2.0,4.0,1.0,-1.0,4.0,-3.0,-2.0,2.0,0.08777403831481934
46,-24.0,-16.0,-116.0,1.0,12200.0,-5969.0,-295.0,9157.0,-3.0,-2.0,0.0,-1.0,-4.0,0.0,1.0,-1.0,0.08953857421875
47,-24.0,-16.0,-116.0,1.0,12200.0,-5969.0,-295.0,9157.0,-6.0,5.0,12.0,10.0,-7.0,-1.0,-4.0,-1.0,0.09122753143310547
48,-249.0,7.0,-117.0,1.0,12193.0,-6004.0,-316.0,9143.0,-6.0,5.0,12.0,10.0,-7.0,-1.0,-4.0,-1.0,0.09292364120483398
49,-249.0,7.0,-117.0,1.0,12193.0,-6004.0,-316.0,9143.0,-5.0,-7.0,-6.0,6.0,2.0,-1.0,-2.0,-1.0,0.09468340873718262
50,-249.0,7.0,-117.0,1.0,12193.0,-6004.0,-316.0,9143.0,-5.0,2.0,-3.0,0.0,1.0,-1.0,2.0,4.0,0.09641814231872559
51,-435.0,26.0,-133.0,1.0,12176.0,-6063.0,-357.0,9125.0,-5.0,2.0,-3.0,0.0,1.0,-1.0,2.0,4.0,0.0981132984161377
52,-435.0,26.0,-133.0,1.0,12176.0,-6063.0,-357.0,9125.0,2.0,1.0,-3.0,0.0,-1.0,-2.0,-1.0,-5.0,0.09993410110473633
53,-435.0,26.0,-133.0,1.0,12176.0,-6063.0,-357.0,9125.0,-1.0,-10.0,4.0,-1.0,-3.0,-1.0,-2.0,42.0,0.10162138938903809
54,-617.0,140.0,-138.0,1.0,12150.0,-6149.0,-396.0,9101.0,-1.0,-10.0,4.0,-1.0,-3.0,-1.0,-2.0,42.0,0.10331535339355469
55,-617.0,140.0,-138.0,1.0,12150.0,-6149.0,-396.0,9101.0,11.0,-2.0,6.0,-4.0,-7.0,-5.0,-2.0,-28.0,0.10508894920349121
56,-617.0,140.0,-138.0,1.0,12150.0,-6149.0,-396.0,9101.0,-49.0,-11.0,73.0,-8.0,-9.0,-4.0,-4.0,23.0,0.1067664623260498
57,-807.0,451.0,-130.0,1.0,12111.0,-6290.0,-415.0,9055.0,-49.0,-11.0,73.0,-8.0,-9.0,-4.0,-4.0,23.0,0.10846757888793945
58,-807.0,451.0,-130.0,1.0,12111.0,-6290.0,-415.0,9055.0,28.0,-6.0,-33.0,4.0,3.0,6.0,10.0,52.0,0.11022448539733887
59,-807.0,451.0,-130.0,1.0,12111.0,-6290.0,-415.0,9055.0,34.0,39.0,-89.0,-10.0,-5.0,-3.0,-1.0,-6.0,0.11191320419311523
60,-626.0,664.0,-271.0,1.0,12096.0,-6430.0,-390.0,8979.0,34.0,39.0,-89.0,-10.0,-5.0,-3.0,-1.0,-6.0,0.11359596252441406
61,-626.0,664.0,-271.0,1.0,12096.0,-6430.0,-390.0,8979.0,-16.0,14.0,-63.0,0.0,3.0,1.0,-1.0,-15.0,0.11538410186767578
62,-626.0,664.0,-271.0,1.0,12096.0,-6430.0,-390.0,8979.0,-5.0,8.0,2.0,-4.0,6.0,2.0,-4.0,-116.0,0.11707019805908203
63,-479.0,613.0,-453.0,1.0,12104.0,-6549.0,-365.0,8882.0,-5.0,8.0,2.0,-4.0,6.0,2.0,-4.0,-116.0,0.11875486373901367
64,-479.0,613.0,-453.0,1.0,12104.0,-6549.0,-365.0,8882.0,-17.0,-25.0,-14.0,-7.0,-3.0,-2.0,-8.0,-8.0,0.1205143928527832
65,-479.0,613.0,-453.0,1.0,12104.0,-6549.0,-365.0,8882.0,23.0,-18.0,8.0,3.0,1.0,-2.0,1.0,51.0,0.12219524383544922
66,-438.0,347.0,-473.0,1.0,12117.0,-6639.0,-386.0,8796.0,23.0,-18.0,8.0,3.0,1.0,-2.0,1.0,51.0,0.12388873100280762
67,-438.0,347.0,-473.0,1.0,12117.0,-6639.0,-386.0,8796.0,-5.0,-5.0,51.0,4.0,2.0,3.0,7.0,-8.0,0.12564587593078613
68,-438.0,347.0,-473.0,1.0,12117.0,-6639.0,-386.0,8796.0,12.0,-4.0,-9.0,-1.0,4.0,5.0,4.0,-67.0,0.12739276885986328
69,-179.0,96.0,-412.0,1.0,12144.0,-6672.0,-425.0,8732.0,12.0,-4.0,-9.0,-1.0,4.0,5.0,4.0,-67.0,0.12911081314086914
70,-179.0,96.0,-412.0,1.0,12144.0,-6672.0,-425.0,8732.0,-11.0,9.0,26.0,-7.0,-1.0,-2.0,-2.0,-23.0,0.13089919090270996
71,-179.0,96.0,-412.0,1.0,12144.0,-6672.0,-425.0,8732.0,-5.0,-2.0,-110.0,-1.0,-2.0,-4.0,-2.0,73.0,0.132612943649292
72,-113.0,-224.0,-232.0,1.0,12158.0,-6677.0,-507.0,8705.0,-5.0,-2.0,-110.0,-1.0,-2.0,-4.0,-2.0,73.0,0.1345202922821045
73,-113.0,-224.0,-232.0,1.0,12158.0,-6677.0,-507.0,8705.0,-5.0,4.0,102.0,-2.0,2.0,5.0,1.0,16.0,0.13643169403076172
74,-113.0,-224.0,-232.0,1.0,12158.0,-6677.0,-507.0,8705.0,-13.0,11.0,42.0,-3.0,2.0,-2.0,-4.0,-11.0,0.13826251029968262
75,444.0,-292.0,-17.0,1.0,12191.0,-6607.0,-537.0,8710.0,-13.0,11.0,42.0,-3.0,2.0,-2.0,-4.0,-11.0,0.14015984535217285
76,444.0,-292.0,-17.0,1.0,12191.0,-6607.0,-537.0,8710.0,8.0,2.0,-39.0,0.0,1.0,3.0,4.0,-3.0,0.14215898513793945
77,444.0,-292.0,-17.0,1.0,12191.0,-6607.0,-537.0,8710.0,-10.0,-1.0,-2.0,3.0,1.0,1.0,-2.0,-4.0,0.14394640922546387
78,822.0,-319.0,159.0,1.0,12233.0,-6479.0,-511.0,8748.0,-10.0,-1.0,-2.0,3.0,1.0,1.0,-2.0,-4.0,0.1458125114440918
79,822.0,-319.0,159.0,1.0,12233.0,-6479.0,-511.0,8748.0,-3.0,-16.0,-12.0,2.0,-7.0,-3.0,-10.0,-5.0,0.14781498908996582
80,822.0,-319.0,159.0,1.0,12233.0,-6479.0,-511.0,8748.0,-5.0,-11.0,2.0,2.0,-1.0,2.0,3.0,-1.0,0.14951729774475098
81,757.0,-548.0,190.0,1.0,12263.0,-6331.0,-498.0,8815.0,-5.0,-11.0,2.0,2.0,-1.0,2.0,3.0,-1.0,0.15119695663452148
82,757.0,-548.0,190.0,1.0,12263.0,-6331.0,-498.0,8815.0,1.0,8.0,-5.0,-7.0,-5.0,-5.0,-4.0,2.0,0.15302085876464844
83,757.0,-548.0,190.0,1.0,12263.0,-6331.0,-498.0,8815.0,7.0,-3.0,6.0,-16.0,-9.0,0.0,1.0,5.0,0.15471339225769043
84,342.0,-769.0,203.0,1.0,12260.0,-6213.0,-542.0,8901.0,7.0,-3.0,6.0,-16.0,-9.0,0.0,1.0,5.0,0.15643858909606934
85,342.0,-769.0,203.0,1.0,12260.0,-6213.0,-542.0,8901.0,-5.0,9.0,-10.0,3.0,-1.0,-1.0,-8.0,1.0,0.1582164764404297
