,Gyro 0,Gyro 1,Gyro 2,Label,Orientation 0,Orientation 1,Orientation 2,Orientation 3,Sensor 0,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Timestamp
0,846.0,-214.0,1232.0,1.0,-12320.0,-10112.0,3304.0,1872.0,0.0,-23.0,44.0,30.0,26.0,35.0,-15.0,11.0,2.384185791015625e-06
1,846.0,-214.0,1232.0,1.0,-12320.0,-10112.0,3304.0,1872.0,-70.0,-34.0,-1.0,-2.0,25.0,18.0,-4.0,-6.0,0.002168416976928711
2,846.0,-214.0,1232.0,1.0,-12320.0,-10112.0,3304.0,1872.0,-13.0,-19.0,5.0,11.0,71.0,-10.0,0.0,7.0,0.004437446594238281
3,846.0,-214.0,1232.0,1.0,-12320.0,-10112.0,3304.0,1872.0,-28.0,42.0,53.0,15.0,98.0,-35.0,-39.0,-14.0,0.006799221038818359
4,142.0,-184.0,439.0,1.0,-12357.0,-10050.0,3390.0,1810.0,-28.0,42.0,53.0,15.0,98.0,-35.0,-39.0,-14.0,0.008914947509765625
5,142.0,-184.0,439.0,1.0,-12357.0,-10050.0,3390.0,1810.0,-13.0,-15.0,59.0,17.0,-67.0,59.0,15.0,-18.0,0.011267423629760742
6,142.0,-184.0,439.0,1.0,-12357.0,-10050.0,3390.0,1810.0,-19.0,-16.0,13.0,35.0,39.0,13.0,1.0,-9.0,0.013298749923706055
7,405.0,156.0,-292.0,1.0,-12374.0,-10049.0,3317.0,1831.0,-19.0,-16.0,13.0,35.0,39.0,13.0,1.0,-9.0,0.015240669250488281
8,405.0,156.0,-292.0,1.0,-12374.0,-10049.0,3317.0,1831.0,1.0,-25.0,-28.0,61.0,1.0,68.0,9.0,27.0,0.017127275466918945
9,405.0,156.0,-292.0,1.0,-12374.0,-10049.0,3317.0,1831.0,26.0,1.0,12.0,15.0,-48.0,93.0,12.0,-9.0,0.018978118896484375
10,752.0,146.0,192.0,1.0,-12327.0,-10115.0,3331.0,1758.0,26.0,1.0,12.0,15.0,-48.0,93.0,12.0,-9.0,0.021127939224243164
11,752.0,146.0,192.0,1.0,-12327.0,-10115.0,3331.0,1758.0,-20.0,-9.0,3.0,-100.0,-102.0,4.0,-3.0,-46.0,0.02329874038696289
12,752.0,146.0,192.0,1.0,-12327.0,-10115.0,3331.0,1758.0,51.0,12.0,-74.0,-49.0,-42.0,79.0,28.0,-12.0,0.025287389755249023
13,475.0,78.0,-49.0,1.0,-12282.0,-10172.0,3342.0,1722.0,51.0,12.0,-74.0,-49.0,-42.0,79.0,28.0,-12.0,0.027124643325805664
14,475.0,78.0,-49.0,1.0,-12282.0,-10172.0,3342.0,1722.0,70.0,-27.0,-18.0,-4.0,26.0,1.0,-9.0,92.0,0.029019832611083984
15,475.0,78.0,-49.0,1.0,-12282.0,-10172.0,3342.0,1722.0,4.0,-1.0,0.0,-13.0,66.0,-15.0,5.0,37.0,0.030861854553222656
16,-117.0,81.0,77.0,1.0,-12276.0,-10183.0,3331.0,1717.0,4.0,-1.0,0.0,-13.0,66.0,-15.0,5.0,37.0,0.03347373008728027
17,-117.0,81.0,77.0,1.0,-12276.0,-10183.0,3331.0,1717.0,-35.0,-23.0,-34.0,19.0,-30.0,-115.0,-11.0,-39.0,0.03684639930725098
18,-117.0,81.0,77.0,1.0,-12276.0,-10183.0,3331.0,1717.0,22.0,6.0,19.0,39.0,18.0,74.0,57.0,61.0,0.03873467445373535
19,-491.0,-51.0,10.0,1.0,-12303.0,-10147.0,3334.0,1740.0,22.0,6.0,19.0,39.0,18.0,74.0,57.0,61.0,0.040566205978393555
20,-491.0,-51.0,10.0,1.0,-12303.0,-10147.0,3334.0,1740.0,11.0,58.0,48.0,35.0,43.0,27.0,-15.0,-42.0,0.042505502700805664
21,-491.0,-51.0,10.0,1.0,-12303.0,-10147.0,3334.0,1740.0,8.0,-7.0,-48.0,-27.0,-21.0,-70.0,8.0,47.0,0.044339895248413086
22,-322.0,-119.0,-79.0,1.0,-12316.0,-10120.0,3356.0,1760.0,8.0,-7.0,-48.0,-27.0,-21.0,-70.0,8.0,47.0,0.04613947868347168
23,-322.0,-119.0,-79.0,1.0,-12316.0,-10120.0,3356.0,1760.0,-21.0,-13.0,-42.0,-77.0,-16.0,15.0,-7.0,-38.0,0.04808950424194336
24,-322.0,-119.0,-79.0,1.0,-12316.0,-10120.0,3356.0,1760.0,3.0,-1.0,1.0,14.0,-10.0,11.0,8.0,-10.0,0.04990673065185547
25,2.0,-71.0,-185.0,1.0,-12308.0,-10124.0,3367.0,1773.0,3.0,-1.0,1.0,14.0,-10.0,11.0,8.0,-10.0,0.052251577377319336
26,2.0,-71.0,-185.0,1.0,-12308.0,-10124.0,3367.0,1773.0,6.0,9.0,-36.0,-21.0,-28.0,-30.0,-12.0,27.0,0.055069923400878906
27,2.0,-71.0,-185.0,1.0,-12308.0,-10124.0,3367.0,1773.0,-28.0,9.0,-4.0,-25.0,9.0,-5.0,-36.0,-28.0,0.05728340148925781
28,141.0,-5.0,-147.0,1.0,-12296.0,-10137.0,3371.0,1772.0,-28.0,9.0,-4.0,-25.0,9.0,-5.0,-36.0,-28.0,0.059388160705566406
29,141.0,-5.0,-147.0,1.0,-12296.0,-10137.0,3371.0,1772.0,-11.0,-2.0,14.0,9.0,35.0,26.0,-36.0,-73.0,0.06148934364318848
30,141.0,-5.0,-147.0,1.0,-12296.0,-10137.0,3371.0,1772.0,3.0,-8.0,-2.0,10.0,-39.0,-14.0,-3.0,9.0,0.06335020065307617
31,33.0,17.0,-122.0,1.0,-12304.0,-10128.0,3372.0,1769.0,3.0,-8.0,-2.0,10.0,-39.0,-14.0,-3.0,9.0,0.0651547908782959
32,33.0,17.0,-122.0,1.0,-12304.0,-10128.0,3372.0,1769.0,3.0,-8.0,-2.0,10.0,-39.0,-14.0,-3.0,9.0,0.06704139709472656
33,33.0,17.0,-122.0,1.0,-12304.0,-10128.0,3372.0,1769.0,-8.0,10.0,19.0,25.0,13.0,1.0,18.0,4.0,0.06864190101623535
34,33.0,17.0,-122.0,1.0,-12304.0,-10128.0,3372.0,1769.0,-6.0,4.0,-5.0,73.0,17.0,1.0,-29.0,-31.0,0.07042789459228516
35,-47.0,27.0,-96.0,1.0,-12321.0,-10107.0,3373.0,1764.0,-6.0,4.0,-5.0,73.0,17.0,1.0,-29.0,-31.0,0.07221817970275879
36,-47.0,27.0,-96.0,1.0,-12321.0,-10107.0,3373.0,1764.0,6.0,-1.0,-7.0,9.0,5.0,-16.0,19.0,22.0,0.07417130470275879
37,-47.0,27.0,-96.0,1.0,-12321.0,-10107.0,3373.0,1764.0,39.0,5.0,28.0,-40.0,8.0,35.0,20.0,-7.0,0.0759878158569336
38,-106.0,29.0,-96.0,1.0,-12338.0,-10087.0,3372.0,1763.0,39.0,5.0,28.0,-40.0,8.0,35.0,20.0,-7.0,0.07776927947998047
39,-106.0,29.0,-96.0,1.0,-12338.0,-10087.0,3372.0,1763.0,-12.0,-9.0,-18.0,5.0,48.0,7.0,10.0,17.0,0.07971429824829102
40,-106.0,29.0,-96.0,1.0,-12338.0,-10087.0,3372.0,1763.0,-36.0,9.0,16.0,-15.0,23.0,2.0,0.0,17.0,0.08196401596069336
41,-236.0,6.0,-19.0,1.0,-12370.0,-10046.0,3376.0,1763.0,-36.0,9.0,16.0,-15.0,23.0,2.0,0.0,17.0,0.08425474166870117
42,-236.0,6.0,-19.0,1.0,-12370.0,-10046.0,3376.0,1763.0,13.0,10.0,1.0,-7.0,-4.0,-4.0,10.0,21.0,0.08639812469482422
43,-236.0,6.0,-19.0,1.0,-12370.0,-10046.0,3376.0,1763.0,-1.0,-5.0,1.0,4.0,-17.0,-18.0,-10.0,-21.0,0.08829164505004883
44,-296.0,-31.0,-10.0,1.0,-12403.0,-10001.0,3390.0,1764.0,-1.0,-5.0,1.0,4.0,-17.0,-18.0,-10.0,-21.0,0.09019684791564941
