,Gyro 0,Gyro 1,Gyro 2,Label,Orientation 0,Orientation 1,Orientation 2,Orientation 3,Sensor 0,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Timestamp
0,45.0,57.0,56.0,0.0,10440.0,11580.0,-4740.0,1687.0,-5.0,-15.0,-5.0,-5.0,-7.0,-5.0,-10.0,-3.0,2.1457672119140625e-06
1,45.0,57.0,56.0,0.0,10440.0,11580.0,-4740.0,1687.0,1.0,6.0,2.0,4.0,11.0,10.0,4.0,0.0,0.0023970603942871094
2,45.0,57.0,56.0,0.0,10440.0,11580.0,-4740.0,1687.0,0.0,-4.0,-10.0,-6.0,-8.0,-4.0,6.0,-2.0,0.004769802093505859
3,45.0,57.0,56.0,0.0,10440.0,11580.0,-4740.0,1687.0,-2.0,-3.0,-2.0,-3.0,-2.0,-3.0,0.0,-2.0,0.008512496948242188
4,22.0,61.0,53.0,0.0,10441.0,11580.0,-4736.0,1698.0,-2.0,-3.0,-2.0,-3.0,-2.0,-3.0,0.0,-2.0,0.010839223861694336
5,22.0,61.0,53.0,0.0,10441.0,11580.0,-4736.0,1698.0,1.0,5.0,4.0,2.0,4.0,-1.0,14.0,-1.0,0.01274251937866211
6,22.0,61.0,53.0,0.0,10441.0,11580.0,-4736.0,1698.0,2.0,7.0,5.0,1.0,-1.0,4.0,-1.0,0.0,0.014581441879272461
7,-20.0,38.0,31.0,0.0,10444.0,11576.0,-4736.0,1705.0,2.0,7.0,5.0,1.0,-1.0,4.0,-1.0,0.0,0.01638317108154297
8,-20.0,38.0,31.0,0.0,10444.0,11576.0,-4736.0,1705.0,1.0,1.0,0.0,1.0,1.0,2.0,-9.0,0.0,0.018376588821411133
9,-20.0,38.0,31.0,0.0,10444.0,11576.0,-4736.0,1705.0,-4.0,-11.0,-6.0,0.0,2.0,-2.0,-2.0,0.0,0.020969629287719727
10,21.0,50.0,7.0,0.0,10445.0,11576.0,-4729.0,1712.0,-4.0,-11.0,-6.0,0.0,2.0,-2.0,-2.0,0.0,0.023780345916748047
11,21.0,50.0,7.0,0.0,10445.0,11576.0,-4729.0,1712.0,-2.0,0.0,-1.0,3.0,2.0,0.0,-18.0,-2.0,0.02724003791809082
12,21.0,50.0,7.0,0.0,10445.0,11576.0,-4729.0,1712.0,1.0,0.0,-8.0,-2.0,2.0,-1.0,24.0,-2.0,0.029118776321411133
13,38.0,64.0,4.0,0.0,10445.0,11580.0,-4720.0,1720.0,1.0,0.0,-8.0,-2.0,2.0,-1.0,24.0,-2.0,0.030924558639526367
