,Gyro 0,Gyro 1,Gyro 2,Label,Orientation 0,Orientation 1,Orientation 2,Orientation 3,Sensor 0,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Timestamp
0,-18.0,5.0,23.0,1.0,-1504.0,-8222.0,-9966.0,-9964.0,-4.0,-10.0,-21.0,-12.0,-8.0,-1.0,-3.0,-1.0,1.9073486328125e-06
1,-18.0,5.0,23.0,1.0,-1504.0,-8222.0,-9966.0,-9964.0,4.0,-2.0,-15.0,-13.0,4.0,2.0,-1.0,2.0,0.002128124237060547
2,-18.0,5.0,23.0,1.0,-1504.0,-8222.0,-9966.0,-9964.0,2.0,0.0,1.0,18.0,-22.0,-6.0,-4.0,-1.0,0.005824089050292969
3,-18.0,5.0,23.0,1.0,-1504.0,-8222.0,-9966.0,-9964.0,-14.0,-21.0,-25.0,-11.0,1.0,-5.0,14.0,-6.0,0.009588956832885742
4,-18.0,5.0,23.0,1.0,-1504.0,-8222.0,-9966.0,-9964.0,10.0,22.0,30.0,9.0,-2.0,-1.0,15.0,1.0,0.011636495590209961
5,68.0,-20.0,27.0,1.0,-1494.0,-8233.0,-9972.0,-9950.0,10.0,22.0,30.0,9.0,-2.0,-1.0,15.0,1.0,0.013501405715942383
6,68.0,-20.0,27.0,1.0,-1494.0,-8233.0,-9972.0,-9950.0,3.0,3.0,7.0,6.0,11.0,7.0,13.0,2.0,0.015422821044921875
7,68.0,-20.0,27.0,1.0,-1494.0,-8233.0,-9972.0,-9950.0,-4.0,6.0,9.0,-17.0,0.0,-3.0,-4.0,-3.0,0.017267227172851562
8,38.0,-11.0,40.0,1.0,-1489.0,-8238.0,-9974.0,-9945.0,-4.0,6.0,9.0,-17.0,0.0,-3.0,-4.0,-3.0,0.02082204818725586
9,38.0,-11.0,40.0,1.0,-1489.0,-8238.0,-9974.0,-9945.0,3.0,5.0,-2.0,-11.0,-1.0,0.0,-19.0,-4.0,0.024458646774291992
10,38.0,-11.0,40.0,1.0,-1489.0,-8238.0,-9974.0,-9945.0,2.0,-12.0,-15.0,25.0,3.0,-2.0,26.0,6.0,0.02638840675354004
11,-3.0,7.0,39.0,1.0,-1486.0,-8241.0,-9972.0,-9945.0,2.0,-12.0,-15.0,25.0,3.0,-2.0,26.0,6.0,0.028242111206054688
12,-3.0,7.0,39.0,1.0,-1486.0,-8241.0,-9972.0,-9945.0,-3.0,-4.0,-12.0,-4.0,17.0,7.0,-7.0,-1.0,0.030137300491333008
13,-3.0,7.0,39.0,1.0,-1486.0,-8241.0,-9972.0,-9945.0,-9.0,-17.0,-13.0,-9.0,-8.0,-7.0,-11.0,-9.0,0.0319523811340332
14,-23.0,32.0,10.0,1.0,-1485.0,-8238.0,-9971.0,-9948.0,-9.0,-17.0,-13.0,-9.0,-8.0,-7.0,-11.0,-9.0,0.03385615348815918
