,Gyro 0,Gyro 1,Gyro 2,Label,Orientation 0,Orientation 1,Orientation 2,Orientation 3,Sensor 0,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Timestamp
0,18.0,14.0,9.0,1.0,-4017.0,4065.0,12709.0,8615.0,7.0,12.0,-1.0,-1.0,18.0,-1.0,2.0,2.0,1.6689300537109375e-06
1,18.0,14.0,9.0,1.0,-4017.0,4065.0,12709.0,8615.0,-7.0,-7.0,16.0,17.0,7.0,-4.0,4.0,-3.0,0.0028228759765625
2,18.0,14.0,9.0,1.0,-4017.0,4065.0,12709.0,8615.0,-4.0,-7.0,7.0,-7.0,-8.0,0.0,-7.0,-3.0,0.006138324737548828
3,17.0,8.0,16.0,1.0,-4017.0,4064.0,12712.0,8612.0,-4.0,-7.0,7.0,-7.0,-8.0,0.0,-7.0,-3.0,0.008676290512084961
4,17.0,8.0,16.0,1.0,-4017.0,4064.0,12712.0,8612.0,-4.0,-14.0,2.0,6.0,-22.0,-5.0,-7.0,-2.0,0.011042118072509766
5,17.0,8.0,16.0,1.0,-4017.0,4064.0,12712.0,8612.0,-1.0,-12.0,-19.0,2.0,-12.0,1.0,8.0,4.0,0.013364315032958984
6,-5.0,2.0,18.0,1.0,-4015.0,4065.0,12713.0,8611.0,-1.0,-12.0,-19.0,2.0,-12.0,1.0,8.0,4.0,0.015623092651367188
7,-5.0,2.0,18.0,1.0,-4015.0,4065.0,12713.0,8611.0,8.0,13.0,8.0,1.0,1.0,-1.0,0.0,1.0,0.017940759658813477
8,-5.0,2.0,18.0,1.0,-4015.0,4065.0,12713.0,8611.0,0.0,2.0,5.0,10.0,-19.0,-4.0,-4.0,0.0,0.02023625373840332
9,-6.0,-1.0,23.0,1.0,-4013.0,4067.0,12713.0,8610.0,0.0,2.0,5.0,10.0,-19.0,-4.0,-4.0,0.0,0.023079395294189453
10,-6.0,-1.0,23.0,1.0,-4013.0,4067.0,12713.0,8610.0,-3.0,-3.0,-2.0,0.0,4.0,-2.0,3.0,-5.0,0.025923728942871094
11,-6.0,-1.0,23.0,1.0,-4013.0,4067.0,12713.0,8610.0,18.0,27.0,-2.0,-20.0,-5.0,-14.0,-4.0,6.0,0.028339862823486328
12,-8.0,-3.0,26.0,1.0,-4012.0,4070.0,12713.0,8610.0,18.0,27.0,-2.0,-20.0,-5.0,-14.0,-4.0,6.0,0.030546903610229492
13,-8.0,-3.0,26.0,1.0,-4012.0,4070.0,12713.0,8610.0,-10.0,-19.0,-4.0,-17.0,-10.0,-9.0,-3.0,-3.0,0.03290748596191406
14,-8.0,-3.0,26.0,1.0,-4012.0,4070.0,12713.0,8610.0,-12.0,-15.0,7.0,1.0,10.0,8.0,-1.0,-6.0,0.03520464897155762
15,-8.0,-1.0,25.0,1.0,-4010.0,4072.0,12714.0,8609.0,-12.0,-15.0,7.0,1.0,10.0,8.0,-1.0,-6.0,0.03748035430908203
16,-8.0,-1.0,25.0,1.0,-4010.0,4072.0,12714.0,8609.0,7.0,12.0,-14.0,-4.0,4.0,3.0,-2.0,2.0,0.03979611396789551
17,-8.0,-1.0,25.0,1.0,-4010.0,4072.0,12714.0,8609.0,-2.0,-17.0,-23.0,0.0,6.0,1.0,0.0,2.0,0.04204845428466797
18,-11.0,-5.0,32.0,1.0,-4009.0,4076.0,12713.0,8608.0,-2.0,-17.0,-23.0,0.0,6.0,1.0,0.0,2.0,0.04430341720581055
19,-11.0,-5.0,32.0,1.0,-4009.0,4076.0,12713.0,8608.0,-5.0,-10.0,-10.0,15.0,-24.0,-3.0,1.0,-2.0,0.04663968086242676
20,-11.0,-5.0,32.0,1.0,-4009.0,4076.0,12713.0,8608.0,-11.0,-9.0,23.0,7.0,17.0,1.0,-5.0,-6.0,0.04889869689941406
21,-14.0,-1.0,35.0,1.0,-4010.0,4082.0,12712.0,8606.0,-11.0,-9.0,23.0,7.0,17.0,1.0,-5.0,-6.0,0.05112743377685547
22,-14.0,-1.0,35.0,1.0,-4010.0,4082.0,12712.0,8606.0,-2.0,0.0,4.0,4.0,25.0,7.0,4.0,7.0,0.054045915603637695
23,-14.0,-1.0,35.0,1.0,-4010.0,4082.0,12712.0,8606.0,14.0,34.0,14.0,-7.0,6.0,-4.0,-1.0,2.0,0.05665874481201172
24,-3.0,3.0,41.0,1.0,-4012.0,4086.0,12711.0,8605.0,14.0,34.0,14.0,-7.0,6.0,-4.0,-1.0,2.0,0.059316396713256836
25,-3.0,3.0,41.0,1.0,-4012.0,4086.0,12711.0,8605.0,-8.0,-14.0,7.0,0.0,-3.0,0.0,-4.0,-7.0,0.06168818473815918
26,-3.0,3.0,41.0,1.0,-4012.0,4086.0,12711.0,8605.0,-7.0,-16.0,-28.0,19.0,11.0,4.0,3.0,-1.0,0.06396245956420898
