,Gyro 0,Gyro 1,Gyro 2,Label,Orientation 0,Orientation 1,Orientation 2,Orientation 3,Sensor 0,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Timestamp
0,34.0,43.0,-23.0,1.0,-8362.0,-10296.0,-1411.0,-9516.0,-1.0,-7.0,2.0,-4.0,-18.0,-7.0,0.0,-8.0,2.1457672119140625e-06
1,34.0,43.0,-23.0,1.0,-8362.0,-10296.0,-1411.0,-9516.0,2.0,3.0,14.0,-14.0,7.0,2.0,1.0,1.0,0.0023789405822753906
2,34.0,43.0,-23.0,1.0,-8362.0,-10296.0,-1411.0,-9516.0,-2.0,-12.0,-28.0,7.0,18.0,5.0,-2.0,0.0,0.0042607784271240234
3,34.0,43.0,-23.0,1.0,-8362.0,-10296.0,-1411.0,-9516.0,0.0,8.0,27.0,5.0,-2.0,-2.0,0.0,1.0,0.007169008255004883
4,40.0,37.0,-35.0,1.0,-8359.0,-10298.0,-1423.0,-9514.0,0.0,8.0,27.0,5.0,-2.0,-2.0,0.0,1.0,0.011390924453735352
5,40.0,37.0,-35.0,1.0,-8359.0,-10298.0,-1423.0,-9514.0,-2.0,-7.0,-22.0,-3.0,1.0,1.0,1.0,-1.0,0.013503313064575195
6,40.0,37.0,-35.0,1.0,-8359.0,-10298.0,-1423.0,-9514.0,0.0,-8.0,-50.0,-38.0,-12.0,11.0,3.0,16.0,0.015366792678833008
7,5.0,36.0,-37.0,1.0,-8360.0,-10298.0,-1433.0,-9512.0,0.0,-8.0,-50.0,-38.0,-12.0,11.0,3.0,16.0,0.017214536666870117
8,5.0,36.0,-37.0,1.0,-8360.0,-10298.0,-1433.0,-9512.0,-4.0,0.0,0.0,7.0,12.0,-3.0,-5.0,-10.0,0.01908397674560547
9,5.0,36.0,-37.0,1.0,-8360.0,-10298.0,-1433.0,-9512.0,1.0,0.0,72.0,44.0,-3.0,-6.0,-3.0,-15.0,0.022164344787597656
10,5.0,26.0,-42.0,1.0,-8363.0,-10296.0,-1441.0,-9510.0,1.0,0.0,72.0,44.0,-3.0,-6.0,-3.0,-15.0,0.025188922882080078
11,5.0,26.0,-42.0,1.0,-8363.0,-10296.0,-1441.0,-9510.0,2.0,-7.0,-14.0,-2.0,-10.0,9.0,1.0,16.0,0.02799820899963379
12,5.0,26.0,-42.0,1.0,-8363.0,-10296.0,-1441.0,-9510.0,1.0,-6.0,23.0,-2.0,-15.0,-6.0,-3.0,6.0,0.029926300048828125
13,-18.0,19.0,-45.0,1.0,-8367.0,-10295.0,-1446.0,-9507.0,1.0,-6.0,23.0,-2.0,-15.0,-6.0,-3.0,6.0,0.03257942199707031
14,-18.0,19.0,-45.0,1.0,-8367.0,-10295.0,-1446.0,-9507.0,1.0,-4.0,-6.0,3.0,-9.0,-5.0,-2.0,2.0,0.03464818000793457
15,-18.0,19.0,-45.0,1.0,-8367.0,-10295.0,-1446.0,-9507.0,-3.0,3.0,17.0,-27.0,6.0,-3.0,-5.0,-17.0,0.03646063804626465
16,-24.0,20.0,-54.0,1.0,-8372.0,-10294.0,-1450.0,-9504.0,-3.0,3.0,17.0,-27.0,6.0,-3.0,-5.0,-17.0,0.038285255432128906
17,-24.0,20.0,-54.0,1.0,-8372.0,-10294.0,-1450.0,-9504.0,-1.0,3.0,-13.0,-8.0,10.0,-8.0,1.0,12.0,0.04022383689880371
18,-24.0,20.0,-54.0,1.0,-8372.0,-10294.0,-1450.0,-9504.0,-2.0,0.0,-6.0,17.0,-4.0,-8.0,-1.0,0.0,0.04203629493713379
19,18.0,2.0,-54.0,1.0,-8372.0,-10298.0,-1456.0,-9498.0,-2.0,0.0,-6.0,17.0,-4.0,-8.0,-1.0,0.0,0.04381418228149414
20,18.0,2.0,-54.0,1.0,-8372.0,-10298.0,-1456.0,-9498.0,4.0,24.0,43.0,19.0,12.0,8.0,-3.0,-4.0,0.04587841033935547
21,9.0,9.0,-51.0,1.0,-8372.0,-10301.0,-1461.0,-9494.0,4.0,24.0,43.0,19.0,12.0,8.0,-3.0,-4.0,0.04764747619628906
22,9.0,9.0,-51.0,1.0,-8372.0,-10301.0,-1461.0,-9494.0,0.0,6.0,-52.0,2.0,-5.0,-3.0,-2.0,-7.0,0.049523115158081055
23,9.0,9.0,-51.0,1.0,-8372.0,-10301.0,-1461.0,-9494.0,-3.0,-13.0,-13.0,1.0,-25.0,-15.0,-2.0,9.0,0.051286935806274414
24,-5.0,10.0,-43.0,1.0,-8374.0,-10301.0,-1463.0,-9492.0,-3.0,-13.0,-13.0,1.0,-25.0,-15.0,-2.0,9.0,0.05445146560668945
25,-5.0,10.0,-43.0,1.0,-8374.0,-10301.0,-1463.0,-9492.0,-7.0,-26.0,-103.0,-41.0,11.0,4.0,-3.0,-10.0,0.057401180267333984
26,-5.0,10.0,-43.0,1.0,-8374.0,-10301.0,-1463.0,-9492.0,-5.0,-1.0,-45.0,-8.0,0.0,-5.0,1.0,19.0,0.0593867301940918
27,-17.0,11.0,-35.0,1.0,-8377.0,-10301.0,-1466.0,-9489.0,-5.0,-1.0,-45.0,-8.0,0.0,-5.0,1.0,19.0,0.06128358840942383
28,-17.0,11.0,-35.0,1.0,-8377.0,-10301.0,-1466.0,-9489.0,-2.0,-9.0,-5.0,0.0,7.0,8.0,-4.0,2.0,0.06316113471984863
29,-17.0,11.0,-35.0,1.0,-8377.0,-10301.0,-1466.0,-9489.0,4.0,11.0,45.0,-24.0,1.0,4.0,1.0,-9.0,0.06505012512207031
30,-14.0,23.0,-22.0,1.0,-8378.0,-10299.0,-1467.0,-9490.0,4.0,11.0,45.0,-24.0,1.0,4.0,1.0,-9.0,0.06760954856872559
31,-14.0,23.0,-22.0,1.0,-8378.0,-10299.0,-1467.0,-9490.0,1.0,3.0,-14.0,20.0,10.0,-2.0,-2.0,-30.0,0.06955099105834961
32,-14.0,23.0,-22.0,1.0,-8378.0,-10299.0,-1467.0,-9490.0,-2.0,1.0,-16.0,-10.0,-17.0,6.0,5.0,-21.0,0.07132768630981445
33,-2.0,20.0,-23.0,1.0,-8378.0,-10298.0,-1470.0,-9490.0,-2.0,1.0,-16.0,-10.0,-17.0,6.0,5.0,-21.0,0.07310891151428223
34,-2.0,20.0,-23.0,1.0,-8378.0,-10298.0,-1470.0,-9490.0,1.0,4.0,37.0,19.0,-8.0,-1.0,2.0,0.0,0.0749368667602539
35,-2.0,20.0,-23.0,1.0,-8378.0,-10298.0,-1470.0,-9490.0,2.0,0.0,1.0,-10.0,-3.0,11.0,-2.0,1.0,0.07674217224121094
36,51.0,20.0,-8.0,1.0,-8373.0,-10301.0,-1479.0,-9490.0,2.0,0.0,1.0,-10.0,-3.0,11.0,-2.0,1.0,0.07865500450134277
37,51.0,20.0,-8.0,1.0,-8373.0,-10301.0,-1479.0,-9490.0,1.0,14.0,83.0,9.0,-5.0,-3.0,4.0,19.0,0.08051300048828125
38,51.0,20.0,-8.0,1.0,-8373.0,-10301.0,-1479.0,-9490.0,-4.0,-5.0,-7.0,16.0,11.0,-6.0,0.0,-5.0,0.08250260353088379
39,33.0,25.0,-3.0,1.0,-8369.0,-10302.0,-1485.0,-9492.0,-4.0,-5.0,-7.0,16.0,11.0,-6.0,0.0,-5.0,0.08553004264831543
40,33.0,25.0,-3.0,1.0,-8369.0,-10302.0,-1485.0,-9492.0,0.0,11.0,14.0,15.0,21.0,1.0,1.0,11.0,0.08839893341064453
41,33.0,25.0,-3.0,1.0,-8369.0,-10302.0,-1485.0,-9492.0,-5.0,-16.0,3.0,-3.0,-3.0,-9.0,-6.0,-42.0,0.09029412269592285
42,20.0,34.0,12.0,1.0,-8365.0,-10300.0,-1490.0,-9496.0,-5.0,-16.0,3.0,-3.0,-3.0,-9.0,-6.0,-42.0,0.09210371971130371
43,20.0,34.0,12.0,1.0,-8365.0,-10300.0,-1490.0,-9496.0,0.0,-8.0,-39.0,-16.0,1.0,3.0,0.0,5.0,0.09399938583374023
