,Gyro 0,Gyro 1,Gyro 2,Label,Orientation 0,Orientation 1,Orientation 2,Orientation 3,Sensor 0,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Timestamp
0,88.0,-192.0,-57.0,1.0,-532.0,11168.0,7686.0,9183.0,1.0,8.0,-3.0,-1.0,3.0,-1.0,-11.0,-5.0,1.9073486328125e-06
1,88.0,-192.0,-57.0,1.0,-532.0,11168.0,7686.0,9183.0,-9.0,-12.0,19.0,5.0,-10.0,-6.0,-10.0,-4.0,0.002350330352783203
2,115.0,-234.0,-56.0,1.0,-532.0,11182.0,7695.0,9158.0,-9.0,-12.0,19.0,5.0,-10.0,-6.0,-10.0,-4.0,0.004468441009521484
3,115.0,-234.0,-56.0,1.0,-532.0,11182.0,7695.0,9158.0,-8.0,2.0,5.0,9.0,14.0,8.0,5.0,3.0,0.007517099380493164
4,140.0,-258.0,-79.0,1.0,-525.0,11198.0,7714.0,9123.0,-8.0,2.0,5.0,9.0,14.0,8.0,5.0,3.0,0.011143684387207031
5,140.0,-258.0,-79.0,1.0,-525.0,11198.0,7714.0,9123.0,2.0,-8.0,9.0,-4.0,-8.0,-9.0,-1.0,-2.0,0.01335453987121582
6,140.0,-258.0,-79.0,1.0,-525.0,11198.0,7714.0,9123.0,17.0,6.0,-24.0,1.0,21.0,9.0,6.0,6.0,0.015391826629638672
7,90.0,-218.0,-59.0,1.0,-509.0,11212.0,7733.0,9090.0,17.0,6.0,-24.0,1.0,21.0,9.0,6.0,6.0,0.01740741729736328
8,90.0,-218.0,-59.0,1.0,-509.0,11212.0,7733.0,9090.0,4.0,19.0,-13.0,-4.0,-9.0,-5.0,0.0,-2.0,0.02086472511291504
9,90.0,-218.0,-59.0,1.0,-509.0,11212.0,7733.0,9090.0,1.0,1.0,-24.0,11.0,15.0,-8.0,-5.0,-6.0,0.023643016815185547
10,-34.0,-196.0,32.0,1.0,-485.0,11236.0,7733.0,9062.0,1.0,1.0,-24.0,11.0,15.0,-8.0,-5.0,-6.0,0.026289939880371094
11,-34.0,-196.0,32.0,1.0,-485.0,11236.0,7733.0,9062.0,1.0,-24.0,20.0,-6.0,-4.0,-5.0,0.0,0.0,0.0289456844329834
