,Gyro 0,Gyro 1,Gyro 2,Label,Orientation 0,Orientation 1,Orientation 2,Orientation 3,Sensor 0,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Timestamp
0,-36.0,13.0,21.0,1.0,-12386.0,-9672.0,4635.0,-111.0,-7.0,-14.0,-10.0,14.0,53.0,0.0,-1.0,-1.0,2.86102294921875e-06
1,-36.0,13.0,21.0,1.0,-12386.0,-9672.0,4635.0,-111.0,2.0,-4.0,-49.0,2.0,6.0,3.0,-3.0,5.0,0.002384662628173828
2,-36.0,13.0,21.0,1.0,-12386.0,-9672.0,4635.0,-111.0,5.0,6.0,-7.0,-6.0,-12.0,0.0,-1.0,3.0,0.004508495330810547
3,21.0,2.0,7.0,1.0,-12383.0,-9675.0,4636.0,-113.0,5.0,6.0,-7.0,-6.0,-12.0,0.0,-1.0,3.0,0.008098602294921875
4,21.0,2.0,7.0,1.0,-12383.0,-9675.0,4636.0,-113.0,1.0,5.0,3.0,-1.0,-9.0,7.0,4.0,1.0,0.011588096618652344
5,43.0,10.0,17.0,1.0,-12378.0,-9681.0,4637.0,-119.0,1.0,5.0,3.0,-1.0,-9.0,7.0,4.0,1.0,0.013460874557495117
6,43.0,10.0,17.0,1.0,-12378.0,-9681.0,4637.0,-119.0,1.0,-2.0,3.0,-6.0,-3.0,1.0,-2.0,-3.0,0.015380859375
7,43.0,10.0,17.0,1.0,-12378.0,-9681.0,4637.0,-119.0,3.0,-2.0,5.0,-4.0,4.0,2.0,0.0,-1.0,0.01717352867126465
8,41.0,8.0,24.0,1.0,-12372.0,-9689.0,4636.0,-122.0,3.0,-2.0,5.0,-4.0,4.0,2.0,0.0,-1.0,0.020633697509765625
9,41.0,8.0,24.0,1.0,-12372.0,-9689.0,4636.0,-122.0,-1.0,0.0,5.0,0.0,-1.0,-10.0,-32.0,4.0,0.02483844757080078
10,41.0,8.0,24.0,1.0,-12372.0,-9689.0,4636.0,-122.0,-6.0,-16.0,-1.0,-5.0,-1.0,-1.0,-12.0,-1.0,0.026855945587158203
11,-47.0,7.0,21.0,1.0,-12374.0,-9687.0,4636.0,-120.0,-6.0,-16.0,-1.0,-5.0,-1.0,-1.0,-12.0,-1.0,0.028682947158813477
12,-47.0,7.0,21.0,1.0,-12374.0,-9687.0,4636.0,-120.0,-1.0,-12.0,-15.0,7.0,9.0,4.0,2.0,-4.0,0.03059554100036621
13,-47.0,7.0,21.0,1.0,-12374.0,-9687.0,4636.0,-120.0,-1.0,-3.0,9.0,-1.0,-43.0,8.0,6.0,-1.0,0.03238797187805176
14,-63.0,-15.0,15.0,1.0,-12377.0,-9680.0,4641.0,-118.0,-1.0,-3.0,9.0,-1.0,-43.0,8.0,6.0,-1.0,0.03419613838195801
15,-63.0,-15.0,15.0,1.0,-12377.0,-9680.0,4641.0,-118.0,5.0,7.0,4.0,-6.0,3.0,0.0,6.0,4.0,0.036051034927368164
16,-63.0,-15.0,15.0,1.0,-12377.0,-9680.0,4641.0,-118.0,-2.0,15.0,-8.0,3.0,5.0,-3.0,3.0,-5.0,0.03784370422363281
