,Gyro 0,Gyro 1,Gyro 2,Label,Orientation 0,Orientation 1,Orientation 2,Orientation 3,Sensor 0,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Timestamp
0,66.0,72.0,111.0,0.0,4278.0,-388.0,-13131.0,-8808.0,-2.0,-2.0,-10.0,1.0,3.0,7.0,-11.0,-2.0,1.9073486328125e-06
1,66.0,72.0,111.0,0.0,4278.0,-388.0,-13131.0,-8808.0,-1.0,-10.0,-25.0,1.0,30.0,21.0,-36.0,-7.0,0.002765655517578125
2,66.0,72.0,111.0,0.0,4278.0,-388.0,-13131.0,-8808.0,4.0,2.0,-4.0,5.0,6.0,6.0,-2.0,4.0,0.008208990097045898
3,66.0,72.0,111.0,0.0,4278.0,-388.0,-13131.0,-8808.0,-4.0,-5.0,-22.0,-8.0,5.0,-7.0,9.0,-2.0,0.010580778121948242
4,101.0,27.0,12.0,0.0,4310.0,-390.0,-13142.0,-8776.0,-4.0,-5.0,-22.0,-8.0,5.0,-7.0,9.0,-2.0,0.012426614761352539
5,101.0,27.0,12.0,0.0,4310.0,-390.0,-13142.0,-8776.0,-2.0,1.0,9.0,-7.0,0.0,-4.0,-11.0,-4.0,0.014379024505615234
6,101.0,27.0,12.0,0.0,4310.0,-390.0,-13142.0,-8776.0,3.0,-1.0,3.0,-6.0,5.0,-7.0,-13.0,0.0,0.01627349853515625
7,8.0,24.0,-8.0,0.0,4318.0,-387.0,-13134.0,-8783.0,3.0,-1.0,3.0,-6.0,5.0,-7.0,-13.0,0.0,0.018540382385253906
8,8.0,24.0,-8.0,0.0,4318.0,-387.0,-13134.0,-8783.0,-6.0,-11.0,-35.0,1.0,-23.0,-12.0,16.0,2.0,0.02281641960144043
9,8.0,24.0,-8.0,0.0,4318.0,-387.0,-13134.0,-8783.0,0.0,8.0,25.0,4.0,6.0,3.0,-2.0,-3.0,0.025403976440429688
10,-33.0,14.0,16.0,0.0,4324.0,-388.0,-13125.0,-8794.0,0.0,8.0,25.0,4.0,6.0,3.0,-2.0,-3.0,0.027961015701293945
11,-33.0,14.0,16.0,0.0,4324.0,-388.0,-13125.0,-8794.0,15.0,9.0,7.0,6.0,5.0,2.0,4.0,0.0,0.02999567985534668
12,-33.0,14.0,16.0,0.0,4324.0,-388.0,-13125.0,-8794.0,-1.0,-5.0,6.0,5.0,-2.0,7.0,-5.0,-2.0,0.03185153007507324
13,-23.0,8.0,44.0,0.0,4329.0,-393.0,-13120.0,-8798.0,-1.0,-5.0,6.0,5.0,-2.0,7.0,-5.0,-2.0,0.033675193786621094
14,-23.0,8.0,44.0,0.0,4329.0,-393.0,-13120.0,-8798.0,-5.0,4.0,9.0,8.0,-5.0,5.0,-6.0,-3.0,0.03554701805114746
15,-23.0,8.0,44.0,0.0,4329.0,-393.0,-13120.0,-8798.0,1.0,-4.0,-17.0,-20.0,-20.0,4.0,59.0,12.0,0.03732776641845703
16,44.0,-10.0,35.0,0.0,4328.0,-395.0,-13126.0,-8791.0,1.0,-4.0,-17.0,-20.0,-20.0,4.0,59.0,12.0,0.03930020332336426
17,44.0,-10.0,35.0,0.0,4328.0,-395.0,-13126.0,-8791.0,-4.0,-2.0,-7.0,-8.0,-17.0,6.0,4.0,-5.0,0.041231393814086914
18,44.0,-10.0,35.0,0.0,4328.0,-395.0,-13126.0,-8791.0,-2.0,-2.0,12.0,-1.0,-8.0,-13.0,-26.0,-7.0,0.04302501678466797
19,35.0,5.0,46.0,0.0,4327.0,-395.0,-13132.0,-8783.0,-2.0,-2.0,12.0,-1.0,-8.0,-13.0,-26.0,-7.0,0.04484748840332031
20,35.0,5.0,46.0,0.0,4327.0,-395.0,-13132.0,-8783.0,-1.0,-1.0,14.0,14.0,-3.0,-11.0,-31.0,-1.0,0.04682159423828125
21,35.0,5.0,46.0,0.0,4327.0,-395.0,-13132.0,-8783.0,-4.0,-4.0,9.0,5.0,-6.0,-2.0,-9.0,-2.0,0.04897928237915039
22,-1.0,23.0,57.0,0.0,4331.0,-399.0,-13133.0,-8778.0,-4.0,-4.0,9.0,5.0,-6.0,-2.0,-9.0,-2.0,0.052626609802246094
23,-1.0,23.0,57.0,0.0,4331.0,-399.0,-13133.0,-8778.0,6.0,19.0,51.0,8.0,0.0,10.0,-5.0,3.0,0.054962158203125
24,-1.0,23.0,57.0,0.0,4331.0,-399.0,-13133.0,-8778.0,4.0,9.0,8.0,10.0,11.0,9.0,3.0,1.0,0.056813955307006836
