,Gyro 0,Gyro 1,Gyro 2,Label,Orientation 0,Orientation 1,Orientation 2,Orientation 3,Sensor 0,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Timestamp
0,-29.0,-18.0,38.0,0.0,2223.0,-5189.0,-11458.0,-10262.0,-1.0,-1.0,18.0,2.0,4.0,-7.0,0.0,-3.0,1.9073486328125e-06
1,-29.0,-18.0,38.0,0.0,2223.0,-5189.0,-11458.0,-10262.0,-1.0,5.0,3.0,7.0,-4.0,-1.0,-7.0,-13.0,0.0030727386474609375
2,-29.0,-18.0,38.0,0.0,2223.0,-5189.0,-11458.0,-10262.0,-2.0,-2.0,-2.0,0.0,-6.0,-5.0,-25.0,-1.0,0.005655527114868164
3,-29.0,-18.0,38.0,0.0,2223.0,-5189.0,-11458.0,-10262.0,-3.0,-5.0,-1.0,-8.0,-22.0,-10.0,3.0,0.0,0.008425474166870117
4,-22.0,-30.0,49.0,0.0,2222.0,-5198.0,-11455.0,-10261.0,-3.0,-5.0,-1.0,-8.0,-22.0,-10.0,3.0,0.0,0.010723114013671875
5,-22.0,-30.0,49.0,0.0,2222.0,-5198.0,-11455.0,-10261.0,-1.0,-1.0,-1.0,1.0,-5.0,7.0,3.0,2.0,0.01309823989868164
6,-22.0,-30.0,49.0,0.0,2222.0,-5198.0,-11455.0,-10261.0,0.0,-1.0,-1.0,1.0,14.0,18.0,5.0,3.0,0.015410184860229492
7,-19.0,-28.0,29.0,0.0,2218.0,-5203.0,-11453.0,-10261.0,0.0,-1.0,-1.0,1.0,14.0,18.0,5.0,3.0,0.017685413360595703
8,-19.0,-28.0,29.0,0.0,2218.0,-5203.0,-11453.0,-10261.0,5.0,7.0,-3.0,-6.0,7.0,-16.0,5.0,1.0,0.02005910873413086
9,-19.0,-28.0,29.0,0.0,2218.0,-5203.0,-11453.0,-10261.0,0.0,1.0,-1.0,-9.0,-6.0,5.0,4.0,1.0,0.023062467575073242
10,5.0,-18.0,33.0,0.0,2217.0,-5208.0,-11453.0,-10259.0,0.0,1.0,-1.0,-9.0,-6.0,5.0,4.0,1.0,0.025788545608520508
11,5.0,-18.0,33.0,0.0,2217.0,-5208.0,-11453.0,-10259.0,-2.0,-2.0,-1.0,4.0,5.0,12.0,-4.0,-1.0,0.028570890426635742
12,5.0,-18.0,33.0,0.0,2217.0,-5208.0,-11453.0,-10259.0,-2.0,-2.0,-8.0,0.0,-8.0,-9.0,-19.0,0.0,0.030902862548828125
13,2.0,-4.0,42.0,0.0,2221.0,-5213.0,-11452.0,-10257.0,-2.0,-2.0,-8.0,0.0,-8.0,-9.0,-19.0,0.0,0.03319120407104492
14,2.0,-4.0,42.0,0.0,2221.0,-5213.0,-11452.0,-10257.0,1.0,-4.0,-20.0,-2.0,0.0,-2.0,3.0,3.0,0.03554177284240723
15,2.0,-4.0,42.0,0.0,2221.0,-5213.0,-11452.0,-10257.0,-3.0,-5.0,2.0,4.0,2.0,12.0,9.0,0.0,0.03784036636352539
16,-15.0,-2.0,31.0,0.0,2224.0,-5217.0,-11448.0,-10258.0,-3.0,-5.0,2.0,4.0,2.0,12.0,9.0,0.0,0.04020547866821289
17,-15.0,-2.0,31.0,0.0,2224.0,-5217.0,-11448.0,-10258.0,0.0,-1.0,8.0,0.0,-6.0,-3.0,2.0,-1.0,0.0425722599029541
18,-15.0,-2.0,31.0,0.0,2224.0,-5217.0,-11448.0,-10258.0,4.0,1.0,-2.0,3.0,3.0,-5.0,1.0,0.0,0.044863224029541016
19,-22.0,2.0,23.0,0.0,2226.0,-5221.0,-11444.0,-10260.0,4.0,1.0,-2.0,3.0,3.0,-5.0,1.0,0.0,0.04729175567626953
20,-22.0,2.0,23.0,0.0,2226.0,-5221.0,-11444.0,-10260.0,-5.0,1.0,1.0,-1.0,-2.0,-16.0,9.0,7.0,0.04970669746398926
21,-22.0,2.0,23.0,0.0,2226.0,-5221.0,-11444.0,-10260.0,-1.0,-8.0,-8.0,3.0,5.0,0.0,-15.0,-7.0,0.0520939826965332
22,19.0,14.0,31.0,0.0,2232.0,-5223.0,-11446.0,-10256.0,-1.0,-8.0,-8.0,3.0,5.0,0.0,-15.0,-7.0,0.05443620681762695
23,19.0,14.0,31.0,0.0,2232.0,-5223.0,-11446.0,-10256.0,1.0,-3.0,-6.0,-3.0,9.0,5.0,-3.0,-6.0,0.05754899978637695
24,19.0,14.0,31.0,0.0,2232.0,-5223.0,-11446.0,-10256.0,3.0,9.0,-4.0,3.0,7.0,6.0,9.0,7.0,0.06022953987121582
25,-6.0,22.0,36.0,0.0,2237.0,-5224.0,-11443.0,-10258.0,3.0,9.0,-4.0,3.0,7.0,6.0,9.0,7.0,0.06256270408630371
26,-6.0,22.0,36.0,0.0,2237.0,-5224.0,-11443.0,-10258.0,3.0,13.0,14.0,-5.0,0.0,3.0,7.0,3.0,0.0649101734161377
27,-6.0,22.0,36.0,0.0,2237.0,-5224.0,-11443.0,-10258.0,-1.0,-6.0,-24.0,0.0,4.0,6.0,-4.0,-1.0,0.06723570823669434
28,-18.0,1.0,20.0,0.0,2241.0,-5230.0,-11441.0,-10256.0,-1.0,-6.0,-24.0,0.0,4.0,6.0,-4.0,-1.0,0.06950712203979492
29,-18.0,1.0,20.0,0.0,2241.0,-5230.0,-11441.0,-10256.0,-5.0,-6.0,-5.0,-1.0,-5.0,-4.0,2.0,-2.0,0.0718693733215332
30,-18.0,1.0,20.0,0.0,2241.0,-5230.0,-11441.0,-10256.0,-4.0,-14.0,-27.0,-6.0,-4.0,-15.0,-6.0,-3.0,0.0742032527923584
31,22.0,0.0,31.0,0.0,2250.0,-5237.0,-11441.0,-10251.0,-4.0,-14.0,-27.0,-6.0,-4.0,-15.0,-6.0,-3.0,0.07648134231567383
32,22.0,0.0,31.0,0.0,2250.0,-5237.0,-11441.0,-10251.0,-4.0,-7.0,-15.0,-1.0,-17.0,-5.0,-1.0,-6.0,0.07886528968811035
33,22.0,0.0,31.0,0.0,2250.0,-5237.0,-11441.0,-10251.0,-4.0,-8.0,18.0,0.0,-16.0,-7.0,10.0,7.0,0.08112955093383789
34,34.0,9.0,28.0,0.0,2258.0,-5241.0,-11443.0,-10245.0,-4.0,-8.0,18.0,0.0,-16.0,-7.0,10.0,7.0,0.08351278305053711
35,34.0,9.0,28.0,0.0,2258.0,-5241.0,-11443.0,-10245.0,-1.0,-5.0,-3.0,0.0,6.0,-6.0,-2.0,-1.0,0.08601737022399902
36,34.0,9.0,28.0,0.0,2258.0,-5241.0,-11443.0,-10245.0,7.0,9.0,-17.0,-6.0,0.0,-8.0,1.0,1.0,0.08892989158630371
37,57.0,19.0,17.0,0.0,2265.0,-5240.0,-11449.0,-10237.0,7.0,9.0,-17.0,-6.0,0.0,-8.0,1.0,1.0,0.09169530868530273
38,57.0,19.0,17.0,0.0,2265.0,-5240.0,-11449.0,-10237.0,6.0,7.0,11.0,4.0,0.0,8.0,5.0,4.0,0.09412908554077148
39,57.0,19.0,17.0,0.0,2265.0,-5240.0,-11449.0,-10237.0,-4.0,2.0,28.0,-3.0,9.0,1.0,12.0,8.0,0.09643220901489258
40,30.0,-12.0,26.0,0.0,2264.0,-5242.0,-11455.0,-10230.0,-4.0,2.0,28.0,-3.0,9.0,1.0,12.0,8.0,0.09873247146606445
41,30.0,-12.0,26.0,0.0,2264.0,-5242.0,-11455.0,-10230.0,-1.0,1.0,-4.0,-5.0,-2.0,11.0,-11.0,-7.0,0.10110831260681152
42,30.0,-12.0,26.0,0.0,2264.0,-5242.0,-11455.0,-10230.0,-4.0,-2.0,9.0,3.0,12.0,3.0,-18.0,1.0,0.10341477394104004
43,3.0,-13.0,37.0,0.0,2264.0,-5247.0,-11457.0,-10225.0,-4.0,-2.0,9.0,3.0,12.0,3.0,-18.0,1.0,0.10579657554626465
44,3.0,-13.0,37.0,0.0,2264.0,-5247.0,-11457.0,-10225.0,-3.0,-2.0,34.0,-1.0,9.0,-7.0,8.0,-5.0,0.10819554328918457
45,3.0,-13.0,37.0,0.0,2264.0,-5247.0,-11457.0,-10225.0,-4.0,2.0,30.0,0.0,-12.0,-5.0,6.0,0.0,0.1105191707611084
46,-12.0,8.0,55.0,0.0,2267.0,-5252.0,-11454.0,-10225.0,-4.0,2.0,30.0,0.0,-12.0,-5.0,6.0,0.0,0.11279582977294922
47,-12.0,8.0,55.0,0.0,2267.0,-5252.0,-11454.0,-10225.0,-2.0,-3.0,-8.0,1.0,-13.0,8.0,-2.0,-1.0,0.11511921882629395
48,-12.0,8.0,55.0,0.0,2267.0,-5252.0,-11454.0,-10225.0,-1.0,0.0,15.0,0.0,1.0,-3.0,4.0,5.0,0.11738419532775879
49,-29.0,-6.0,47.0,0.0,2266.0,-5256.0,-11451.0,-10226.0,-1.0,0.0,15.0,0.0,1.0,-3.0,4.0,5.0,0.1199793815612793
50,-29.0,-6.0,47.0,0.0,2266.0,-5256.0,-11451.0,-10226.0,4.0,13.0,20.0,-4.0,-5.0,-2.0,10.0,5.0,0.12265944480895996
51,-29.0,-6.0,47.0,0.0,2266.0,-5256.0,-11451.0,-10226.0,-1.0,-13.0,-9.0,7.0,2.0,1.0,2.0,-6.0,0.1249547004699707
52,-8.0,-11.0,47.0,0.0,2265.0,-5261.0,-11449.0,-10226.0,-1.0,-13.0,-9.0,7.0,2.0,1.0,2.0,-6.0,0.1272444725036621
53,-8.0,-11.0,47.0,0.0,2265.0,-5261.0,-11449.0,-10226.0,2.0,-1.0,-25.0,-2.0,6.0,3.0,-10.0,-6.0,0.12963247299194336
54,-8.0,-11.0,47.0,0.0,2265.0,-5261.0,-11449.0,-10226.0,0.0,-13.0,-23.0,3.0,0.0,-3.0,-4.0,-7.0,0.1319580078125
55,-9.0,-26.0,33.0,0.0,2262.0,-5266.0,-11449.0,-10224.0,0.0,-13.0,-23.0,3.0,0.0,-3.0,-4.0,-7.0,0.13425636291503906
56,-9.0,-26.0,33.0,0.0,2262.0,-5266.0,-11449.0,-10224.0,-8.0,-7.0,-11.0,1.0,-11.0,0.0,-3.0,1.0,0.13663053512573242
57,-9.0,-26.0,33.0,0.0,2262.0,-5266.0,-11449.0,-10224.0,-3.0,3.0,1.0,0.0,4.0,-1.0,-6.0,-3.0,0.1389305591583252
58,-12.0,-22.0,24.0,0.0,2258.0,-5270.0,-11449.0,-10223.0,-3.0,3.0,1.0,0.0,4.0,-1.0,-6.0,-3.0,0.14120101928710938
59,-12.0,-22.0,24.0,0.0,2258.0,-5270.0,-11449.0,-10223.0,-6.0,-4.0,2.0,0.0,8.0,4.0,-8.0,-3.0,0.14356112480163574
60,-12.0,-22.0,24.0,0.0,2258.0,-5270.0,-11449.0,-10223.0,0.0,2.0,-17.0,-5.0,-14.0,-4.0,0.0,-4.0,0.14592528343200684
