,Gyro 0,Gyro 1,Gyro 2,Label,Orientation 0,Orientation 1,Orientation 2,Orientation 3,Sensor 0,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Timestamp
0,85.0,-252.0,-280.0,0.0,-8494.0,-12804.0,2367.0,-5174.0,2.0,4.0,21.0,0.0,12.0,6.0,5.0,4.0,1.9073486328125e-06
1,85.0,-252.0,-280.0,0.0,-8494.0,-12804.0,2367.0,-5174.0,0.0,-3.0,3.0,-5.0,50.0,13.0,6.0,2.0,0.0032639503479003906
2,85.0,-252.0,-280.0,0.0,-8494.0,-12804.0,2367.0,-5174.0,2.0,9.0,-9.0,-5.0,-10.0,2.0,-1.0,-5.0,0.00587916374206543
3,58.0,-226.0,-193.0,0.0,-8479.0,-12833.0,2365.0,-5128.0,2.0,9.0,-9.0,-5.0,-10.0,2.0,-1.0,-5.0,0.008464574813842773
4,58.0,-226.0,-193.0,0.0,-8479.0,-12833.0,2365.0,-5128.0,-4.0,-5.0,-23.0,17.0,26.0,15.0,-1.0,-2.0,0.010998725891113281
5,58.0,-226.0,-193.0,0.0,-8479.0,-12833.0,2365.0,-5128.0,13.0,13.0,1.0,0.0,43.0,-9.0,-1.0,6.0,0.013456344604492188
6,19.0,-182.0,-70.0,0.0,-8469.0,-12848.0,2377.0,-5101.0,13.0,13.0,1.0,0.0,43.0,-9.0,-1.0,6.0,0.015738248825073242
7,19.0,-182.0,-70.0,0.0,-8469.0,-12848.0,2377.0,-5101.0,0.0,-4.0,-3.0,-6.0,4.0,10.0,4.0,3.0,0.018333911895751953
8,19.0,-182.0,-70.0,0.0,-8469.0,-12848.0,2377.0,-5101.0,27.0,42.0,16.0,3.0,49.0,15.0,15.0,15.0,0.021199941635131836
9,100.0,-101.0,62.0,0.0,-8442.0,-12862.0,2396.0,-5101.0,27.0,42.0,16.0,3.0,49.0,15.0,15.0,15.0,0.024067401885986328
10,100.0,-101.0,62.0,0.0,-8442.0,-12862.0,2396.0,-5101.0,14.0,-14.0,-39.0,-26.0,-16.0,8.0,-1.0,4.0,0.026475906372070312
11,100.0,-101.0,62.0,0.0,-8442.0,-12862.0,2396.0,-5101.0,-13.0,-15.0,3.0,-18.0,-82.0,-30.0,-33.0,-10.0,0.028757810592651367
12,73.0,-64.0,169.0,0.0,-8420.0,-12870.0,2420.0,-5106.0,-13.0,-15.0,3.0,-18.0,-82.0,-30.0,-33.0,-10.0,0.031016111373901367
13,73.0,-64.0,169.0,0.0,-8420.0,-12870.0,2420.0,-5106.0,-5.0,-9.0,29.0,27.0,10.0,-4.0,28.0,9.0,0.03332805633544922
14,73.0,-64.0,169.0,0.0,-8420.0,-12870.0,2420.0,-5106.0,-8.0,-15.0,-3.0,22.0,46.0,22.0,18.0,2.0,0.035558223724365234
15,42.0,-29.0,183.0,0.0,-8417.0,-12856.0,2447.0,-5134.0,-8.0,-15.0,-3.0,22.0,46.0,22.0,18.0,2.0,0.03783607482910156
16,42.0,-29.0,183.0,0.0,-8417.0,-12856.0,2447.0,-5134.0,8.0,39.0,33.0,0.0,-24.0,-6.0,13.0,7.0,0.04014706611633301
17,42.0,-29.0,183.0,0.0,-8417.0,-12856.0,2447.0,-5134.0,-11.0,-16.0,-61.0,-12.0,-18.0,8.0,-7.0,-8.0,0.042372941970825195
18,227.0,129.0,39.0,0.0,-8390.0,-12859.0,2434.0,-5177.0,-11.0,-16.0,-61.0,-12.0,-18.0,8.0,-7.0,-8.0,0.044667720794677734
19,227.0,129.0,39.0,0.0,-8390.0,-12859.0,2434.0,-5177.0,-3.0,23.0,49.0,-13.0,-32.0,-26.0,-9.0,-8.0,0.04699993133544922
20,227.0,129.0,39.0,0.0,-8390.0,-12859.0,2434.0,-5177.0,-7.0,-14.0,-38.0,-25.0,-11.0,-13.0,-11.0,-3.0,0.0492703914642334
21,272.0,128.0,148.0,0.0,-8357.0,-12871.0,2418.0,-5207.0,-7.0,-14.0,-38.0,-25.0,-11.0,-13.0,-11.0,-3.0,0.05182170867919922
22,272.0,128.0,148.0,0.0,-8357.0,-12871.0,2418.0,-5207.0,-1.0,-7.0,-25.0,-11.0,42.0,10.0,1.0,-1.0,0.0547184944152832
23,272.0,128.0,148.0,0.0,-8357.0,-12871.0,2418.0,-5207.0,-6.0,-8.0,25.0,16.0,-9.0,3.0,-2.0,-4.0,0.05704164505004883
24,180.0,157.0,219.0,0.0,-8331.0,-12869.0,2418.0,-5252.0,-6.0,-8.0,25.0,16.0,-9.0,3.0,-2.0,-4.0,0.059293270111083984
25,180.0,157.0,219.0,0.0,-8331.0,-12869.0,2418.0,-5252.0,14.0,30.0,8.0,-31.0,5.0,-12.0,-14.0,-1.0,0.061644792556762695
26,180.0,157.0,219.0,0.0,-8331.0,-12869.0,2418.0,-5252.0,8.0,12.0,27.0,14.0,11.0,12.0,7.0,3.0,0.06394505500793457
27,-37.0,180.0,156.0,0.0,-8335.0,-12851.0,2424.0,-5289.0,8.0,12.0,27.0,14.0,11.0,12.0,7.0,3.0,0.06620335578918457
28,-37.0,180.0,156.0,0.0,-8335.0,-12851.0,2424.0,-5289.0,-3.0,1.0,10.0,-7.0,15.0,2.0,-11.0,-3.0,0.06855010986328125
29,-37.0,180.0,156.0,0.0,-8335.0,-12851.0,2424.0,-5289.0,-8.0,-21.0,-21.0,11.0,19.0,7.0,5.0,-2.0,0.07078027725219727
30,-105.0,216.0,155.0,0.0,-8341.0,-12825.0,2437.0,-5335.0,-8.0,-21.0,-21.0,11.0,19.0,7.0,5.0,-2.0,0.07302212715148926
31,-105.0,216.0,155.0,0.0,-8341.0,-12825.0,2437.0,-5335.0,5.0,-22.0,-57.0,-13.0,-43.0,-23.0,-8.0,-1.0,0.07532858848571777
32,-105.0,216.0,155.0,0.0,-8341.0,-12825.0,2437.0,-5335.0,-5.0,-11.0,1.0,-14.0,-21.0,-7.0,-5.0,-1.0,0.07758855819702148
33,-35.0,206.0,148.0,0.0,-8335.0,-12808.0,2448.0,-5382.0,-5.0,-11.0,1.0,-14.0,-21.0,-7.0,-5.0,-1.0,0.07980608940124512
34,-35.0,206.0,148.0,0.0,-8335.0,-12808.0,2448.0,-5382.0,-5.0,2.0,2.0,34.0,22.0,16.0,3.0,0.0,0.08229494094848633
35,-35.0,206.0,148.0,0.0,-8335.0,-12808.0,2448.0,-5382.0,6.0,11.0,24.0,9.0,21.0,0.0,-5.0,2.0,0.0852816104888916
36,-71.0,203.0,83.0,0.0,-8339.0,-12788.0,2450.0,-5420.0,6.0,11.0,24.0,9.0,21.0,0.0,-5.0,2.0,0.08777022361755371
37,-71.0,203.0,83.0,0.0,-8339.0,-12788.0,2450.0,-5420.0,-3.0,3.0,-6.0,20.0,-16.0,-4.0,0.0,-4.0,0.09030890464782715
38,-71.0,203.0,83.0,0.0,-8339.0,-12788.0,2450.0,-5420.0,-12.0,-8.0,5.0,-7.0,-23.0,-5.0,-4.0,-8.0,0.09269475936889648
39,-95.0,184.0,65.0,0.0,-8347.0,-12768.0,2453.0,-5452.0,-12.0,-8.0,5.0,-7.0,-23.0,-5.0,-4.0,-8.0,0.09499573707580566
40,-95.0,184.0,65.0,0.0,-8347.0,-12768.0,2453.0,-5452.0,0.0,-9.0,16.0,3.0,16.0,7.0,0.0,2.0,0.09732460975646973
41,-95.0,184.0,65.0,0.0,-8347.0,-12768.0,2453.0,-5452.0,-12.0,-10.0,29.0,-14.0,-36.0,-8.0,-12.0,-7.0,0.09958958625793457
42,-57.0,147.0,57.0,0.0,-8353.0,-12755.0,2453.0,-5476.0,-12.0,-10.0,29.0,-14.0,-36.0,-8.0,-12.0,-7.0,0.10220599174499512
43,-57.0,147.0,57.0,0.0,-8353.0,-12755.0,2453.0,-5476.0,-6.0,1.0,26.0,-4.0,1.0,-2.0,-7.0,-3.0,0.10452532768249512
44,-57.0,147.0,57.0,0.0,-8353.0,-12755.0,2453.0,-5476.0,-2.0,-11.0,-29.0,-7.0,11.0,5.0,2.0,-1.0,0.10686111450195312
