,Gyro 0,Gyro 1,Gyro 2,Label,Orientation 0,Orientation 1,Orientation 2,Orientation 3,Sensor 0,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Timestamp
0,97.0,4.0,-32.0,0.0,-987.0,9420.0,9439.0,9466.0,-2.0,5.0,0.0,3.0,3.0,1.0,-5.0,0.0,1.9073486328125e-06
1,97.0,4.0,-32.0,0.0,-987.0,9420.0,9439.0,9466.0,3.0,15.0,-1.0,1.0,1.0,0.0,-3.0,-2.0,0.002325296401977539
2,97.0,4.0,-32.0,0.0,-987.0,9420.0,9439.0,9466.0,-1.0,-5.0,-5.0,-3.0,2.0,3.0,1.0,-2.0,0.00523829460144043
3,97.0,4.0,-32.0,0.0,-987.0,9420.0,9439.0,9466.0,1.0,-2.0,0.0,-10.0,-28.0,-3.0,-3.0,2.0,0.007965087890625
4,97.0,4.0,-32.0,0.0,-987.0,9420.0,9439.0,9466.0,-3.0,5.0,10.0,0.0,-4.0,-4.0,-3.0,1.0,0.01114654541015625
5,-30.0,8.0,-14.0,0.0,-979.0,9413.0,9449.0,9463.0,-3.0,5.0,10.0,0.0,-4.0,-4.0,-3.0,1.0,0.013096094131469727
6,-30.0,8.0,-14.0,0.0,-979.0,9413.0,9449.0,9463.0,-2.0,-1.0,-5.0,-3.0,-6.0,-5.0,-3.0,0.0,0.01497030258178711
7,-30.0,8.0,-14.0,0.0,-979.0,9413.0,9449.0,9463.0,8.0,16.0,-7.0,-4.0,-8.0,-4.0,-5.0,0.0,0.016776323318481445
8,9.0,2.0,-15.0,0.0,-980.0,9415.0,9449.0,9462.0,8.0,16.0,-7.0,-4.0,-8.0,-4.0,-5.0,0.0,0.018723726272583008
9,9.0,2.0,-15.0,0.0,-980.0,9415.0,9449.0,9462.0,5.0,3.0,-4.0,5.0,11.0,5.0,4.0,2.0,0.0221865177154541
10,9.0,2.0,-15.0,0.0,-980.0,9415.0,9449.0,9462.0,-4.0,-15.0,-5.0,-8.0,-9.0,-5.0,-5.0,-2.0,0.024654865264892578
11,42.0,5.0,-25.0,0.0,-987.0,9415.0,9455.0,9455.0,-4.0,-15.0,-5.0,-8.0,-9.0,-5.0,-5.0,-2.0,0.027732133865356445
12,42.0,5.0,-25.0,0.0,-987.0,9415.0,9455.0,9455.0,13.0,36.0,-11.0,-8.0,-18.0,0.0,1.0,1.0,0.029677629470825195
13,42.0,5.0,-25.0,0.0,-987.0,9415.0,9455.0,9455.0,5.0,22.0,-10.0,1.0,17.0,4.0,-5.0,-2.0,0.031466007232666016
14,12.0,36.0,-26.0,0.0,-990.0,9410.0,9459.0,9455.0,5.0,22.0,-10.0,1.0,17.0,4.0,-5.0,-2.0,0.033327579498291016
15,12.0,36.0,-26.0,0.0,-990.0,9410.0,9459.0,9455.0,-15.0,-30.0,5.0,2.0,2.0,-1.0,3.0,-1.0,0.0351719856262207
16,12.0,36.0,-26.0,0.0,-990.0,9410.0,9459.0,9455.0,5.0,-8.0,-16.0,3.0,-13.0,-3.0,-6.0,4.0,0.03695511817932129
17,-55.0,48.0,-4.0,0.0,-987.0,9405.0,9456.0,9464.0,5.0,-8.0,-16.0,3.0,-13.0,-3.0,-6.0,4.0,0.038991689682006836
18,-55.0,48.0,-4.0,0.0,-987.0,9405.0,9456.0,9464.0,-2.0,-3.0,-6.0,-13.0,-2.0,-8.0,-4.0,-4.0,0.040860652923583984
19,-55.0,48.0,-4.0,0.0,-987.0,9405.0,9456.0,9464.0,-5.0,-15.0,14.0,1.0,5.0,-1.0,-8.0,-3.0,0.04262566566467285
20,-93.0,32.0,7.0,0.0,-983.0,9405.0,9444.0,9477.0,-5.0,-15.0,14.0,1.0,5.0,-1.0,-8.0,-3.0,0.04439902305603027
21,-93.0,32.0,7.0,0.0,-983.0,9405.0,9444.0,9477.0,1.0,-17.0,-18.0,3.0,9.0,2.0,1.0,0.0,0.04625582695007324
22,-93.0,32.0,7.0,0.0,-983.0,9405.0,9444.0,9477.0,-6.0,-5.0,-10.0,0.0,-26.0,-2.0,-1.0,-2.0,0.04801177978515625
23,-77.0,33.0,31.0,0.0,-988.0,9409.0,9430.0,9486.0,-6.0,-5.0,-10.0,0.0,-26.0,-2.0,-1.0,-2.0,0.04989337921142578
24,-77.0,33.0,31.0,0.0,-988.0,9409.0,9430.0,9486.0,1.0,12.0,-15.0,-3.0,-4.0,-5.0,-4.0,-1.0,0.0534212589263916
25,-77.0,33.0,31.0,0.0,-988.0,9409.0,9430.0,9486.0,-9.0,-20.0,1.0,-17.0,-6.0,-4.0,-9.0,-4.0,0.055493831634521484
26,-8.0,31.0,19.0,0.0,-996.0,9412.0,9427.0,9486.0,-9.0,-20.0,1.0,-17.0,-6.0,-4.0,-9.0,-4.0,0.057398080825805664
27,-8.0,31.0,19.0,0.0,-996.0,9412.0,9427.0,9486.0,4.0,5.0,11.0,2.0,-2.0,-1.0,0.0,4.0,0.06043434143066406
28,-8.0,31.0,19.0,0.0,-996.0,9412.0,9427.0,9486.0,1.0,4.0,4.0,4.0,8.0,1.0,-1.0,0.0,0.06269621849060059
29,12.0,23.0,30.0,0.0,-1004.0,9415.0,9426.0,9482.0,1.0,4.0,4.0,4.0,8.0,1.0,-1.0,0.0,0.06451225280761719
30,12.0,23.0,30.0,0.0,-1004.0,9415.0,9426.0,9482.0,-9.0,-14.0,2.0,2.0,7.0,2.0,0.0,-4.0,0.06639361381530762
31,12.0,23.0,30.0,0.0,-1004.0,9415.0,9426.0,9482.0,-3.0,11.0,-10.0,-9.0,5.0,-2.0,0.0,-4.0,0.06817936897277832
32,-39.0,31.0,51.0,0.0,-1008.0,9419.0,9418.0,9486.0,-3.0,11.0,-10.0,-9.0,5.0,-2.0,0.0,-4.0,0.06996726989746094
33,-39.0,31.0,51.0,0.0,-1008.0,9419.0,9418.0,9486.0,-1.0,8.0,11.0,-6.0,-5.0,-4.0,-4.0,0.0,0.07205510139465332
34,-39.0,31.0,51.0,0.0,-1008.0,9419.0,9418.0,9486.0,13.0,-1.0,-34.0,-1.0,8.0,0.0,-4.0,2.0,0.07384967803955078
35,-17.0,47.0,59.0,0.0,-1019.0,9422.0,9409.0,9490.0,13.0,-1.0,-34.0,-1.0,8.0,0.0,-4.0,2.0,0.0756533145904541
36,-17.0,47.0,59.0,0.0,-1019.0,9422.0,9409.0,9490.0,-8.0,-12.0,2.0,6.0,5.0,1.0,0.0,-3.0,0.07750463485717773
37,-17.0,47.0,59.0,0.0,-1019.0,9422.0,9409.0,9490.0,-22.0,-36.0,13.0,5.0,-4.0,-2.0,-4.0,-3.0,0.07935070991516113
38,-36.0,42.0,77.0,0.0,-1033.0,9429.0,9395.0,9496.0,-22.0,-36.0,13.0,5.0,-4.0,-2.0,-4.0,-3.0,0.0814063549041748
