,Timestamp,Sensor 0,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Gyro 0,Gyro 1,Gyro 2,Acc 1,Acc 2,Acc 3
0,1556809875.524891,149.0,207.0,258.0,275.0,366.0,381.0,393.0,163.0,1933.0,-4578.0,894.0,-1041.0,-2668.0,-148.0
1,1556809875.527138,162.0,107.0,255.0,246.0,355.0,398.0,330.0,152.0,1933.0,-4578.0,894.0,-1041.0,-2668.0,-148.0
2,1556809875.529374,162.0,107.0,255.0,246.0,355.0,398.0,330.0,152.0,2335.0,-5089.0,753.0,-978.0,-2311.0,43.0
3,1556809875.53166,173.0,99.0,248.0,248.0,360.0,400.0,279.0,151.0,2335.0,-5089.0,753.0,-978.0,-2311.0,43.0
4,1556809875.535308,173.0,99.0,248.0,248.0,360.0,400.0,279.0,151.0,2451.0,-5344.0,509.0,-936.0,-1874.0,169.0
5,1556809875.537337,145.0,90.0,248.0,199.0,323.0,346.0,234.0,138.0,2451.0,-5344.0,509.0,-936.0,-1874.0,169.0
6,1556809875.539291,145.0,90.0,248.0,199.0,323.0,346.0,234.0,138.0,2296.0,-5260.0,264.0,-895.0,-1616.0,333.0
7,1556809875.541152,138.0,71.0,244.0,209.0,334.0,356.0,195.0,133.0,2296.0,-5260.0,264.0,-895.0,-1616.0,333.0
8,1556809875.543132,138.0,71.0,244.0,209.0,334.0,356.0,195.0,133.0,2094.0,-5205.0,125.0,-961.0,-1750.0,480.0
9,1556809875.545216,133.0,70.0,250.0,224.0,335.0,312.0,142.0,113.0,2094.0,-5205.0,125.0,-961.0,-1750.0,480.0
10,1556809875.547144,133.0,70.0,250.0,224.0,335.0,312.0,142.0,113.0,3126.0,-5576.0,-187.0,-987.0,-2103.0,535.0
11,1556809875.548973,110.0,87.0,251.0,238.0,344.0,245.0,118.0,114.0,3126.0,-5576.0,-187.0,-987.0,-2103.0,535.0
