,Timestamp,Sensor 0,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Gyro 0,Gyro 1,Gyro 2,Acc 1,Acc 2,Acc 3
0,1556809688.279288,288.0,107.0,71.0,41.0,48.0,414.0,319.0,121.0,1520.0,-3709.0,-1055.0,1044.0,-1132.0,1189.0
1,1556809688.282687,314.0,122.0,68.0,43.0,48.0,509.0,262.0,155.0,1520.0,-3709.0,-1055.0,1044.0,-1132.0,1189.0
2,1556809688.285272,314.0,122.0,68.0,43.0,48.0,509.0,262.0,155.0,1767.0,-3873.0,-856.0,817.0,-1110.0,1338.0
3,1556809688.287533,311.0,137.0,76.0,40.0,40.0,545.0,240.0,155.0,1767.0,-3873.0,-856.0,817.0,-1110.0,1338.0
4,1556809688.290152,311.0,137.0,76.0,40.0,40.0,545.0,240.0,155.0,2345.0,-4195.0,-470.0,846.0,-901.0,1522.0
5,1556809688.292556,252.0,158.0,116.0,40.0,37.0,530.0,172.0,127.0,2345.0,-4195.0,-470.0,846.0,-901.0,1522.0
6,1556809688.29469,252.0,158.0,116.0,40.0,37.0,530.0,172.0,127.0,3049.0,-4581.0,-81.0,968.0,-1090.0,1595.0
7,1556809688.296754,243.0,169.0,139.0,132.0,41.0,485.0,132.0,129.0,3049.0,-4581.0,-81.0,968.0,-1090.0,1595.0
8,1556809688.298967,243.0,169.0,139.0,132.0,41.0,485.0,132.0,129.0,3709.0,-4724.0,151.0,1246.0,-1084.0,1359.0
9,1556809688.300898,231.0,167.0,249.0,252.0,48.0,406.0,113.0,129.0,3709.0,-4724.0,151.0,1246.0,-1084.0,1359.0
10,1556809688.303005,231.0,167.0,249.0,252.0,48.0,406.0,113.0,129.0,4271.0,-4462.0,11.0,1631.0,-843.0,1096.0
11,1556809688.30489,186.0,152.0,298.0,390.0,57.0,310.0,74.0,79.0,4271.0,-4462.0,11.0,1631.0,-843.0,1096.0
12,1556809688.306813,186.0,152.0,298.0,390.0,57.0,310.0,74.0,79.0,4791.0,-3901.0,251.0,2143.0,-609.0,919.0
13,1556809688.308698,149.0,153.0,307.0,419.0,62.0,258.0,65.0,65.0,4791.0,-3901.0,251.0,2143.0,-609.0,919.0
14,1556809688.311722,149.0,153.0,307.0,419.0,62.0,258.0,65.0,65.0,5181.0,-3093.0,800.0,2645.0,-126.0,898.0
15,1556809688.313903,113.0,298.0,300.0,426.0,61.0,221.0,51.0,60.0,5181.0,-3093.0,800.0,2645.0,-126.0,898.0
16,1556809688.315908,113.0,298.0,300.0,426.0,61.0,221.0,51.0,60.0,5150.0,-2005.0,1245.0,3037.0,381.0,910.0
17,1556809688.3178,99.0,309.0,289.0,414.0,58.0,200.0,42.0,48.0,5150.0,-2005.0,1245.0,3037.0,381.0,910.0
18,1556809688.319772,99.0,309.0,289.0,414.0,58.0,200.0,42.0,48.0,4412.0,-1023.0,1502.0,3192.0,770.0,928.0
19,1556809688.321651,88.0,311.0,203.0,359.0,50.0,184.0,39.0,39.0,4412.0,-1023.0,1502.0,3192.0,770.0,928.0
20,1556809688.323595,88.0,311.0,203.0,359.0,50.0,184.0,39.0,39.0,3053.0,-190.0,1434.0,3095.0,1024.0,969.0
21,1556809688.325469,72.0,310.0,123.0,208.0,38.0,125.0,39.0,36.0,3053.0,-190.0,1434.0,3095.0,1024.0,969.0
22,1556809688.32804,72.0,310.0,123.0,208.0,38.0,125.0,39.0,36.0,1474.0,481.0,1099.0,2952.0,1008.0,953.0
23,1556809688.330136,66.0,313.0,96.0,145.0,38.0,81.0,38.0,33.0,1474.0,481.0,1099.0,2952.0,1008.0,953.0
24,1556809688.33226,66.0,313.0,96.0,145.0,38.0,81.0,38.0,33.0,173.0,1242.0,574.0,2881.0,757.0,1032.0
