,Sensor 0,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Gyro 0,Gyro 1,Gyro 2,Orientation 0,Orientation 1,Orientation 2,Orientation 3
0,421,213,513,446,269,345,1089,484,-3,-3,-10,8228,2782,-11845,-7260
1,165,73,300,238,107,131,865,218,-3,-3,-10,8228,2782,-11845,-7260
2,165,73,300,238,107,131,865,218,45,52,-30,8228,2797,-11842,-7258
3,100,96,232,140,83,73,400,112,45,52,-30,8228,2797,-11842,-7258
4,100,96,232,140,83,73,400,112,93,86,-18,8231,2818,-11844,-7245
5,91,89,195,127,74,70,325,95,93,86,-18,8231,2818,-11844,-7245
6,91,89,195,127,74,70,325,95,109,89,46,8234,2834,-11852,-7221
7,68,84,165,101,56,48,183,71,109,89,46,8234,2834,-11852,-7221
8,68,84,165,101,56,48,183,71,33,80,106,8247,2829,-11858,-7197
9,53,90,160,77,53,55,115,49,33,80,106,8247,2829,-11858,-7197
10,53,90,160,77,53,55,115,49,-22,57,141,8266,2809,-11862,-7177
11,51,92,197,61,43,59,72,37,-22,57,141,8266,2809,-11862,-7177
12,51,92,197,61,43,59,72,37,-35,12,133,8284,2782,-11866,-7161
13,43,71,214,61,42,64,54,29,-35,12,133,8284,2782,-11866,-7161
14,43,71,214,61,42,64,54,29,3,-44,92,8291,2760,-11874,-7148
15,38,72,227,61,39,65,55,30,3,-44,92,8291,2760,-11874,-7148
16,38,72,227,61,39,65,55,30,37,-61,3,8284,2756,-11882,-7144
17,42,79,260,61,62,84,69,39,37,-61,3,8284,2756,-11882,-7144
18,42,79,260,61,62,84,69,39,34,-61,-60,8267,2767,-11888,-7150
19,47,74,252,54,65,78,73,40,34,-61,-60,8267,2767,-11888,-7150
20,47,74,252,54,65,78,73,40,28,-33,-107,8247,2789,-11889,-7163
21,43,65,217,48,66,83,72,39,28,-33,-107,8247,2789,-11889,-7163
22,43,65,217,48,66,83,72,39,37,-1,-133,8222,2823,-11888,-7179
23,43,63,197,45,68,82,70,39,37,-1,-133,8222,2823,-11888,-7179
24,43,63,197,45,68,82,70,39,7,31,-151,8202,2858,-11883,-7197
25,45,72,184,48,79,84,75,39,7,31,-151,8202,2858,-11883,-7197
26,45,72,184,48,79,84,75,39,51,84,-151,8190,2899,-11877,-7205
27,46,67,135,47,70,72,72,29,51,84,-151,8190,2899,-11877,-7205
28,46,67,135,47,70,72,72,29,63,133,-120,8190,2935,-11867,-7206
29,40,69,146,45,70,82,69,29,63,133,-120,8190,2935,-11867,-7206
30,40,69,146,45,70,82,69,29,86,162,-96,8202,2968,-11855,-7198
31,42,74,136,45,70,78,71,31,86,162,-96,8202,2968,-11855,-7198
32,42,74,136,45,70,78,71,31,92,143,-67,8217,2993,-11845,-7188
33,44,78,130,44,71,77,72,30,92,143,-67,8217,2993,-11845,-7188
34,44,78,130,44,71,77,72,30,53,114,-46,8236,3006,-11831,-7183
35,45,73,136,42,58,75,74,29,53,114,-46,8236,3006,-11831,-7183
36,45,73,136,42,58,75,74,29,25,82,-32,8252,3013,-11820,-7180
37,40,76,154,43,47,71,62,30,25,82,-32,8252,3013,-11820,-7180
38,40,76,154,43,47,71,62,30,-17,57,-24,8263,3016,-11809,-7184
39,43,73,155,41,41,57,59,30,-17,57,-24,8263,3016,-11809,-7184
40,43,73,155,41,41,57,59,30,-43,37,-20,8267,3019,-11802,-7190
41,40,73,164,46,43,51,55,29,-43,37,-20,8267,3019,-11802,-7190
42,40,73,164,46,43,51,55,29,-46,33,-15,8267,3023,-11796,-7199
43,54,94,170,48,46,89,66,36,-46,33,-15,8267,3023,-11796,-7199
44,54,94,170,48,46,89,66,36,-56,32,-15,8264,3030,-11791,-7208
45,58,101,162,47,49,88,56,37,-56,32,-15,8264,3030,-11791,-7208
46,58,101,162,47,49,88,56,37,-28,55,-21,8263,3041,-11786,-7213
47,62,110,170,48,49,86,64,40,-28,55,-21,8263,3041,-11786,-7213
48,62,110,170,48,49,86,64,40,18,73,-21,8264,3057,-11780,-7214
49,64,109,175,48,60,101,67,40,18,73,-21,8264,3057,-11780,-7214
50,64,109,175,48,60,101,67,40,52,79,-10,8265,3076,-11778,-7208
