,Sensor 0,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Gyro 0,Gyro 1,Gyro 2,Orientation 0,Orientation 1,Orientation 2,Orientation 3
0,338,378,537,940,326,714,1135,652,-257,635,-414,-871,8507,4574,13205
1,125,278,344,873,121,433,938,369,-257,635,-414,-871,8507,4574,13205
2,125,278,344,873,121,433,938,369,-222,998,-173,-874,8380,4560,13290
3,138,276,332,871,112,323,637,259,-222,998,-173,-874,8380,4560,13290
4,138,276,332,871,112,323,637,259,-208,1257,-43,-908,8207,4533,13405
5,159,271,375,818,109,260,556,221,-208,1257,-43,-908,8207,4533,13405
6,159,271,375,818,109,260,556,221,-704,1158,-137,-878,8040,4439,13539
7,157,237,377,761,103,157,372,144,-704,1158,-137,-878,8040,4439,13539
8,157,237,377,761,103,157,372,144,-1038,1099,-373,-785,7849,4297,13701
9,154,204,348,691,96,112,242,93,-1038,1099,-373,-785,7849,4297,13701
10,154,204,348,691,96,112,242,93,-756,759,-630,-662,7673,4213,13833
11,179,211,401,636,107,97,160,77,-756,759,-630,-662,7673,4213,13833
12,179,211,401,636,107,97,160,77,-118,337,-868,-548,7574,4240,13884
13,163,237,499,529,98,84,138,80,-118,337,-868,-548,7574,4240,13884
14,163,237,499,529,98,84,138,80,-42,340,-768,-451,7493,4286,13918
15,155,230,514,495,97,85,122,68,-42,340,-768,-451,7493,4286,13918
16,155,230,514,495,97,85,122,68,-107,490,-546,-380,7383,4311,13971
17,226,257,581,590,126,81,101,77,-107,490,-546,-380,7383,4311,13971
18,226,257,581,590,126,81,101,77,87,357,-492,-322,7299,4371,13997
19,226,257,581,590,126,81,101,77,-69,375,-658,-232,7213,4419,14028
20,236,261,791,729,146,97,96,77,-69,375,-658,-232,7213,4419,14028
21,236,261,791,729,146,97,96,77,-324,477,-674,-124,7103,4423,14085
22,249,319,892,873,168,118,94,82,-324,477,-674,-124,7103,4423,14085
23,249,319,892,873,168,118,94,82,-367,389,-494,-24,7000,4420,14138
24,320,460,1034,1064,182,130,103,90,-367,389,-494,-24,7000,4420,14138
25,320,460,1034,1064,182,130,103,90,-383,175,-156,39,6936,4392,14178
26,352,530,1229,1053,198,134,105,86,-383,175,-156,39,6936,4392,14178
27,352,530,1229,1053,198,134,105,86,-272,1,67,57,6933,4356,14190
28,336,544,1281,1184,190,142,105,88,-272,1,67,57,6933,4356,14190
29,336,544,1281,1184,190,142,105,88,-314,34,194,48,6949,4300,14200
30,354,579,1247,1175,199,141,104,98,-314,34,194,48,6949,4300,14200
31,354,579,1247,1175,199,141,104,98,-225,85,197,40,6944,4269,14211
32,334,552,1199,1135,197,139,102,93,-225,85,197,40,6944,4269,14211
33,334,552,1199,1135,197,139,102,93,-277,32,240,33,6943,4226,14225
34,288,477,1152,979,192,141,97,89,-277,32,240,33,6943,4226,14225
35,288,477,1152,979,192,141,97,89,-283,-10,360,-6,6963,4145,14239
36,242,400,956,978,171,131,97,87,-283,-10,360,-6,6963,4145,14239
37,242,400,956,978,171,131,97,87,141,22,394,-81,6978,4134,14234
38,213,362,877,744,161,122,96,84,141,22,394,-81,6978,4134,14234
39,213,362,877,744,161,122,96,84,236,24,327,-146,6981,4152,14227
40,289,301,756,603,128,114,91,260,236,24,327,-146,6981,4152,14227
41,289,301,756,603,128,114,91,260,197,-49,366,-210,6995,4160,14217
42,436,311,713,449,82,97,183,373,197,-49,366,-210,6995,4160,14217
43,436,311,713,449,82,97,183,373,157,-65,474,-289,7014,4149,14210
44,705,251,491,342,55,94,331,563,157,-65,474,-289,7014,4149,14210
45,705,251,491,342,55,94,331,563,42,-105,535,-366,7045,4119,14202
46,855,269,400,271,47,104,377,749,42,-105,535,-366,7045,4119,14202
47,855,269,400,271,47,104,377,749,-6,-200,640,-444,7084,4081,14191
48,1003,260,301,202,52,118,407,803,-6,-200,640,-444,7084,4081,14191
49,1003,260,301,202,52,118,407,803,-111,-285,739,-529,7151,4019,14172
50,1065,253,257,124,48,115,419,806,-111,-285,739,-529,7151,4019,14172
51,1065,253,257,124,48,115,419,806,-229,-286,706,-609,7225,3927,14157
52,1107,236,164,108,52,117,482,846,-229,-286,706,-609,7225,3927,14157
53,1107,236,164,108,52,117,482,846,-246,-339,551,-670,7302,3829,14142
54,1125,217,125,88,60,106,460,940,-246,-339,551,-670,7302,3829,14142
55,1125,217,125,88,60,106,460,940,113,-341,388,-738,7371,3793,14112
56,1093,262,115,70,69,111,446,937,113,-341,388,-738,7371,3793,14112
57,1093,262,115,70,69,111,446,937,504,-368,262,-816,7438,3831,14062
58,981,251,121,64,81,96,431,931,504,-368,262,-816,7438,3831,14062
59,981,251,121,64,81,96,431,931,543,-359,96,-865,7501,3906,14005
60,906,235,124,60,91,95,425,916,543,-359,96,-865,7501,3906,14005
61,906,235,124,60,91,95,425,916,401,-395,-19,-879,7556,3970,13956
62,806,228,117,57,111,92,328,862,401,-395,-19,-879,7556,3970,13956
63,806,228,117,57,111,92,328,862,355,-489,26,-894,7625,4020,13904
64,558,239,141,59,111,86,234,655,355,-489,26,-894,7625,4020,13904
65,558,239,141,59,111,86,234,655,400,-543,137,-924,7709,4075,13839
66,396,141,133,70,107,65,195,449,400,-543,137,-924,7709,4075,13839
67,396,141,133,70,107,65,195,449,338,-596,79,-937,7803,4129,13770
68,337,149,122,124,96,65,167,374,338,-596,79,-937,7803,4129,13770
69,337,149,122,124,96,65,167,374,231,-563,27,-937,7892,4167,13707
70,266,155,124,129,89,73,192,325,231,-563,27,-937,7892,4167,13707
71,266,155,124,129,89,73,192,325,155,-450,69,-943,7968,4188,13656
72,211,214,144,141,61,78,209,269,155,-450,69,-943,7968,4188,13656
73,211,214,144,141,61,78,209,269,270,-292,86,-968,8025,4225,13609
74,155,205,125,139,51,77,227,210,270,-292,86,-968,8025,4225,13609
75,155,205,125,139,51,77,227,210,192,-204,109,-990,8066,4253,13575
76,116,209,122,134,46,75,222,179,192,-204,109,-990,8066,4253,13575
77,116,209,122,134,46,75,222,179,89,-101,205,-1021,8094,4256,13555
78,98,243,132,107,42,70,221,147,89,-101,205,-1021,8094,4256,13555
79,98,243,132,107,42,70,221,147,67,-54,220,-1055,8116,4252,13541
80,82,242,128,144,37,63,189,136,67,-54,220,-1055,8116,4252,13541
81,82,242,128,144,37,63,189,136,-87,-46,233,-1079,8134,4220,13538
82,71,245,120,293,62,59,142,95,-87,-46,233,-1079,8134,4220,13538
83,71,245,120,293,62,59,142,95,-144,-13,201,-1096,8145,4179,13542
84,66,239,112,377,98,58,99,65,-144,-13,201,-1096,8145,4179,13542
85,66,239,112,377,98,58,99,65,-135,-43,285,-1127,8165,4130,13543
86,58,245,165,493,238,74,93,59,-135,-43,285,-1127,8165,4130,13543
87,58,245,165,493,238,74,93,59,-115,-113,265,-1155,8201,4086,13532
88,49,214,179,547,277,93,87,56,-115,-113,265,-1155,8201,4086,13532
89,49,214,179,547,277,93,87,56,-49,-105,241,-1185,8231,4055,13521
90,47,220,201,580,290,93,84,51,-49,-105,241,-1185,8231,4055,13521
91,47,220,201,580,290,93,84,51,-3,-55,201,-1215,8257,4037,13508
92,48,170,248,675,323,90,87,55,-3,-55,201,-1215,8257,4037,13508
93,48,170,248,675,323,90,87,55,-53,30,169,-1239,8270,4012,13505
94,51,252,271,674,324,96,84,58,-53,30,169,-1239,8270,4012,13505
95,51,252,271,674,324,96,84,58,95,241,141,-1282,8252,4010,13513
96,61,293,296,630,262,95,83,60,95,241,141,-1282,8252,4010,13513
97,61,293,296,630,262,95,83,60,109,494,253,-1355,8201,3994,13541
98,62,293,317,601,235,76,89,58,109,494,253,-1355,8201,3994,13541
99,62,293,317,601,235,76,89,58,96,589,270,-1430,8132,3977,13580
100,60,292,303,600,245,81,90,58,96,589,270,-1430,8132,3977,13580
101,60,292,303,600,245,81,90,58,78,613,227,-1500,8053,3956,13626
102,59,331,342,479,207,83,90,51,78,613,227,-1500,8053,3956,13626
103,59,331,342,479,207,83,90,51,94,695,149,-1564,7950,3938,13684
104,57,271,327,434,201,82,94,48,94,695,149,-1564,7950,3938,13684
105,57,271,327,434,201,82,94,48,282,705,173,-1641,7841,3958,13732
106,44,216,288,446,191,81,97,52,282,705,173,-1641,7841,3958,13732
107,44,216,288,446,191,81,97,52,167,544,76,-1686,7755,3972,13771
108,43,218,297,512,210,84,97,57,167,544,76,-1686,7755,3972,13771
109,43,218,297,512,210,84,97,57,51,476,47,-1717,7684,3968,13809
110,42,239,318,498,183,90,96,57,51,476,47,-1717,7684,3968,13809
111,42,239,318,498,183,90,96,57,60,468,128,-1762,7610,3954,13848
112,41,161,262,492,179,87,96,60,60,468,128,-1762,7610,3954,13848
113,41,161,262,492,179,87,96,60,154,402,230,-1821,7545,3957,13875
114,46,177,285,508,173,83,93,61,154,402,230,-1821,7545,3957,13875
115,46,177,285,508,173,83,93,61,76,288,196,-1864,7505,3954,13891
116,48,176,327,507,163,75,90,60,76,288,196,-1864,7505,3954,13891
117,48,176,327,507,163,75,90,60,10,239,248,-1911,7474,3933,13908
118,58,174,362,458,125,69,84,56,10,239,248,-1911,7474,3933,13908
119,58,174,362,458,125,69,84,56,47,213,313,-1969,7448,3912,13920
120,65,145,379,438,128,59,84,55,47,213,313,-1969,7448,3912,13920
121,65,145,379,438,128,59,84,55,85,165,358,-2033,7432,3898,13923
122,70,180,463,405,115,69,84,49,85,165,358,-2033,7432,3898,13923
123,70,180,463,405,115,69,84,49,32,109,312,-2084,7425,3882,13924
124,67,252,467,390,125,68,82,51,32,109,312,-2084,7425,3882,13924
125,67,252,467,390,125,68,82,51,35,117,341,-2144,7418,3855,13926
126,65,267,487,386,132,73,85,49,35,117,341,-2144,7418,3855,13926
127,65,267,487,386,132,73,85,49,135,44,243,-2197,7427,3853,13914
128,67,273,560,379,166,83,90,51,135,44,243,-2197,7427,3853,13914
129,67,273,560,379,166,83,90,51,58,120,315,-2260,7427,3826,13911
130,112,310,782,520,171,86,90,53,58,120,315,-2260,7427,3826,13911
131,112,310,782,520,171,86,90,53,86,169,266,-2313,7417,3818,13909
132,116,314,785,638,189,82,93,58,86,169,266,-2313,7417,3818,13909
133,116,314,785,638,189,82,93,58,-7,223,292,-2366,7396,3788,13920
134,132,307,880,688,198,83,94,56,-7,223,292,-2366,7396,3788,13920
135,132,307,880,688,198,83,94,56,-165,180,285,-2398,7379,3744,13936
136,140,376,957,810,219,84,93,57,-165,180,285,-2398,7379,3744,13936
137,140,376,957,810,219,84,93,57,-201,56,195,-2412,7376,3696,13947
138,149,419,1007,921,217,77,91,60,-201,56,195,-2412,7376,3696,13947
139,149,419,1007,921,217,77,91,60,-105,18,211,-2438,7380,3659,13950
140,120,408,870,937,221,69,88,59,-105,18,211,-2438,7380,3659,13950
141,120,408,870,937,221,69,88,59,-14,89,294,-2486,7381,3631,13949
142,123,407,902,908,220,67,81,58,-14,89,294,-2486,7381,3631,13949
143,123,407,902,908,220,67,81,58,70,130,307,-2544,7376,3613,13945
144,117,378,851,893,221,66,80,57,70,130,307,-2544,7376,3613,13945
145,117,378,851,893,221,66,80,57,131,134,335,-2609,7366,3605,13941
146,110,302,749,781,188,57,78,57,131,134,335,-2609,7366,3605,13941
147,110,302,749,781,188,57,78,57,113,86,326,-2673,7362,3592,13934
148,99,249,648,644,156,53,74,58,113,86,326,-2673,7362,3592,13934
149,99,249,648,644,156,53,74,58,21,57,225,-2716,7362,3567,13932
150,104,244,679,570,164,77,76,59,21,57,225,-2716,7362,3567,13932
151,104,244,679,570,164,77,76,59,130,44,237,-2767,7358,3560,13926
152,103,222,633,642,185,133,80,59,130,44,237,-2767,7358,3560,13926
153,103,222,633,642,185,133,80,59,92,9,209,-2805,7360,3559,13918
154,96,206,613,609,171,141,78,58,92,9,209,-2805,7360,3559,13918
155,96,206,613,609,171,141,78,58,34,-7,208,-2838,7367,3550,13910
156,101,219,683,610,181,196,77,55,34,-7,208,-2838,7367,3550,13910
157,101,219,683,610,181,196,77,55,-10,-41,198,-2866,7381,3533,13901
158,97,234,729,641,204,248,79,47,-10,-41,198,-2866,7381,3533,13901
159,97,234,729,641,204,248,79,47,35,-20,215,-2901,7392,3521,13891
160,106,235,701,630,264,244,83,46,35,-20,215,-2901,7392,3521,13891
161,106,235,701,630,264,244,83,46,135,-3,222,-2947,7399,3523,13877
162,99,238,692,544,255,223,79,43,135,-3,222,-2947,7399,3523,13877
163,99,238,692,544,255,223,79,43,179,30,234,-2999,7401,3530,13863
164,100,237,654,550,261,222,79,45,179,30,234,-2999,7401,3530,13863
165,100,237,654,550,261,222,79,45,202,16,230,-3052,7405,3538,13847
166,93,221,577,547,259,177,85,46,202,16,230,-3052,7405,3538,13847
167,93,221,577,547,259,177,85,46,276,21,198,-3107,7401,3561,13831
168,98,215,444,500,307,95,86,48,276,21,198,-3107,7401,3561,13831
169,98,215,444,500,307,95,86,48,241,-24,176,-3155,7404,3580,13814
170,85,191,373,436,345,90,83,48,241,-24,176,-3155,7404,3580,13814
171,85,191,373,436,345,90,83,48,161,-53,152,-3190,7414,3591,13798
172,79,183,277,355,334,79,84,51,161,-53,152,-3190,7414,3591,13798
173,79,183,277,355,334,79,84,51,186,-41,148,-3229,7421,3603,13782
174,78,186,267,362,330,70,83,52,186,-41,148,-3229,7421,3603,13782
175,78,186,267,362,330,70,83,52,151,-27,170,-3266,7429,3615,13766
176,77,230,255,327,328,70,76,56,151,-27,170,-3266,7429,3615,13766
177,77,230,255,327,328,70,76,56,155,-19,214,-3307,7440,3626,13747
178,75,188,235,293,268,67,76,57,155,-19,214,-3307,7440,3626,13747
