,Gyro 0,Gyro 1,Gyro 2,Label,Orientation 0,Orientation 1,Orientation 2,Orientation 3,Sensor 0,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Timestamp
0,8.0,-21.0,-89.0,0.0,-550.0,-6625.0,-8517.0,-12318.0,-1.0,-6.0,0.0,-34.0,-7.0,-11.0,-3.0,-1.0,2.1457672119140625e-06
1,8.0,-21.0,-89.0,0.0,-550.0,-6625.0,-8517.0,-12318.0,1.0,3.0,16.0,56.0,11.0,-20.0,2.0,2.0,0.002293109893798828
2,8.0,-21.0,-89.0,0.0,-550.0,-6625.0,-8517.0,-12318.0,0.0,2.0,-1.0,-5.0,23.0,8.0,-2.0,-1.0,0.004229068756103516
3,8.0,-21.0,-89.0,0.0,-550.0,-6625.0,-8517.0,-12318.0,-1.0,-2.0,-3.0,-8.0,30.0,28.0,3.0,3.0,0.007111549377441406
4,8.0,-21.0,-89.0,0.0,-550.0,-6625.0,-8517.0,-12318.0,0.0,0.0,2.0,-68.0,-5.0,5.0,-1.0,0.0,0.00981593132019043
5,8.0,-21.0,-89.0,0.0,-550.0,-6625.0,-8517.0,-12318.0,0.0,-2.0,18.0,75.0,-27.0,8.0,1.0,0.0,0.01194000244140625
6,8.0,-21.0,-89.0,0.0,-550.0,-6625.0,-8517.0,-12318.0,-3.0,-2.0,-5.0,63.0,-2.0,0.0,1.0,-3.0,0.013972759246826172
7,11.0,2.0,-49.0,0.0,-559.0,-6620.0,-8510.0,-12325.0,-3.0,-2.0,-5.0,63.0,-2.0,0.0,1.0,-3.0,0.015856504440307617
8,11.0,2.0,-49.0,0.0,-559.0,-6620.0,-8510.0,-12325.0,-5.0,-3.0,-11.0,-29.0,-3.0,-8.0,-5.0,-5.0,0.01776742935180664
9,11.0,2.0,-49.0,0.0,-559.0,-6620.0,-8510.0,-12325.0,5.0,2.0,-2.0,5.0,1.0,8.0,1.0,0.0,0.020093917846679688
10,40.0,-32.0,-26.0,0.0,-561.0,-6621.0,-8512.0,-12323.0,5.0,2.0,-2.0,5.0,1.0,8.0,1.0,0.0,0.022736310958862305
11,40.0,-32.0,-26.0,0.0,-561.0,-6621.0,-8512.0,-12323.0,-1.0,-1.0,-2.0,34.0,89.0,-2.0,1.0,0.0,0.024950027465820312
12,40.0,-32.0,-26.0,0.0,-561.0,-6621.0,-8512.0,-12323.0,-3.0,-2.0,-21.0,1.0,20.0,-9.0,-6.0,-2.0,0.026829957962036133
13,107.0,-7.0,22.0,0.0,-547.0,-6627.0,-8521.0,-12314.0,-3.0,-2.0,-21.0,1.0,20.0,-9.0,-6.0,-2.0,0.028640031814575195
14,107.0,-7.0,22.0,0.0,-547.0,-6627.0,-8521.0,-12314.0,0.0,-3.0,-4.0,-34.0,-2.0,0.0,-2.0,-4.0,0.030583858489990234
15,107.0,-7.0,22.0,0.0,-547.0,-6627.0,-8521.0,-12314.0,-3.0,-2.0,-1.0,-5.0,-22.0,9.0,4.0,0.0,0.03276824951171875
16,81.0,-41.0,6.0,0.0,-546.0,-6633.0,-8535.0,-12301.0,-3.0,-2.0,-1.0,-5.0,-22.0,9.0,4.0,0.0,0.034837961196899414
17,81.0,-41.0,6.0,0.0,-546.0,-6633.0,-8535.0,-12301.0,1.0,-1.0,-15.0,-65.0,-30.0,-10.0,-4.0,0.0,0.03679347038269043
18,81.0,-41.0,6.0,0.0,-546.0,-6633.0,-8535.0,-12301.0,-2.0,-4.0,-1.0,-9.0,-47.0,-10.0,-3.0,-2.0,0.03860807418823242
19,-21.0,-41.0,21.0,0.0,-546.0,-6641.0,-8527.0,-12302.0,-2.0,-4.0,-1.0,-9.0,-47.0,-10.0,-3.0,-2.0,0.04038882255554199
20,-21.0,-41.0,21.0,0.0,-546.0,-6641.0,-8527.0,-12302.0,-1.0,-3.0,-8.0,-19.0,-25.0,5.0,1.0,-1.0,0.04228520393371582
21,-21.0,-41.0,21.0,0.0,-546.0,-6641.0,-8527.0,-12302.0,-1.0,2.0,19.0,20.0,15.0,-16.0,-3.0,2.0,0.04405713081359863
22,49.0,-14.0,37.0,0.0,-534.0,-6650.0,-8526.0,-12299.0,-1.0,2.0,19.0,20.0,15.0,-16.0,-3.0,2.0,0.04587149620056152
23,49.0,-14.0,37.0,0.0,-534.0,-6650.0,-8526.0,-12299.0,0.0,-1.0,-4.0,8.0,-25.0,-1.0,0.0,-2.0,0.04775571823120117
24,49.0,-14.0,37.0,0.0,-534.0,-6650.0,-8526.0,-12299.0,-1.0,-4.0,-6.0,3.0,13.0,-13.0,0.0,-1.0,0.04955434799194336
25,69.0,-36.0,52.0,0.0,-527.0,-6658.0,-8532.0,-12290.0,-1.0,-4.0,-6.0,3.0,13.0,-13.0,0.0,-1.0,0.05164170265197754
26,69.0,-36.0,52.0,0.0,-527.0,-6658.0,-8532.0,-12290.0,1.0,7.0,10.0,-37.0,15.0,7.0,1.0,1.0,0.05380702018737793
27,69.0,-36.0,52.0,0.0,-527.0,-6658.0,-8532.0,-12290.0,-1.0,-1.0,-16.0,-15.0,-2.0,13.0,-2.0,0.0,0.05582427978515625
28,65.0,-44.0,63.0,0.0,-517.0,-6670.0,-8536.0,-12282.0,-1.0,-1.0,-16.0,-15.0,-2.0,13.0,-2.0,0.0,0.057631492614746094
29,65.0,-44.0,63.0,0.0,-517.0,-6670.0,-8536.0,-12282.0,-4.0,-3.0,-18.0,-83.0,7.0,16.0,-1.0,-3.0,0.05949687957763672
30,65.0,-44.0,63.0,0.0,-517.0,-6670.0,-8536.0,-12282.0,-1.0,0.0,0.0,12.0,-7.0,-8.0,-6.0,-1.0,0.06127738952636719
31,73.0,-45.0,82.0,0.0,-507.0,-6684.0,-8542.0,-12270.0,-1.0,0.0,0.0,12.0,-7.0,-8.0,-6.0,-1.0,0.06304192543029785
32,73.0,-45.0,82.0,0.0,-507.0,-6684.0,-8542.0,-12270.0,0.0,0.0,10.0,41.0,3.0,-4.0,0.0,-2.0,0.06492114067077637
33,73.0,-45.0,82.0,0.0,-507.0,-6684.0,-8542.0,-12270.0,-3.0,-12.0,-10.0,8.0,0.0,5.0,1.0,-1.0,0.0666818618774414
34,9.0,-44.0,66.0,0.0,-505.0,-6694.0,-8542.0,-12265.0,-3.0,-12.0,-10.0,8.0,0.0,5.0,1.0,-1.0,0.06846785545349121
35,9.0,-44.0,66.0,0.0,-505.0,-6694.0,-8542.0,-12265.0,0.0,3.0,10.0,-10.0,-25.0,-13.0,-5.0,0.0,0.07032227516174316
36,9.0,-44.0,66.0,0.0,-505.0,-6694.0,-8542.0,-12265.0,-2.0,-3.0,-13.0,4.0,5.0,-3.0,1.0,1.0,0.07365846633911133
37,-53.0,-23.0,68.0,0.0,-503.0,-6701.0,-8531.0,-12269.0,-2.0,-3.0,-13.0,4.0,5.0,-3.0,1.0,1.0,0.07629609107971191
