,Gyro 0,Gyro 1,Gyro 2,Label,Orientation 0,Orientation 1,Orientation 2,Orientation 3,Sensor 0,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Timestamp
0,-24.0,49.0,-9.0,0.0,8642.0,1454.0,-11944.0,-6998.0,-5.0,-11.0,21.0,-3.0,-6.0,-7.0,-3.0,-3.0,1.9073486328125e-06
1,-24.0,49.0,-9.0,0.0,8642.0,1454.0,-11944.0,-6998.0,1.0,-7.0,-3.0,2.0,0.0,4.0,1.0,2.0,0.0028972625732421875
2,-24.0,49.0,-9.0,0.0,8642.0,1454.0,-11944.0,-6998.0,-5.0,-6.0,0.0,3.0,-5.0,-3.0,-3.0,-5.0,0.005504608154296875
3,0.0,61.0,-12.0,0.0,8646.0,1462.0,-11941.0,-6998.0,-5.0,-6.0,0.0,3.0,-5.0,-3.0,-3.0,-5.0,0.007949113845825195
4,0.0,61.0,-12.0,0.0,8646.0,1462.0,-11941.0,-6998.0,3.0,9.0,16.0,5.0,1.0,9.0,4.0,0.0,0.010338544845581055
5,-1.0,59.0,-11.0,0.0,8650.0,1470.0,-11937.0,-6998.0,3.0,9.0,16.0,5.0,1.0,9.0,4.0,0.0,0.012645244598388672
6,-1.0,59.0,-11.0,0.0,8650.0,1470.0,-11937.0,-6998.0,-1.0,-8.0,-11.0,8.0,-3.0,-6.0,4.0,3.0,0.0150604248046875
7,-1.0,59.0,-11.0,0.0,8650.0,1470.0,-11937.0,-6998.0,2.0,4.0,-18.0,2.0,8.0,6.0,-9.0,-2.0,0.01737236976623535
8,-15.0,61.0,-14.0,0.0,8654.0,1476.0,-11933.0,-6998.0,2.0,4.0,-18.0,2.0,8.0,6.0,-9.0,-2.0,0.019690513610839844
9,-15.0,61.0,-14.0,0.0,8654.0,1476.0,-11933.0,-6998.0,-4.0,-10.0,3.0,-1.0,-18.0,-20.0,-2.0,-1.0,0.02266526222229004
10,-15.0,61.0,-14.0,0.0,8654.0,1476.0,-11933.0,-6998.0,1.0,-7.0,-13.0,-1.0,2.0,-7.0,6.0,3.0,0.025406837463378906
11,-3.0,54.0,-7.0,0.0,8658.0,1480.0,-11931.0,-6995.0,1.0,-7.0,-13.0,-1.0,2.0,-7.0,6.0,3.0,0.027711868286132812
12,-3.0,54.0,-7.0,0.0,8658.0,1480.0,-11931.0,-6995.0,1.0,-1.0,5.0,8.0,-1.0,8.0,4.0,-1.0,0.03004932403564453
13,-3.0,54.0,-7.0,0.0,8658.0,1480.0,-11931.0,-6995.0,3.0,7.0,14.0,-9.0,11.0,4.0,3.0,4.0,0.03233981132507324
14,37.0,53.0,-15.0,0.0,8662.0,1489.0,-11932.0,-6988.0,3.0,7.0,14.0,-9.0,11.0,4.0,3.0,4.0,0.03469061851501465
15,37.0,53.0,-15.0,0.0,8662.0,1489.0,-11932.0,-6988.0,-5.0,4.0,37.0,-3.0,9.0,1.0,-1.0,0.0,0.03709268569946289
16,37.0,53.0,-15.0,0.0,8662.0,1489.0,-11932.0,-6988.0,2.0,1.0,2.0,7.0,-1.0,3.0,-5.0,-3.0,0.03938770294189453
17,50.0,53.0,-12.0,0.0,8664.0,1501.0,-11933.0,-6980.0,2.0,1.0,2.0,7.0,-1.0,3.0,-5.0,-3.0,0.04166221618652344
18,50.0,53.0,-12.0,0.0,8664.0,1501.0,-11933.0,-6980.0,4.0,9.0,-30.0,-8.0,-3.0,4.0,-3.0,-4.0,0.04400467872619629
19,50.0,53.0,-12.0,0.0,8664.0,1501.0,-11933.0,-6980.0,0.0,6.0,25.0,3.0,6.0,6.0,0.0,0.0,0.046273231506347656
20,36.0,38.0,11.0,0.0,8667.0,1505.0,-11936.0,-6971.0,0.0,6.0,25.0,3.0,6.0,6.0,0.0,0.0,0.04860687255859375
21,36.0,38.0,11.0,0.0,8667.0,1505.0,-11936.0,-6971.0,-1.0,5.0,0.0,-2.0,-14.0,1.0,-7.0,-4.0,0.050952911376953125
22,36.0,38.0,11.0,0.0,8667.0,1505.0,-11936.0,-6971.0,-2.0,-4.0,-25.0,-7.0,-10.0,-18.0,-6.0,-6.0,0.05372118949890137
23,0.0,30.0,23.0,0.0,8672.0,1505.0,-11934.0,-6968.0,-2.0,-4.0,-25.0,-7.0,-10.0,-18.0,-6.0,-6.0,0.05642819404602051
24,0.0,30.0,23.0,0.0,8672.0,1505.0,-11934.0,-6968.0,-1.0,-4.0,12.0,0.0,12.0,7.0,-4.0,-3.0,0.05887293815612793
25,0.0,30.0,23.0,0.0,8672.0,1505.0,-11934.0,-6968.0,-2.0,-4.0,-28.0,2.0,6.0,4.0,-5.0,-4.0,0.06114506721496582
26,13.0,24.0,25.0,0.0,8675.0,1505.0,-11936.0,-6962.0,-2.0,-4.0,-28.0,2.0,6.0,4.0,-5.0,-4.0,0.06345605850219727
27,13.0,24.0,25.0,0.0,8675.0,1505.0,-11936.0,-6962.0,0.0,2.0,-13.0,-7.0,-9.0,7.0,7.0,5.0,0.06583333015441895
28,13.0,24.0,25.0,0.0,8675.0,1505.0,-11936.0,-6962.0,-2.0,-1.0,-15.0,-3.0,-2.0,4.0,-1.0,0.0,0.06810998916625977
29,26.0,14.0,28.0,0.0,8677.0,1504.0,-11939.0,-6953.0,-2.0,-1.0,-15.0,-3.0,-2.0,4.0,-1.0,0.0,0.07039713859558105
30,26.0,14.0,28.0,0.0,8677.0,1504.0,-11939.0,-6953.0,-1.0,-2.0,0.0,0.0,6.0,3.0,-1.0,-3.0,0.07308673858642578
31,26.0,14.0,28.0,0.0,8677.0,1504.0,-11939.0,-6953.0,1.0,9.0,19.0,-4.0,0.0,2.0,1.0,2.0,0.0754084587097168
32,10.0,5.0,32.0,0.0,8679.0,1502.0,-11941.0,-6949.0,1.0,9.0,19.0,-4.0,0.0,2.0,1.0,2.0,0.07770037651062012
33,10.0,5.0,32.0,0.0,8679.0,1502.0,-11941.0,-6949.0,1.0,0.0,-10.0,-4.0,-11.0,-5.0,-5.0,0.0,0.08008551597595215
34,10.0,5.0,32.0,0.0,8679.0,1502.0,-11941.0,-6949.0,2.0,6.0,-7.0,-3.0,-11.0,-1.0,5.0,5.0,0.08235669136047363
35,2.0,-4.0,39.0,0.0,8680.0,1498.0,-11943.0,-6944.0,2.0,6.0,-7.0,-3.0,-11.0,-1.0,5.0,5.0,0.08530759811401367
36,2.0,-4.0,39.0,0.0,8680.0,1498.0,-11943.0,-6944.0,0.0,7.0,-4.0,-6.0,8.0,-17.0,17.0,1.0,0.08803033828735352
37,2.0,-4.0,39.0,0.0,8680.0,1498.0,-11943.0,-6944.0,-1.0,-6.0,-8.0,-4.0,1.0,-7.0,-2.0,-2.0,0.09032344818115234
38,24.0,-7.0,41.0,0.0,8681.0,1495.0,-11947.0,-6937.0,-1.0,-6.0,-8.0,-4.0,1.0,-7.0,-2.0,-2.0,0.09260177612304688
39,24.0,-7.0,41.0,0.0,8681.0,1495.0,-11947.0,-6937.0,-5.0,-15.0,-22.0,-5.0,-4.0,1.0,-5.0,-1.0,0.09505295753479004
40,24.0,-7.0,41.0,0.0,8681.0,1495.0,-11947.0,-6937.0,-1.0,-3.0,19.0,4.0,-11.0,-27.0,-7.0,-3.0,0.09737181663513184
41,54.0,-15.0,45.0,0.0,8680.0,1494.0,-11955.0,-6926.0,-1.0,-3.0,19.0,4.0,-11.0,-27.0,-7.0,-3.0,0.09965777397155762
42,54.0,-15.0,45.0,0.0,8680.0,1494.0,-11955.0,-6926.0,1.0,-2.0,22.0,6.0,9.0,-14.0,0.0,2.0,0.1020359992980957
43,54.0,-15.0,45.0,0.0,8680.0,1494.0,-11955.0,-6926.0,-4.0,-10.0,3.0,3.0,-6.0,0.0,-4.0,-5.0,0.10434150695800781
44,41.0,0.0,47.0,0.0,8680.0,1495.0,-11960.0,-6917.0,-4.0,-10.0,3.0,3.0,-6.0,0.0,-4.0,-5.0,0.10660362243652344
45,41.0,0.0,47.0,0.0,8680.0,1495.0,-11960.0,-6917.0,3.0,17.0,16.0,-2.0,-4.0,10.0,-7.0,-2.0,0.10894584655761719
46,41.0,0.0,47.0,0.0,8680.0,1495.0,-11960.0,-6917.0,3.0,0.0,-2.0,2.0,14.0,0.0,1.0,3.0,0.11121821403503418
47,26.0,0.0,44.0,0.0,8681.0,1494.0,-11962.0,-6911.0,3.0,0.0,-2.0,2.0,14.0,0.0,1.0,3.0,0.11367964744567871
48,26.0,0.0,44.0,0.0,8681.0,1494.0,-11962.0,-6911.0,-6.0,-11.0,-14.0,-10.0,4.0,-1.0,-16.0,-15.0,0.11664032936096191
49,26.0,0.0,44.0,0.0,8681.0,1494.0,-11962.0,-6911.0,2.0,-3.0,-24.0,-11.0,1.0,13.0,-2.0,5.0,0.11943244934082031
50,18.0,8.0,50.0,0.0,8684.0,1492.0,-11963.0,-6906.0,2.0,-3.0,-24.0,-11.0,1.0,13.0,-2.0,5.0,0.12171697616577148
51,18.0,8.0,50.0,0.0,8684.0,1492.0,-11963.0,-6906.0,1.0,-1.0,-7.0,-4.0,0.0,27.0,6.0,5.0,0.12407541275024414
52,18.0,8.0,50.0,0.0,8684.0,1492.0,-11963.0,-6906.0,1.0,8.0,-10.0,-4.0,-12.0,3.0,6.0,3.0,0.12636613845825195
53,-3.0,8.0,33.0,0.0,8687.0,1489.0,-11963.0,-6904.0,1.0,8.0,-10.0,-4.0,-12.0,3.0,6.0,3.0,0.12871026992797852
54,-3.0,8.0,33.0,0.0,8687.0,1489.0,-11963.0,-6904.0,-1.0,7.0,14.0,-1.0,2.0,4.0,0.0,-6.0,0.13119840621948242
55,-3.0,8.0,33.0,0.0,8687.0,1489.0,-11963.0,-6904.0,-3.0,-5.0,1.0,-1.0,-8.0,-4.0,-7.0,-7.0,0.13354825973510742
56,19.0,8.0,28.0,0.0,8689.0,1488.0,-11964.0,-6899.0,-3.0,-5.0,1.0,-1.0,-8.0,-4.0,-7.0,-7.0,0.1358623504638672
57,19.0,8.0,28.0,0.0,8689.0,1488.0,-11964.0,-6899.0,2.0,10.0,16.0,12.0,-7.0,-3.0,2.0,0.0,0.13820123672485352
58,19.0,8.0,28.0,0.0,8689.0,1488.0,-11964.0,-6899.0,-2.0,-1.0,20.0,7.0,4.0,0.0,2.0,3.0,0.14049363136291504
59,38.0,4.0,20.0,0.0,8688.0,1492.0,-11968.0,-6892.0,-2.0,-1.0,20.0,7.0,4.0,0.0,2.0,3.0,0.1427609920501709
60,38.0,4.0,20.0,0.0,8688.0,1492.0,-11968.0,-6892.0,-2.0,-7.0,-5.0,1.0,6.0,-7.0,5.0,5.0,0.14513826370239258
61,38.0,4.0,20.0,0.0,8688.0,1492.0,-11968.0,-6892.0,0.0,-4.0,-13.0,5.0,19.0,4.0,4.0,-5.0,0.14809489250183105
62,24.0,10.0,7.0,0.0,8687.0,1496.0,-11970.0,-6889.0,0.0,-4.0,-13.0,5.0,19.0,4.0,4.0,-5.0,0.15075421333312988
63,24.0,10.0,7.0,0.0,8687.0,1496.0,-11970.0,-6889.0,1.0,2.0,8.0,-1.0,4.0,-14.0,10.0,3.0,0.15310287475585938
64,24.0,10.0,7.0,0.0,8687.0,1496.0,-11970.0,-6889.0,-4.0,-12.0,-50.0,-13.0,-9.0,-6.0,-7.0,-7.0,0.15546369552612305
65,15.0,26.0,6.0,0.0,8688.0,1502.0,-11969.0,-6889.0,-4.0,-12.0,-50.0,-13.0,-9.0,-6.0,-7.0,-7.0,0.1577589511871338
66,15.0,26.0,6.0,0.0,8688.0,1502.0,-11969.0,-6889.0,3.0,17.0,38.0,-2.0,0.0,-5.0,0.0,4.0,0.16010355949401855
67,15.0,26.0,6.0,0.0,8688.0,1502.0,-11969.0,-6889.0,-3.0,-8.0,2.0,3.0,5.0,12.0,7.0,3.0,0.1625378131866455
68,-5.0,35.0,5.0,0.0,8693.0,1506.0,-11964.0,-6891.0,-3.0,-8.0,2.0,3.0,5.0,12.0,7.0,3.0,0.1649184226989746
69,-5.0,35.0,5.0,0.0,8693.0,1506.0,-11964.0,-6891.0,1.0,-3.0,-32.0,9.0,-1.0,4.0,-3.0,1.0,0.16727328300476074
70,-5.0,35.0,5.0,0.0,8693.0,1506.0,-11964.0,-6891.0,-1.0,3.0,15.0,-3.0,-5.0,-7.0,2.0,1.0,0.16952824592590332
71,-13.0,31.0,3.0,0.0,8697.0,1507.0,-11960.0,-6892.0,-1.0,3.0,15.0,-3.0,-5.0,-7.0,2.0,1.0,0.1718277931213379
72,-13.0,31.0,3.0,0.0,8697.0,1507.0,-11960.0,-6892.0,0.0,-5.0,1.0,4.0,5.0,7.0,1.0,-3.0,0.17416596412658691
73,-13.0,31.0,3.0,0.0,8697.0,1507.0,-11960.0,-6892.0,-5.0,-2.0,-1.0,-8.0,-3.0,3.0,-3.0,-5.0,0.17647409439086914
74,-4.0,39.0,3.0,0.0,8701.0,1511.0,-11956.0,-6892.0,-5.0,-2.0,-1.0,-8.0,-3.0,3.0,-3.0,-5.0,0.17989826202392578
75,-4.0,39.0,3.0,0.0,8701.0,1511.0,-11956.0,-6892.0,-3.0,-4.0,-1.0,-4.0,0.0,3.0,-10.0,-5.0,0.18239545822143555
76,-4.0,39.0,3.0,0.0,8701.0,1511.0,-11956.0,-6892.0,3.0,7.0,11.0,1.0,-4.0,-6.0,-22.0,-20.0,0.1846754550933838
