,Gyro 0,Gyro 1,Gyro 2,Orientation 0,Orientation 1,Orientation 2,Orientation 3,Sensor 0,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Timestamp
0,-16.0,13.0,-1.0,-9668.0,3389.0,7807.0,-10126.0,1.0,-3.0,0.0,2.0,2.0,-3.0,1.0,-2.0,1.1920928955078125e-06
1,-16.0,13.0,-1.0,-9668.0,3389.0,7807.0,-10126.0,0.0,-1.0,1.0,-1.0,-1.0,-3.0,-2.0,-1.0,0.0024056434631347656
2,-16.0,13.0,-1.0,-9668.0,3389.0,7807.0,-10126.0,-1.0,1.0,-2.0,2.0,-2.0,-2.0,-4.0,-1.0,0.004552125930786133
3,-14.0,7.0,0.0,-9668.0,3390.0,7807.0,-10126.0,-1.0,1.0,-2.0,2.0,-2.0,-2.0,-4.0,-1.0,0.0068132877349853516
4,-20.0,10.0,-1.0,-9666.0,3396.0,7810.0,-10124.0,-1.0,1.0,-2.0,2.0,-2.0,-2.0,-4.0,-1.0,0.009243488311767578
5,-20.0,10.0,-1.0,-9666.0,3396.0,7810.0,-10124.0,1.0,-1.0,-3.0,2.0,1.0,-3.0,-2.0,-1.0,0.013533353805541992
6,-20.0,10.0,-1.0,-9666.0,3396.0,7810.0,-10124.0,-2.0,-1.0,-2.0,-1.0,-3.0,-2.0,-2.0,0.0,0.01613163948059082
7,-19.0,13.0,0.0,-9664.0,3402.0,7812.0,-10122.0,-2.0,-1.0,-2.0,-1.0,-3.0,-2.0,-2.0,0.0,0.018930435180664062
8,-19.0,13.0,0.0,-9664.0,3402.0,7812.0,-10122.0,0.0,-3.0,1.0,3.0,2.0,0.0,2.0,1.0,0.02223491668701172
9,-19.0,13.0,0.0,-9664.0,3402.0,7812.0,-10122.0,1.0,-1.0,-3.0,-3.0,-2.0,1.0,0.0,0.0,0.024486541748046875
10,-17.0,15.0,1.0,-9663.0,3408.0,7812.0,-10120.0,1.0,-1.0,-3.0,-3.0,-2.0,1.0,0.0,0.0,0.026491641998291016
11,-17.0,15.0,1.0,-9663.0,3408.0,7812.0,-10120.0,0.0,-1.0,-2.0,1.0,0.0,0.0,0.0,-3.0,0.028531312942504883
12,-17.0,15.0,1.0,-9663.0,3408.0,7812.0,-10120.0,0.0,-2.0,-2.0,-1.0,-4.0,-1.0,-4.0,-1.0,0.030477523803710938
13,-19.0,13.0,1.0,-9662.0,3415.0,7813.0,-10119.0,0.0,-2.0,-2.0,-1.0,-4.0,-1.0,-4.0,-1.0,0.03244638442993164
14,-19.0,13.0,1.0,-9662.0,3415.0,7813.0,-10119.0,2.0,-1.0,0.0,1.0,-4.0,-2.0,-1.0,-1.0,0.03472447395324707
15,-19.0,13.0,1.0,-9662.0,3415.0,7813.0,-10119.0,-1.0,-1.0,-1.0,0.0,5.0,1.0,0.0,0.0,0.03673076629638672
16,-21.0,17.0,4.0,-9660.0,3422.0,7815.0,-10117.0,-1.0,-1.0,-1.0,0.0,5.0,1.0,0.0,0.0,0.03874492645263672
17,-21.0,17.0,4.0,-9660.0,3422.0,7815.0,-10117.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.040557861328125
18,-21.0,17.0,4.0,-9660.0,3422.0,7815.0,-10117.0,-1.0,-1.0,1.0,-2.0,1.0,1.0,0.0,-2.0,0.04232525825500488
19,-11.0,13.0,-3.0,-9660.0,3423.0,7815.0,-10117.0,-1.0,-1.0,1.0,-2.0,1.0,1.0,0.0,-2.0,0.044042110443115234
