,Timestamp,Sensor 0,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Gyro 0,Gyro 1,Gyro 2,Acc 1,Acc 2,Acc 3
0,1557408772.406163,68.0,142.0,283.0,54.0,134.0,235.0,136.0,45.0,-109.0,43.0,-21.0,989.0,1654.0,-345.0
1,1557408772.408548,95.0,176.0,390.0,95.0,161.0,277.0,170.0,52.0,-109.0,43.0,-21.0,989.0,1654.0,-345.0
2,1557408772.410669,95.0,176.0,390.0,95.0,161.0,277.0,170.0,52.0,-40.0,42.0,6.0,980.0,1638.0,-348.0
3,1557408772.413814,104.0,185.0,406.0,110.0,231.0,315.0,235.0,57.0,-40.0,42.0,6.0,980.0,1638.0,-348.0
4,1557408772.415907,104.0,185.0,406.0,110.0,231.0,315.0,235.0,57.0,41.0,72.0,9.0,1004.0,1715.0,-331.0
5,1557408772.417772,125.0,219.0,497.0,412.0,285.0,378.0,402.0,111.0,41.0,72.0,9.0,1004.0,1715.0,-331.0
6,1557408772.419615,125.0,219.0,497.0,412.0,285.0,378.0,402.0,111.0,184.0,126.0,-35.0,949.0,1796.0,-411.0
7,1557408772.421415,135.0,212.0,608.0,507.0,446.0,479.0,544.0,202.0,184.0,126.0,-35.0,949.0,1796.0,-411.0
8,1557408772.423826,135.0,212.0,608.0,507.0,446.0,479.0,544.0,202.0,106.0,107.0,-134.0,940.0,1807.0,-544.0
9,1557408772.42654,187.0,263.0,696.0,630.0,653.0,718.0,671.0,429.0,106.0,107.0,-134.0,940.0,1807.0,-544.0
10,1557408772.428488,187.0,263.0,696.0,630.0,653.0,718.0,671.0,429.0,-404.0,-7.0,-135.0,959.0,1801.0,-485.0
11,1557408772.430291,246.0,259.0,716.0,673.0,778.0,838.0,746.0,593.0,-404.0,-7.0,-135.0,959.0,1801.0,-485.0
12,1557408772.432134,246.0,259.0,716.0,673.0,778.0,838.0,746.0,593.0,-740.0,-44.0,-86.0,993.0,1498.0,-249.0
13,1557408772.434478,263.0,260.0,714.0,766.0,869.0,933.0,824.0,677.0,-740.0,-44.0,-86.0,993.0,1498.0,-249.0
14,1557408772.436476,263.0,260.0,714.0,766.0,869.0,933.0,824.0,677.0,-649.0,-69.0,97.0,1026.0,1355.0,-248.0
15,1557408772.438296,266.0,263.0,690.0,711.0,930.0,1009.0,910.0,870.0,-649.0,-69.0,97.0,1026.0,1355.0,-248.0
16,1557408772.440149,266.0,263.0,690.0,711.0,930.0,1009.0,910.0,870.0,-318.0,-21.0,49.0,1061.0,1492.0,-237.0
17,1557408772.441922,270.0,287.0,610.0,898.0,997.0,1132.0,936.0,1071.0,-318.0,-21.0,49.0,1061.0,1492.0,-237.0
18,1557408772.443962,270.0,287.0,610.0,898.0,997.0,1132.0,936.0,1071.0,-182.0,-13.0,47.0,1018.0,1719.0,-315.0
19,1557408772.445839,243.0,270.0,575.0,957.0,942.0,1095.0,895.0,1085.0,-182.0,-13.0,47.0,1018.0,1719.0,-315.0
20,1557408772.447694,243.0,270.0,575.0,957.0,942.0,1095.0,895.0,1085.0,-328.0,-18.0,79.0,1008.0,1702.0,-266.0
21,1557408772.449564,242.0,306.0,529.0,1053.0,1052.0,1171.0,939.0,1093.0,-328.0,-18.0,79.0,1008.0,1702.0,-266.0
22,1557408772.451452,242.0,306.0,529.0,1053.0,1052.0,1171.0,939.0,1093.0,-313.0,5.0,132.0,1058.0,1678.0,-190.0
23,1557408772.453707,233.0,319.0,627.0,1117.0,1040.0,1112.0,929.0,1209.0,-313.0,5.0,132.0,1058.0,1678.0,-190.0
24,1557408772.456146,233.0,319.0,627.0,1117.0,1040.0,1112.0,929.0,1209.0,-115.0,-56.0,71.0,1056.0,1630.0,-218.0
25,1557408772.458181,234.0,329.0,690.0,1202.0,1104.0,1091.0,878.0,1144.0,-115.0,-56.0,71.0,1056.0,1630.0,-218.0
26,1557408772.46025,234.0,329.0,690.0,1202.0,1104.0,1091.0,878.0,1144.0,-31.0,-116.0,55.0,1018.0,1753.0,-168.0
27,1557408772.462115,291.0,454.0,742.0,1128.0,1084.0,940.0,920.0,1018.0,-31.0,-116.0,55.0,1018.0,1753.0,-168.0
28,1557408772.46375,291.0,454.0,742.0,1128.0,1084.0,940.0,920.0,1018.0,-31.0,-116.0,55.0,1018.0,1753.0,-168.0
29,1557408772.465722,291.0,454.0,742.0,1128.0,1084.0,940.0,920.0,1018.0,-11.0,-146.0,93.0,1037.0,1797.0,-116.0
30,1557408772.467557,591.0,681.0,776.0,1079.0,1111.0,850.0,915.0,1039.0,-11.0,-146.0,93.0,1037.0,1797.0,-116.0
31,1557408772.469834,591.0,681.0,776.0,1079.0,1111.0,850.0,915.0,1039.0,108.0,-236.0,140.0,1038.0,1696.0,-31.0
32,1557408772.472949,697.0,822.0,796.0,1013.0,963.0,646.0,894.0,1062.0,108.0,-236.0,140.0,1038.0,1696.0,-31.0
33,1557408772.475341,697.0,822.0,796.0,1013.0,963.0,646.0,894.0,1062.0,-38.0,-245.0,53.0,1432.0,1305.0,-381.0
34,1557408772.477552,789.0,1012.0,885.0,1001.0,908.0,661.0,839.0,1039.0,-38.0,-245.0,53.0,1432.0,1305.0,-381.0
35,1557408772.479877,789.0,1012.0,885.0,1001.0,908.0,661.0,839.0,1039.0,-48.0,-122.0,-263.0,1292.0,1849.0,-376.0
36,1557408772.481831,890.0,1184.0,887.0,1001.0,924.0,581.0,864.0,1081.0,-48.0,-122.0,-263.0,1292.0,1849.0,-376.0
37,1557408772.483713,890.0,1184.0,887.0,1001.0,924.0,581.0,864.0,1081.0,-45.0,-52.0,-38.0,775.0,1959.0,-390.0
38,1557408772.486152,963.0,1240.0,912.0,1027.0,899.0,620.0,772.0,1102.0,-45.0,-52.0,-38.0,775.0,1959.0,-390.0
39,1557408772.488265,963.0,1240.0,912.0,1027.0,899.0,620.0,772.0,1102.0,-146.0,75.0,259.0,729.0,1975.0,-298.0
40,1557408772.490151,980.0,1257.0,1027.0,1009.0,896.0,663.0,779.0,1068.0,-146.0,75.0,259.0,729.0,1975.0,-298.0
41,1557408772.49219,980.0,1257.0,1027.0,1009.0,896.0,663.0,779.0,1068.0,-186.0,73.0,181.0,1129.0,1245.0,-103.0
42,1557408772.49449,1051.0,1278.0,1076.0,1018.0,929.0,624.0,765.0,1153.0,-186.0,73.0,181.0,1129.0,1245.0,-103.0
43,1557408772.496546,1051.0,1278.0,1076.0,1018.0,929.0,624.0,765.0,1153.0,41.0,31.0,43.0,1316.0,1376.0,-307.0
44,1557408772.498322,1117.0,1335.0,1038.0,975.0,1055.0,621.0,798.0,1068.0,41.0,31.0,43.0,1316.0,1376.0,-307.0
45,1557408772.500178,1117.0,1335.0,1038.0,975.0,1055.0,621.0,798.0,1068.0,103.0,19.0,-64.0,1026.0,1786.0,-272.0
46,1557408772.502012,1107.0,1331.0,1040.0,834.0,984.0,636.0,682.0,996.0,103.0,19.0,-64.0,1026.0,1786.0,-272.0
47,1557408772.503841,1107.0,1331.0,1040.0,834.0,984.0,636.0,682.0,996.0,-5.0,101.0,15.0,873.0,1809.0,-141.0
48,1557408772.505754,1084.0,1279.0,993.0,731.0,959.0,569.0,674.0,969.0,-5.0,101.0,15.0,873.0,1809.0,-141.0
49,1557408772.507589,1084.0,1279.0,993.0,731.0,959.0,569.0,674.0,969.0,-111.0,128.0,65.0,979.0,1609.0,-224.0
50,1557408772.509401,983.0,1331.0,889.0,721.0,968.0,530.0,701.0,954.0,-111.0,128.0,65.0,979.0,1609.0,-224.0
51,1557408772.51124,983.0,1331.0,889.0,721.0,968.0,530.0,701.0,954.0,-123.0,109.0,114.0,1011.0,1482.0,-211.0
52,1557408772.513023,1005.0,1393.0,925.0,751.0,968.0,550.0,644.0,905.0,-123.0,109.0,114.0,1011.0,1482.0,-211.0
53,1557408772.51492,1005.0,1393.0,925.0,751.0,968.0,550.0,644.0,905.0,-73.0,85.0,82.0,1000.0,1710.0,-252.0
54,1557408772.517262,987.0,1377.0,1014.0,714.0,918.0,582.0,670.0,986.0,-73.0,85.0,82.0,1000.0,1710.0,-252.0
55,1557408772.519396,987.0,1377.0,1014.0,714.0,918.0,582.0,670.0,986.0,-73.0,78.0,75.0,1090.0,1624.0,-284.0
56,1557408772.521214,1002.0,1300.0,1070.0,821.0,879.0,534.0,686.0,977.0,-73.0,78.0,75.0,1090.0,1624.0,-284.0
57,1557408772.523017,1002.0,1300.0,1070.0,821.0,879.0,534.0,686.0,977.0,-23.0,102.0,54.0,1036.0,1609.0,-254.0
58,1557408772.524789,1051.0,1418.0,1152.0,780.0,861.0,547.0,654.0,1012.0,-23.0,102.0,54.0,1036.0,1609.0,-254.0
59,1557408772.52662,1051.0,1418.0,1152.0,780.0,861.0,547.0,654.0,1012.0,-18.0,77.0,65.0,1086.0,1640.0,-267.0
