,Timestamp,Sensor 0,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Gyro 0,Gyro 1,Gyro 2,Acc 1,Acc 2,Acc 3
0,1556809929.689534,70.0,76.0,141.0,372.0,395.0,297.0,105.0,66.0,555.0,-668.0,-871.0,466.0,-2565.0,61.0
1,1556809929.692195,63.0,73.0,116.0,349.0,255.0,207.0,91.0,59.0,555.0,-668.0,-871.0,466.0,-2565.0,61.0
2,1556809929.694567,63.0,73.0,116.0,349.0,255.0,207.0,91.0,59.0,1283.0,-871.0,-763.0,702.0,-2245.0,61.0
3,1556809929.696832,39.0,49.0,97.0,304.0,223.0,177.0,75.0,41.0,1283.0,-871.0,-763.0,702.0,-2245.0,61.0
4,1556809929.6992,39.0,49.0,97.0,304.0,223.0,177.0,75.0,41.0,1537.0,-987.0,-691.0,448.0,-1996.0,92.0
5,1556809929.701188,33.0,47.0,61.0,268.0,159.0,141.0,60.0,37.0,1537.0,-987.0,-691.0,448.0,-1996.0,92.0
6,1556809929.703113,33.0,47.0,61.0,268.0,159.0,141.0,60.0,37.0,1340.0,-1177.0,-586.0,358.0,-1976.0,193.0
7,1556809929.704953,26.0,37.0,53.0,181.0,114.0,124.0,56.0,30.0,1340.0,-1177.0,-586.0,358.0,-1976.0,193.0
8,1556809929.706941,26.0,37.0,53.0,181.0,114.0,124.0,56.0,30.0,1076.0,-1288.0,-593.0,370.0,-1988.0,202.0
9,1556809929.709533,19.0,33.0,51.0,136.0,83.0,100.0,49.0,28.0,1076.0,-1288.0,-593.0,370.0,-1988.0,202.0
10,1556809929.711476,19.0,33.0,51.0,136.0,83.0,100.0,49.0,28.0,1040.0,-1340.0,-598.0,455.0,-2066.0,184.0
11,1556809929.713304,18.0,30.0,47.0,102.0,70.0,70.0,34.0,26.0,1040.0,-1340.0,-598.0,455.0,-2066.0,184.0
12,1556809929.715201,18.0,30.0,47.0,102.0,70.0,70.0,34.0,26.0,1108.0,-1224.0,-492.0,620.0,-2198.0,259.0
13,1556809929.717029,16.0,26.0,51.0,94.0,62.0,71.0,33.0,23.0,1108.0,-1224.0,-492.0,620.0,-2198.0,259.0
14,1556809929.71911,16.0,26.0,51.0,94.0,62.0,71.0,33.0,23.0,1119.0,-1003.0,-375.0,520.0,-2081.0,148.0
15,1556809929.721396,14.0,22.0,51.0,90.0,75.0,64.0,29.0,24.0,1119.0,-1003.0,-375.0,520.0,-2081.0,148.0
16,1556809929.723464,14.0,22.0,51.0,90.0,75.0,64.0,29.0,24.0,1204.0,-1030.0,-461.0,402.0,-1784.0,-54.0
17,1556809929.725306,18.0,29.0,53.0,92.0,102.0,96.0,36.0,22.0,1204.0,-1030.0,-461.0,402.0,-1784.0,-54.0
18,1556809929.727243,18.0,29.0,53.0,92.0,102.0,96.0,36.0,22.0,1145.0,-1300.0,-649.0,552.0,-1739.0,-31.0
19,1556809929.729107,28.0,39.0,76.0,76.0,102.0,105.0,39.0,25.0,1145.0,-1300.0,-649.0,552.0,-1739.0,-31.0
