,Gyro 0,Gyro 1,Gyro 2,Label,Orientation 0,Orientation 1,Orientation 2,Orientation 3,Sensor 0,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Timestamp
0,-46.0,27.0,46.0,1.0,2549.0,10727.0,6847.0,9997.0,-6.0,2.0,11.0,5.0,4.0,1.0,-13.0,-1.0,1.9073486328125e-06
1,-46.0,27.0,46.0,1.0,2549.0,10727.0,6847.0,9997.0,-2.0,-3.0,-7.0,2.0,-3.0,-3.0,1.0,-2.0,0.0028557777404785156
2,-46.0,27.0,46.0,1.0,2549.0,10727.0,6847.0,9997.0,3.0,6.0,28.0,7.0,17.0,1.0,-1.0,0.0,0.005366325378417969
3,-19.0,21.0,39.0,1.0,2545.0,10729.0,6843.0,10000.0,3.0,6.0,28.0,7.0,17.0,1.0,-1.0,0.0,0.007854461669921875
4,-19.0,21.0,39.0,1.0,2545.0,10729.0,6843.0,10000.0,0.0,12.0,20.0,2.0,-10.0,-2.0,-11.0,0.0,0.010231256484985352
5,-13.0,32.0,36.0,1.0,2539.0,10730.0,6838.0,10004.0,0.0,12.0,20.0,2.0,-10.0,-2.0,-11.0,0.0,0.012544393539428711
6,-13.0,32.0,36.0,1.0,2539.0,10730.0,6838.0,10004.0,-3.0,-11.0,-11.0,-2.0,8.0,1.0,1.0,-4.0,0.01486515998840332
7,-13.0,32.0,36.0,1.0,2539.0,10730.0,6838.0,10004.0,9.0,11.0,7.0,-2.0,-5.0,-3.0,6.0,2.0,0.01711726188659668
8,-1.0,29.0,30.0,1.0,2532.0,10730.0,6836.0,10006.0,9.0,11.0,7.0,-2.0,-5.0,-3.0,6.0,2.0,0.019385576248168945
9,-1.0,29.0,30.0,1.0,2532.0,10730.0,6836.0,10006.0,-6.0,-8.0,-9.0,-4.0,1.0,0.0,-4.0,4.0,0.022129535675048828
10,-1.0,29.0,30.0,1.0,2532.0,10730.0,6836.0,10006.0,-4.0,-9.0,-17.0,-8.0,-6.0,-6.0,-8.0,-6.0,0.024881601333618164
11,29.0,20.0,25.0,1.0,2523.0,10733.0,6837.0,10005.0,-4.0,-9.0,-17.0,-8.0,-6.0,-6.0,-8.0,-6.0,0.027249574661254883
12,29.0,20.0,25.0,1.0,2523.0,10733.0,6837.0,10005.0,2.0,0.0,3.0,-2.0,4.0,3.0,-2.0,-3.0,0.029583215713500977
13,29.0,20.0,25.0,1.0,2523.0,10733.0,6837.0,10005.0,0.0,-16.0,0.0,-1.0,-4.0,4.0,-7.0,1.0,0.031813859939575195
14,74.0,27.0,20.0,1.0,2510.0,10735.0,6845.0,10001.0,0.0,-16.0,0.0,-1.0,-4.0,4.0,-7.0,1.0,0.03404974937438965
15,74.0,27.0,20.0,1.0,2510.0,10735.0,6845.0,10001.0,-4.0,-2.0,6.0,-1.0,17.0,-3.0,-6.0,-3.0,0.03638792037963867
16,74.0,27.0,20.0,1.0,2510.0,10735.0,6845.0,10001.0,0.0,0.0,-14.0,4.0,4.0,-2.0,-7.0,-5.0,0.03873944282531738
17,98.0,28.0,14.0,1.0,2495.0,10737.0,6856.0,9995.0,0.0,0.0,-14.0,4.0,4.0,-2.0,-7.0,-5.0,0.04097867012023926
18,98.0,28.0,14.0,1.0,2495.0,10737.0,6856.0,9995.0,5.0,5.0,7.0,1.0,3.0,2.0,-4.0,3.0,0.04330730438232422
19,98.0,28.0,14.0,1.0,2495.0,10737.0,6856.0,9995.0,-7.0,-21.0,-47.0,-11.0,-24.0,-5.0,3.0,5.0,0.04555559158325195
20,63.0,22.0,15.0,1.0,2487.0,10737.0,6865.0,9990.0,-7.0,-21.0,-47.0,-11.0,-24.0,-5.0,3.0,5.0,0.04778432846069336
21,63.0,22.0,15.0,1.0,2487.0,10737.0,6865.0,9990.0,3.0,9.0,-12.0,2.0,2.0,3.0,0.0,1.0,0.050251007080078125
22,63.0,22.0,15.0,1.0,2487.0,10737.0,6865.0,9990.0,0.0,10.0,11.0,-4.0,4.0,-6.0,1.0,-4.0,0.052678823471069336
23,79.0,-23.0,43.0,1.0,2476.0,10747.0,6871.0,9979.0,0.0,10.0,11.0,-4.0,4.0,-6.0,1.0,-4.0,0.05553150177001953
24,79.0,-23.0,43.0,1.0,2476.0,10747.0,6871.0,9979.0,-1.0,4.0,4.0,-5.0,-14.0,-1.0,13.0,-2.0,0.05817580223083496
25,79.0,-23.0,43.0,1.0,2476.0,10747.0,6871.0,9979.0,-1.0,-3.0,-6.0,3.0,18.0,-4.0,-14.0,-2.0,0.06044483184814453
26,71.0,-43.0,41.0,1.0,2466.0,10760.0,6876.0,9964.0,-1.0,-3.0,-6.0,3.0,18.0,-4.0,-14.0,-2.0,0.06274819374084473
27,71.0,-43.0,41.0,1.0,2466.0,10760.0,6876.0,9964.0,-5.0,2.0,11.0,6.0,-20.0,-9.0,-1.0,3.0,0.0650777816772461
28,71.0,-43.0,41.0,1.0,2466.0,10760.0,6876.0,9964.0,6.0,8.0,-4.0,-5.0,-10.0,4.0,11.0,4.0,0.06733822822570801
29,45.0,-34.0,47.0,1.0,2458.0,10770.0,6877.0,9954.0,6.0,8.0,-4.0,-5.0,-10.0,4.0,11.0,4.0,0.0695807933807373
30,45.0,-34.0,47.0,1.0,2458.0,10770.0,6877.0,9954.0,-2.0,-9.0,18.0,-1.0,-1.0,-1.0,7.0,-3.0,0.07196688652038574
31,45.0,-34.0,47.0,1.0,2458.0,10770.0,6877.0,9954.0,-2.0,-7.0,-7.0,-5.0,4.0,4.0,9.0,-3.0,0.07426333427429199
32,37.0,-23.0,28.0,1.0,2453.0,10778.0,6880.0,9945.0,-2.0,-7.0,-7.0,-5.0,4.0,4.0,9.0,-3.0,0.07651996612548828
33,37.0,-23.0,28.0,1.0,2453.0,10778.0,6880.0,9945.0,0.0,17.0,11.0,-2.0,-7.0,-2.0,-6.0,-4.0,0.07913923263549805
34,37.0,-23.0,28.0,1.0,2453.0,10778.0,6880.0,9945.0,-5.0,-2.0,12.0,3.0,-12.0,-5.0,0.0,4.0,0.08141374588012695
35,38.0,-16.0,39.0,1.0,2446.0,10784.0,6881.0,9939.0,-5.0,-2.0,12.0,3.0,-12.0,-5.0,0.0,4.0,0.08380627632141113
36,38.0,-16.0,39.0,1.0,2446.0,10784.0,6881.0,9939.0,-3.0,-15.0,-13.0,-6.0,3.0,4.0,-5.0,-1.0,0.08651161193847656
37,38.0,-16.0,39.0,1.0,2446.0,10784.0,6881.0,9939.0,0.0,4.0,5.0,-2.0,-18.0,-7.0,18.0,-4.0,0.08922934532165527
38,35.0,-27.0,51.0,1.0,2440.0,10792.0,6880.0,9932.0,0.0,4.0,5.0,-2.0,-18.0,-7.0,18.0,-4.0,0.09148907661437988
39,35.0,-27.0,51.0,1.0,2440.0,10792.0,6880.0,9932.0,-4.0,-8.0,-5.0,0.0,2.0,-3.0,-13.0,-4.0,0.09382128715515137
40,35.0,-27.0,51.0,1.0,2440.0,10792.0,6880.0,9932.0,4.0,7.0,4.0,2.0,17.0,1.0,7.0,-2.0,0.0960700511932373
41,-3.0,-16.0,52.0,1.0,2438.0,10798.0,6875.0,9930.0,4.0,7.0,4.0,2.0,17.0,1.0,7.0,-2.0,0.09831738471984863
42,-3.0,-16.0,52.0,1.0,2438.0,10798.0,6875.0,9930.0,0.0,-3.0,-4.0,3.0,1.0,4.0,6.0,0.0,0.10063695907592773
43,-3.0,-16.0,52.0,1.0,2438.0,10798.0,6875.0,9930.0,-8.0,-7.0,-5.0,4.0,5.0,1.0,17.0,-3.0,0.10294485092163086
44,7.0,-20.0,54.0,1.0,2431.0,10805.0,6868.0,9928.0,-8.0,-7.0,-5.0,4.0,5.0,1.0,17.0,-3.0,0.10526490211486816
45,7.0,-20.0,54.0,1.0,2431.0,10805.0,6868.0,9928.0,3.0,9.0,-10.0,-2.0,-15.0,-8.0,-1.0,-2.0,0.10758256912231445
46,7.0,-20.0,54.0,1.0,2431.0,10805.0,6868.0,9928.0,-1.0,-2.0,10.0,-1.0,1.0,4.0,0.0,0.0,0.10990762710571289
47,22.0,-21.0,46.0,1.0,2424.0,10813.0,6864.0,9925.0,-1.0,-2.0,10.0,-1.0,1.0,4.0,0.0,0.0,0.11221742630004883
48,22.0,-21.0,46.0,1.0,2424.0,10813.0,6864.0,9925.0,1.0,7.0,18.0,-1.0,4.0,-6.0,1.0,-3.0,0.11453866958618164
49,22.0,-21.0,46.0,1.0,2424.0,10813.0,6864.0,9925.0,1.0,-6.0,-26.0,-3.0,2.0,3.0,-11.0,1.0,0.11707687377929688
