,Gyro 0,Gyro 1,Gyro 2,Label,Orientation 0,Orientation 1,Orientation 2,Orientation 3,Sensor 0,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Timestamp
0,-278.0,-96.0,109.0,1.0,-6211.0,-11821.0,-3271.0,-8913.0,-3.0,9.0,-4.0,1.0,-15.0,-20.0,-46.0,-5.0,2.1457672119140625e-06
1,-278.0,-96.0,109.0,1.0,-6211.0,-11821.0,-3271.0,-8913.0,3.0,30.0,2.0,13.0,18.0,16.0,7.0,12.0,0.0020971298217773438
2,-278.0,-96.0,109.0,1.0,-6211.0,-11821.0,-3271.0,-8913.0,0.0,5.0,-9.0,-15.0,3.0,11.0,-9.0,6.0,0.004048347473144531
3,-278.0,-96.0,109.0,1.0,-6211.0,-11821.0,-3271.0,-8913.0,1.0,-7.0,0.0,16.0,-12.0,-8.0,1.0,-2.0,0.008109807968139648
4,-105.0,31.0,23.0,1.0,-6201.0,-11832.0,-3256.0,-8912.0,1.0,-7.0,0.0,16.0,-12.0,-8.0,1.0,-2.0,0.010361194610595703
5,-105.0,31.0,23.0,1.0,-6201.0,-11832.0,-3256.0,-8912.0,-5.0,6.0,10.0,14.0,6.0,-16.0,-8.0,-5.0,0.012314558029174805
6,-105.0,31.0,23.0,1.0,-6201.0,-11832.0,-3256.0,-8912.0,-1.0,-3.0,-24.0,-10.0,-44.0,8.0,17.0,1.0,0.014089345932006836
7,298.0,120.0,-120.0,1.0,-6156.0,-11848.0,-3304.0,-8904.0,-1.0,-3.0,-24.0,-10.0,-44.0,8.0,17.0,1.0,0.015878677368164062
8,298.0,120.0,-120.0,1.0,-6156.0,-11848.0,-3304.0,-8904.0,-5.0,2.0,2.0,19.0,0.0,22.0,-18.0,-7.0,0.017737865447998047
9,298.0,120.0,-120.0,1.0,-6156.0,-11848.0,-3304.0,-8904.0,2.0,9.0,18.0,-30.0,-11.0,-16.0,-10.0,-6.0,0.019804000854492188
10,687.0,235.0,-242.0,1.0,-6066.0,-11883.0,-3422.0,-8874.0,2.0,9.0,18.0,-30.0,-11.0,-16.0,-10.0,-6.0,0.022647380828857422
11,687.0,235.0,-242.0,1.0,-6066.0,-11883.0,-3422.0,-8874.0,-3.0,-16.0,-20.0,-34.0,-2.0,22.0,-2.0,-5.0,0.025816679000854492
12,687.0,235.0,-242.0,1.0,-6066.0,-11883.0,-3422.0,-8874.0,-7.0,9.0,14.0,-6.0,-7.0,-6.0,-8.0,7.0,0.02776193618774414
13,796.0,302.0,-340.0,1.0,-5969.0,-11915.0,-3570.0,-8838.0,-7.0,9.0,14.0,-6.0,-7.0,-6.0,-8.0,7.0,0.02953791618347168
14,796.0,302.0,-340.0,1.0,-5969.0,-11915.0,-3570.0,-8838.0,0.0,-2.0,14.0,33.0,63.0,16.0,-4.0,1.0,0.031404972076416016
15,796.0,302.0,-340.0,1.0,-5969.0,-11915.0,-3570.0,-8838.0,4.0,0.0,1.0,24.0,28.0,-12.0,-2.0,-7.0,0.03321123123168945
16,694.0,322.0,-469.0,1.0,-5893.0,-11925.0,-3711.0,-8818.0,4.0,0.0,1.0,24.0,28.0,-12.0,-2.0,-7.0,0.034980058670043945
