,Gyro 0,Gyro 1,Gyro 2,Label,Orientation 0,Orientation 1,Orientation 2,Orientation 3,Sensor 0,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Timestamp
0,0.0,-21.0,14.0,1.0,-8381.0,-10298.0,-1636.0,-9460.0,-1.0,-3.0,-1.0,-22.0,4.0,4.0,1.0,5.0,2.6226043701171875e-06
1,0.0,-21.0,14.0,1.0,-8381.0,-10298.0,-1636.0,-9460.0,-1.0,13.0,4.0,1.0,-4.0,-11.0,-4.0,-13.0,0.0024242401123046875
2,-11.0,-3.0,23.0,1.0,-8377.0,-10301.0,-1631.0,-9461.0,-1.0,13.0,4.0,1.0,-4.0,-11.0,-4.0,-13.0,0.004478931427001953
3,-11.0,-3.0,23.0,1.0,-8377.0,-10301.0,-1631.0,-9461.0,-1.0,13.0,4.0,1.0,-4.0,-11.0,-4.0,-13.0,0.008016586303710938
4,-11.0,-3.0,23.0,1.0,-8377.0,-10301.0,-1631.0,-9461.0,0.0,0.0,36.0,3.0,15.0,-2.0,-6.0,-17.0,0.011590957641601562
5,-11.0,-3.0,23.0,1.0,-8377.0,-10301.0,-1631.0,-9461.0,1.0,-3.0,16.0,20.0,23.0,1.0,1.0,6.0,0.013608694076538086
6,9.0,-10.0,26.0,1.0,-8371.0,-10306.0,-1626.0,-9462.0,1.0,-3.0,16.0,20.0,23.0,1.0,1.0,6.0,0.015467166900634766
7,9.0,-10.0,26.0,1.0,-8371.0,-10306.0,-1626.0,-9462.0,-5.0,-4.0,-18.0,6.0,-19.0,-2.0,-1.0,4.0,0.017418861389160156
8,9.0,-10.0,26.0,1.0,-8371.0,-10306.0,-1626.0,-9462.0,-1.0,-1.0,-34.0,-28.0,-14.0,-7.0,-4.0,-23.0,0.019260644912719727
9,27.0,-12.0,25.0,1.0,-8363.0,-10313.0,-1623.0,-9463.0,-1.0,-1.0,-34.0,-28.0,-14.0,-7.0,-4.0,-23.0,0.02154397964477539
10,27.0,-12.0,25.0,1.0,-8363.0,-10313.0,-1623.0,-9463.0,2.0,-5.0,-32.0,-20.0,1.0,-1.0,7.0,8.0,0.02524876594543457
11,27.0,-12.0,25.0,1.0,-8363.0,-10313.0,-1623.0,-9463.0,-1.0,-2.0,2.0,-1.0,-9.0,-1.0,1.0,9.0,0.027270078659057617
12,50.0,-1.0,32.0,1.0,-8351.0,-10321.0,-1624.0,-9464.0,-1.0,-2.0,2.0,-1.0,-9.0,-1.0,1.0,9.0,0.029143810272216797
13,50.0,-1.0,32.0,1.0,-8351.0,-10321.0,-1624.0,-9464.0,2.0,-1.0,-30.0,-7.0,-3.0,-4.0,-4.0,-7.0,0.031059741973876953
14,50.0,-1.0,32.0,1.0,-8351.0,-10321.0,-1624.0,-9464.0,-1.0,-4.0,-19.0,-15.0,1.0,4.0,-1.0,2.0,0.033966779708862305
15,43.0,6.0,20.0,1.0,-8344.0,-10326.0,-1627.0,-9464.0,-1.0,-4.0,-19.0,-15.0,1.0,4.0,-1.0,2.0,0.03592681884765625
16,43.0,6.0,20.0,1.0,-8344.0,-10326.0,-1627.0,-9464.0,-1.0,-4.0,-12.0,7.0,-7.0,8.0,1.0,22.0,0.03786325454711914
17,43.0,6.0,20.0,1.0,-8344.0,-10326.0,-1627.0,-9464.0,-1.0,-11.0,-7.0,-1.0,-10.0,-3.0,-5.0,4.0,0.0397181510925293
18,27.0,-5.0,15.0,1.0,-8338.0,-10331.0,-1629.0,-9463.0,-1.0,-11.0,-7.0,-1.0,-10.0,-3.0,-5.0,4.0,0.041588544845581055
19,27.0,-5.0,15.0,1.0,-8338.0,-10331.0,-1629.0,-9463.0,1.0,-6.0,19.0,-38.0,-13.0,-5.0,-6.0,-18.0,0.04347562789916992
20,27.0,-5.0,15.0,1.0,-8338.0,-10331.0,-1629.0,-9463.0,5.0,5.0,-6.0,15.0,3.0,3.0,2.0,10.0,0.04554939270019531
21,-10.0,0.0,6.0,1.0,-8338.0,-10331.0,-1628.0,-9463.0,5.0,5.0,-6.0,15.0,3.0,3.0,2.0,10.0,0.04739832878112793
22,-10.0,0.0,6.0,1.0,-8338.0,-10331.0,-1628.0,-9463.0,-2.0,11.0,-3.0,4.0,12.0,7.0,0.0,-4.0,0.04929065704345703
23,-10.0,0.0,6.0,1.0,-8338.0,-10331.0,-1628.0,-9463.0,0.0,-14.0,-33.0,-16.0,-6.0,-6.0,-2.0,2.0,0.05121254920959473
24,-13.0,4.0,-14.0,1.0,-8338.0,-10331.0,-1628.0,-9464.0,0.0,-14.0,-33.0,-16.0,-6.0,-6.0,-2.0,2.0,0.054303646087646484
25,-13.0,4.0,-14.0,1.0,-8338.0,-10331.0,-1628.0,-9464.0,0.0,8.0,23.0,17.0,15.0,9.0,-3.0,-3.0,0.05713486671447754
26,-13.0,4.0,-14.0,1.0,-8338.0,-10331.0,-1628.0,-9464.0,-2.0,-1.0,33.0,32.0,9.0,17.0,2.0,16.0,0.059027671813964844
