,Gyro 0,Gyro 1,Gyro 2,Label,Orientation 0,Orientation 1,Orientation 2,Orientation 3,Sensor 0,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Timestamp
0,57.0,98.0,-57.0,0.0,-422.0,10209.0,9175.0,8935.0,-19.0,-24.0,7.0,-1.0,-1.0,-2.0,-2.0,-6.0,1.6689300537109375e-06
1,57.0,98.0,-57.0,0.0,-422.0,10209.0,9175.0,8935.0,8.0,-4.0,-11.0,3.0,-1.0,-4.0,-3.0,-1.0,0.0023217201232910156
2,125.0,138.0,-75.0,0.0,-435.0,10193.0,9206.0,8921.0,8.0,-4.0,-11.0,3.0,-1.0,-4.0,-3.0,-1.0,0.00537109375
3,125.0,138.0,-75.0,0.0,-435.0,10193.0,9206.0,8921.0,-6.0,-3.0,-9.0,-5.0,-3.0,2.0,-3.0,-2.0,0.010027647018432617
4,111.0,175.0,-71.0,0.0,-450.0,10169.0,9231.0,8921.0,-6.0,-3.0,-9.0,-5.0,-3.0,2.0,-3.0,-2.0,0.012081146240234375
5,111.0,175.0,-71.0,0.0,-450.0,10169.0,9231.0,8921.0,5.0,-2.0,-5.0,4.0,3.0,-2.0,1.0,-1.0,0.014171838760375977
6,111.0,175.0,-71.0,0.0,-450.0,10169.0,9231.0,8921.0,1.0,15.0,3.0,-4.0,-16.0,-3.0,-6.0,-2.0,0.016155719757080078
7,89.0,197.0,-43.0,0.0,-469.0,10143.0,9248.0,8932.0,1.0,15.0,3.0,-4.0,-16.0,-3.0,-6.0,-2.0,0.018141508102416992
8,89.0,197.0,-43.0,0.0,-469.0,10143.0,9248.0,8932.0,11.0,15.0,9.0,-4.0,-5.0,-1.0,1.0,2.0,0.020476818084716797
9,89.0,197.0,-43.0,0.0,-469.0,10143.0,9248.0,8932.0,-16.0,-38.0,3.0,-1.0,-6.0,-6.0,-4.0,-3.0,0.023325681686401367
10,91.0,161.0,-22.0,0.0,-487.0,10119.0,9259.0,8948.0,-16.0,-38.0,3.0,-1.0,-6.0,-6.0,-4.0,-3.0,0.025201082229614258
11,91.0,161.0,-22.0,0.0,-487.0,10119.0,9259.0,8948.0,8.0,11.0,-5.0,-6.0,-11.0,-3.0,0.0,-3.0,0.027753114700317383
12,91.0,161.0,-22.0,0.0,-487.0,10119.0,9259.0,8948.0,8.0,-3.0,1.0,3.0,2.0,3.0,7.0,5.0,0.03016376495361328
13,96.0,118.0,-45.0,0.0,-505.0,10098.0,9270.0,8958.0,8.0,-3.0,1.0,3.0,2.0,3.0,7.0,5.0,0.03192734718322754
14,96.0,118.0,-45.0,0.0,-505.0,10098.0,9270.0,8958.0,-8.0,-9.0,-19.0,-7.0,-8.0,-5.0,-5.0,-1.0,0.03375864028930664
15,96.0,118.0,-45.0,0.0,-505.0,10098.0,9270.0,8958.0,-6.0,-27.0,-15.0,-3.0,1.0,-1.0,5.0,-3.0,0.035521507263183594
16,85.0,112.0,-33.0,0.0,-521.0,10081.0,9280.0,8966.0,-6.0,-27.0,-15.0,-3.0,1.0,-1.0,5.0,-3.0,0.03727436065673828
17,85.0,112.0,-33.0,0.0,-521.0,10081.0,9280.0,8966.0,1.0,22.0,7.0,4.0,4.0,2.0,-1.0,4.0,0.03990364074707031
18,85.0,112.0,-33.0,0.0,-521.0,10081.0,9280.0,8966.0,-4.0,-9.0,-22.0,-9.0,1.0,-3.0,-2.0,-3.0,0.041961669921875
19,66.0,121.0,-35.0,0.0,-536.0,10064.0,9290.0,8974.0,-4.0,-9.0,-22.0,-9.0,1.0,-3.0,-2.0,-3.0,0.04374361038208008
20,66.0,121.0,-35.0,0.0,-536.0,10064.0,9290.0,8974.0,5.0,-1.0,-15.0,-1.0,2.0,-2.0,-3.0,2.0,0.045583248138427734
21,66.0,121.0,-35.0,0.0,-536.0,10064.0,9290.0,8974.0,2.0,19.0,14.0,2.0,6.0,2.0,0.0,-1.0,0.04734921455383301
22,106.0,88.0,-8.0,0.0,-551.0,10052.0,9303.0,8973.0,2.0,19.0,14.0,2.0,6.0,2.0,0.0,-1.0,0.04912400245666504
23,106.0,88.0,-8.0,0.0,-551.0,10052.0,9303.0,8973.0,-1.0,-15.0,-1.0,-4.0,-5.0,-3.0,-12.0,-5.0,0.05155372619628906
24,106.0,88.0,-8.0,0.0,-551.0,10052.0,9303.0,8973.0,-7.0,11.0,-13.0,2.0,3.0,-2.0,-3.0,-5.0,0.05396747589111328
25,118.0,33.0,-51.0,0.0,-556.0,10039.0,9322.0,8968.0,-7.0,11.0,-13.0,2.0,3.0,-2.0,-3.0,-5.0,0.055789947509765625
26,118.0,33.0,-51.0,0.0,-556.0,10039.0,9322.0,8968.0,-6.0,-9.0,3.0,-2.0,2.0,4.0,1.0,-2.0,0.057639360427856445
27,118.0,33.0,-51.0,0.0,-556.0,10039.0,9322.0,8968.0,10.0,9.0,-7.0,-12.0,-14.0,-4.0,4.0,2.0,0.059452056884765625
28,59.0,45.0,-33.0,0.0,-554.0,10024.0,9334.0,8972.0,10.0,9.0,-7.0,-12.0,-14.0,-4.0,4.0,2.0,0.06213545799255371
29,59.0,45.0,-33.0,0.0,-554.0,10024.0,9334.0,8972.0,10.0,25.0,10.0,12.0,5.0,4.0,0.0,1.0,0.06447124481201172
30,59.0,45.0,-33.0,0.0,-554.0,10024.0,9334.0,8972.0,4.0,0.0,5.0,2.0,-1.0,-2.0,2.0,2.0,0.06626439094543457
31,21.0,70.0,-22.0,0.0,-557.0,10012.0,9340.0,8979.0,4.0,0.0,5.0,2.0,-1.0,-2.0,2.0,2.0,0.06802558898925781
32,21.0,70.0,-22.0,0.0,-557.0,10012.0,9340.0,8979.0,-7.0,-26.0,-12.0,-1.0,-5.0,-5.0,-3.0,-1.0,0.06992197036743164
33,21.0,70.0,-22.0,0.0,-557.0,10012.0,9340.0,8979.0,1.0,-7.0,13.0,2.0,4.0,6.0,-1.0,-1.0,0.07174062728881836
