,Gyro 0,Gyro 1,Gyro 2,Label,Orientation 0,Orientation 1,Orientation 2,Orientation 3,Sensor 0,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Timestamp
0,40.0,-129.0,34.0,1.0,-12354.0,-9045.0,5824.0,325.0,2.0,2.0,31.0,-6.0,-13.0,7.0,-7.0,-2.0,2.384185791015625e-06
1,40.0,-129.0,34.0,1.0,-12354.0,-9045.0,5824.0,325.0,-2.0,-4.0,-18.0,-8.0,-22.0,15.0,14.0,-7.0,0.0026967525482177734
2,40.0,-129.0,34.0,1.0,-12354.0,-9045.0,5824.0,325.0,-2.0,-5.0,-13.0,-1.0,-1.0,-20.0,6.0,-1.0,0.006101846694946289
3,40.0,-129.0,34.0,1.0,-12354.0,-9045.0,5824.0,325.0,-2.0,-6.0,-44.0,-16.0,-12.0,-5.0,-8.0,-4.0,0.010994911193847656
4,119.0,-146.0,-139.0,1.0,-12306.0,-9088.0,5855.0,376.0,-2.0,-6.0,-44.0,-16.0,-12.0,-5.0,-8.0,-4.0,0.01308441162109375
5,119.0,-146.0,-139.0,1.0,-12306.0,-9088.0,5855.0,376.0,-9.0,-29.0,-50.0,4.0,-3.0,-4.0,-6.0,0.0,0.015034675598144531
6,119.0,-146.0,-139.0,1.0,-12306.0,-9088.0,5855.0,376.0,7.0,25.0,64.0,2.0,-6.0,9.0,3.0,5.0,0.017062664031982422
7,307.0,-141.0,-176.0,1.0,-12256.0,-9154.0,5856.0,401.0,7.0,25.0,64.0,2.0,-6.0,9.0,3.0,5.0,0.01903080940246582
8,307.0,-141.0,-176.0,1.0,-12256.0,-9154.0,5856.0,401.0,0.0,-1.0,-38.0,11.0,-19.0,-2.0,-25.0,0.0,0.022240877151489258
9,307.0,-141.0,-176.0,1.0,-12256.0,-9154.0,5856.0,401.0,-3.0,12.0,-14.0,6.0,5.0,0.0,-8.0,-10.0,0.024959325790405273
10,401.0,-151.0,-170.0,1.0,-12193.0,-9237.0,5854.0,428.0,-3.0,12.0,-14.0,6.0,5.0,0.0,-8.0,-10.0,0.0268552303314209
11,401.0,-151.0,-170.0,1.0,-12193.0,-9237.0,5854.0,428.0,-4.0,-1.0,18.0,-5.0,4.0,6.0,12.0,-6.0,0.02873706817626953
12,401.0,-151.0,-170.0,1.0,-12193.0,-9237.0,5854.0,428.0,-1.0,-23.0,-14.0,9.0,-11.0,-7.0,22.0,3.0,0.030529260635375977
13,300.0,-159.0,-193.0,1.0,-12148.0,-9303.0,5841.0,469.0,-1.0,-23.0,-14.0,9.0,-11.0,-7.0,22.0,3.0,0.03230762481689453
14,300.0,-159.0,-193.0,1.0,-12148.0,-9303.0,5841.0,469.0,-3.0,4.0,31.0,-4.0,8.0,3.0,-5.0,0.0,0.034171342849731445
15,300.0,-159.0,-193.0,1.0,-12148.0,-9303.0,5841.0,469.0,2.0,-2.0,-18.0,-36.0,3.0,-2.0,2.0,2.0,0.035933494567871094
16,-17.0,-201.0,-206.0,1.0,-12130.0,-9325.0,5837.0,531.0,2.0,-2.0,-18.0,-36.0,3.0,-2.0,2.0,2.0,0.03876495361328125
17,-17.0,-201.0,-206.0,1.0,-12130.0,-9325.0,5837.0,531.0,8.0,27.0,21.0,3.0,-2.0,-5.0,7.0,-1.0,0.040801048278808594
18,-17.0,-201.0,-206.0,1.0,-12130.0,-9325.0,5837.0,531.0,-1.0,3.0,-4.0,5.0,13.0,10.0,-42.0,-4.0,0.04265880584716797
19,-259.0,-240.0,-169.0,1.0,-12138.0,-9308.0,5841.0,605.0,-1.0,3.0,-4.0,5.0,13.0,10.0,-42.0,-4.0,0.04450225830078125
20,-259.0,-240.0,-169.0,1.0,-12138.0,-9308.0,5841.0,605.0,-1.0,-5.0,-15.0,1.0,17.0,-3.0,-10.0,-7.0,0.04638051986694336
21,-259.0,-240.0,-169.0,1.0,-12138.0,-9308.0,5841.0,605.0,-1.0,1.0,24.0,7.0,3.0,10.0,-5.0,-5.0,0.04815030097961426
22,-336.0,-203.0,-131.0,1.0,-12164.0,-9266.0,5848.0,666.0,-1.0,1.0,24.0,7.0,3.0,10.0,-5.0,-5.0,0.05022859573364258
23,-336.0,-203.0,-131.0,1.0,-12164.0,-9266.0,5848.0,666.0,5.0,11.0,8.0,2.0,23.0,-7.0,8.0,8.0,0.053415775299072266
24,-336.0,-203.0,-131.0,1.0,-12164.0,-9266.0,5848.0,666.0,-10.0,-17.0,-45.0,1.0,8.0,-23.0,-60.0,-17.0,0.05701732635498047
25,-281.0,-197.0,-61.0,1.0,-12189.0,-9220.0,5862.0,709.0,-10.0,-17.0,-45.0,1.0,8.0,-23.0,-60.0,-17.0,0.058968544006347656
26,-281.0,-197.0,-61.0,1.0,-12189.0,-9220.0,5862.0,709.0,-3.0,-13.0,-49.0,-3.0,12.0,4.0,71.0,-33.0,0.06084942817687988
27,-281.0,-197.0,-61.0,1.0,-12189.0,-9220.0,5862.0,709.0,-7.0,-14.0,24.0,5.0,-3.0,5.0,11.0,0.0,0.06266283988952637
28,-127.0,-173.0,-16.0,1.0,-12202.0,-9192.0,5874.0,739.0,-7.0,-14.0,24.0,5.0,-3.0,5.0,11.0,0.0,0.06444644927978516
29,-127.0,-173.0,-16.0,1.0,-12202.0,-9192.0,5874.0,739.0,0.0,5.0,-2.0,-7.0,-12.0,5.0,1.0,17.0,0.06629681587219238
