,Gyro 0,Gyro 1,Gyro 2,Label,Orientation 0,Orientation 1,Orientation 2,Orientation 3,Sensor 0,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Timestamp
0,-192.0,-29.0,18.0,0.0,-9159.0,-10957.0,7845.0,-1724.0,2.0,10.0,-4.0,-3.0,4.0,-1.0,-1.0,1.0,2.1457672119140625e-06
1,-192.0,-29.0,18.0,0.0,-9159.0,-10957.0,7845.0,-1724.0,11.0,35.0,26.0,6.0,9.0,10.0,5.0,1.0,0.003448486328125
2,-192.0,-29.0,18.0,0.0,-9159.0,-10957.0,7845.0,-1724.0,-4.0,0.0,20.0,5.0,-7.0,-3.0,-10.0,0.0,0.006109714508056641
3,-180.0,-7.0,-2.0,0.0,-9179.0,-10946.0,7843.0,-1696.0,-4.0,0.0,20.0,5.0,-7.0,-3.0,-10.0,0.0,0.008744239807128906
4,-180.0,-7.0,-2.0,0.0,-9179.0,-10946.0,7843.0,-1696.0,-1.0,2.0,13.0,-2.0,9.0,8.0,9.0,0.0,0.011487483978271484
5,-180.0,-7.0,-2.0,0.0,-9179.0,-10946.0,7843.0,-1696.0,-3.0,-7.0,-6.0,-2.0,-11.0,-21.0,-14.0,-5.0,0.014072895050048828
6,-168.0,8.0,-20.0,0.0,-9198.0,-10937.0,7839.0,-1669.0,-3.0,-7.0,-6.0,-2.0,-11.0,-21.0,-14.0,-5.0,0.0168149471282959
7,-168.0,8.0,-20.0,0.0,-9198.0,-10937.0,7839.0,-1669.0,-1.0,-8.0,-7.0,-2.0,2.0,-3.0,7.0,0.0,0.020245075225830078
8,-168.0,8.0,-20.0,0.0,-9198.0,-10937.0,7839.0,-1669.0,3.0,-8.0,-49.0,-2.0,14.0,4.0,-1.0,4.0,0.02308368682861328
9,-132.0,33.0,-45.0,0.0,-9215.0,-10933.0,7828.0,-1647.0,3.0,-8.0,-49.0,-2.0,14.0,4.0,-1.0,4.0,0.025933027267456055
10,-132.0,33.0,-45.0,0.0,-9215.0,-10933.0,7828.0,-1647.0,-1.0,-7.0,-3.0,0.0,0.0,0.0,4.0,-3.0,0.02829575538635254
11,-132.0,33.0,-45.0,0.0,-9215.0,-10933.0,7828.0,-1647.0,-3.0,-9.0,6.0,-2.0,-13.0,-6.0,-7.0,-3.0,0.030566692352294922
12,-83.0,47.0,-59.0,0.0,-9230.0,-10935.0,7813.0,-1629.0,-3.0,-9.0,6.0,-2.0,-13.0,-6.0,-7.0,-3.0,0.03284287452697754
13,-83.0,47.0,-59.0,0.0,-9230.0,-10935.0,7813.0,-1629.0,6.0,8.0,-3.0,4.0,7.0,7.0,-1.0,3.0,0.035263776779174805
14,-83.0,47.0,-59.0,0.0,-9230.0,-10935.0,7813.0,-1629.0,-3.0,-3.0,12.0,0.0,-6.0,0.0,4.0,-2.0,0.03751945495605469
15,-67.0,67.0,-80.0,0.0,-9245.0,-10939.0,7792.0,-1612.0,-3.0,-3.0,12.0,0.0,-6.0,0.0,4.0,-2.0,0.03978919982910156
16,-67.0,67.0,-80.0,0.0,-9245.0,-10939.0,7792.0,-1612.0,-5.0,1.0,8.0,-6.0,-9.0,-8.0,-5.0,-9.0,0.0421605110168457
17,-67.0,67.0,-80.0,0.0,-9245.0,-10939.0,7792.0,-1612.0,6.0,8.0,6.0,1.0,14.0,9.0,6.0,3.0,0.0444636344909668
18,-83.0,93.0,-92.0,0.0,-9266.0,-10942.0,7766.0,-1595.0,6.0,8.0,6.0,1.0,14.0,9.0,6.0,3.0,0.0467226505279541
19,-83.0,93.0,-92.0,0.0,-9266.0,-10942.0,7766.0,-1595.0,-1.0,5.0,5.0,4.0,-1.0,-14.0,4.0,-1.0,0.04910993576049805
