,Gyro 0,Gyro 1,Gyro 2,Label,Orientation 0,Orientation 1,Orientation 2,Orientation 3,Sensor 0,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Timestamp
0,-60.0,-37.0,-76.0,0.0,3509.0,-2117.0,-12747.0,-9443.0,2.0,-2.0,-22.0,-2.0,11.0,14.0,2.0,-1.0,2.384185791015625e-06
1,-60.0,-37.0,-76.0,0.0,3509.0,-2117.0,-12747.0,-9443.0,-5.0,-1.0,23.0,-8.0,-20.0,-5.0,-35.0,-5.0,0.0026884078979492188
2,-60.0,-37.0,-76.0,0.0,3509.0,-2117.0,-12747.0,-9443.0,4.0,4.0,-1.0,-13.0,-10.0,-9.0,5.0,2.0,0.006615877151489258
3,-6.0,-16.0,-82.0,0.0,3489.0,-2102.0,-12755.0,-9444.0,4.0,4.0,-1.0,-13.0,-10.0,-9.0,5.0,2.0,0.009578943252563477
4,-6.0,-16.0,-82.0,0.0,3489.0,-2102.0,-12755.0,-9444.0,0.0,-1.0,-8.0,15.0,6.0,0.0,-15.0,-3.0,0.011507034301757812
5,-6.0,-16.0,-82.0,0.0,3489.0,-2102.0,-12755.0,-9444.0,-4.0,-3.0,4.0,2.0,-9.0,1.0,11.0,0.0,0.013330936431884766
6,18.0,7.0,-68.0,0.0,3473.0,-2086.0,-12764.0,-9441.0,-4.0,-3.0,4.0,2.0,-9.0,1.0,11.0,0.0,0.015154838562011719
7,18.0,7.0,-68.0,0.0,3473.0,-2086.0,-12764.0,-9441.0,1.0,2.0,3.0,-5.0,-14.0,1.0,6.0,-2.0,0.017048358917236328
8,18.0,7.0,-68.0,0.0,3473.0,-2086.0,-12764.0,-9441.0,-1.0,-1.0,12.0,7.0,17.0,5.0,3.0,-1.0,0.019924402236938477
9,15.0,11.0,-70.0,0.0,3459.0,-2069.0,-12772.0,-9439.0,-1.0,-1.0,12.0,7.0,17.0,5.0,3.0,-1.0,0.02240896224975586
10,15.0,11.0,-70.0,0.0,3459.0,-2069.0,-12772.0,-9439.0,-4.0,0.0,-12.0,-6.0,13.0,5.0,26.0,4.0,0.02432417869567871
11,15.0,11.0,-70.0,0.0,3459.0,-2069.0,-12772.0,-9439.0,-5.0,0.0,8.0,-5.0,-7.0,-6.0,19.0,0.0,0.02611708641052246
12,22.0,16.0,-55.0,0.0,3447.0,-2054.0,-12780.0,-9436.0,-5.0,0.0,8.0,-5.0,-7.0,-6.0,19.0,0.0,0.027910232543945312
13,22.0,16.0,-55.0,0.0,3447.0,-2054.0,-12780.0,-9436.0,3.0,6.0,1.0,-3.0,1.0,2.0,6.0,1.0,0.0304868221282959
14,22.0,16.0,-55.0,0.0,3447.0,-2054.0,-12780.0,-9436.0,-1.0,-6.0,-3.0,-12.0,5.0,-1.0,-27.0,-2.0,0.03236794471740723
15,20.0,1.0,-51.0,0.0,3433.0,-2040.0,-12787.0,-9433.0,-1.0,-6.0,-3.0,-12.0,5.0,-1.0,-27.0,-2.0,0.034142494201660156
16,20.0,1.0,-51.0,0.0,3433.0,-2040.0,-12787.0,-9433.0,-3.0,-5.0,-15.0,5.0,10.0,-1.0,3.0,-1.0,0.03603386878967285
17,20.0,1.0,-51.0,0.0,3433.0,-2040.0,-12787.0,-9433.0,-2.0,-5.0,-13.0,-9.0,-28.0,-7.0,-5.0,-2.0,0.0378568172454834
18,-2.0,6.0,-54.0,0.0,3422.0,-2028.0,-12792.0,-9433.0,-2.0,-5.0,-13.0,-9.0,-28.0,-7.0,-5.0,-2.0,0.03962898254394531
19,-2.0,6.0,-54.0,0.0,3422.0,-2028.0,-12792.0,-9433.0,-6.0,-5.0,-25.0,-19.0,-10.0,-1.0,-3.0,-3.0,0.041544198989868164
20,-2.0,6.0,-54.0,0.0,3422.0,-2028.0,-12792.0,-9433.0,-3.0,0.0,0.0,9.0,-3.0,-5.0,-3.0,1.0,0.04341411590576172
21,2.0,29.0,-45.0,0.0,3415.0,-2016.0,-12798.0,-9431.0,-3.0,0.0,0.0,9.0,-3.0,-5.0,-3.0,1.0,0.045202016830444336
22,2.0,29.0,-45.0,0.0,3415.0,-2016.0,-12798.0,-9431.0,3.0,6.0,4.0,3.0,6.0,7.0,-4.0,2.0,0.047023773193359375
23,2.0,29.0,-45.0,0.0,3415.0,-2016.0,-12798.0,-9431.0,4.0,7.0,10.0,-14.0,-28.0,-6.0,-5.0,-2.0,0.04889726638793945
24,4.0,48.0,-29.0,0.0,3413.0,-2005.0,-12803.0,-9427.0,4.0,7.0,10.0,-14.0,-28.0,-6.0,-5.0,-2.0,0.05122232437133789
25,4.0,48.0,-29.0,0.0,3413.0,-2005.0,-12803.0,-9427.0,0.0,-10.0,3.0,12.0,2.0,14.0,-13.0,-3.0,0.05356335639953613
26,4.0,48.0,-29.0,0.0,3413.0,-2005.0,-12803.0,-9427.0,-2.0,-1.0,9.0,9.0,-10.0,1.0,-11.0,1.0,0.05533003807067871
27,41.0,28.0,-23.0,0.0,3411.0,-1997.0,-12813.0,-9416.0,-2.0,-1.0,9.0,9.0,-10.0,1.0,-11.0,1.0,0.05712461471557617
28,41.0,28.0,-23.0,0.0,3411.0,-1997.0,-12813.0,-9416.0,-1.0,4.0,25.0,3.0,-4.0,0.0,3.0,-1.0,0.05905032157897949
29,41.0,28.0,-23.0,0.0,3411.0,-1997.0,-12813.0,-9416.0,-2.0,-3.0,4.0,-9.0,5.0,-6.0,-3.0,-3.0,0.060820817947387695
