,Gyro 0,Gyro 1,Gyro 2,Label,Orientation 0,Orientation 1,Orientation 2,Orientation 3,Sensor 0,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Timestamp
0,-14.0,39.0,-2.0,0.0,10762.0,7015.0,-10160.0,-403.0,-2.0,-4.0,2.0,5.0,17.0,3.0,3.0,1.0,3.0994415283203125e-06
1,-14.0,39.0,-2.0,0.0,10762.0,7015.0,-10160.0,-403.0,2.0,-3.0,-13.0,-1.0,4.0,6.0,2.0,-2.0,0.004682302474975586
2,-14.0,39.0,-2.0,0.0,10762.0,7015.0,-10160.0,-403.0,3.0,9.0,1.0,-4.0,3.0,-1.0,0.0,2.0,0.008448362350463867
3,-14.0,39.0,-2.0,0.0,10762.0,7015.0,-10160.0,-403.0,2.0,9.0,44.0,2.0,-12.0,-6.0,-8.0,-1.0,0.012777328491210938
4,17.0,32.0,-3.0,0.0,10761.0,7020.0,-10158.0,-400.0,2.0,9.0,44.0,2.0,-12.0,-6.0,-8.0,-1.0,0.016578197479248047
5,17.0,32.0,-3.0,0.0,10761.0,7020.0,-10158.0,-400.0,0.0,-5.0,-14.0,9.0,-3.0,3.0,1.0,2.0,0.02132248878479004
6,17.0,32.0,-3.0,0.0,10761.0,7020.0,-10158.0,-400.0,0.0,2.0,-34.0,-8.0,-10.0,-4.0,-1.0,0.0,0.025172710418701172
7,19.0,27.0,4.0,0.0,10758.0,7026.0,-10158.0,-397.0,0.0,2.0,-34.0,-8.0,-10.0,-4.0,-1.0,0.0,0.028954267501831055
8,19.0,27.0,4.0,0.0,10758.0,7026.0,-10158.0,-397.0,2.0,8.0,-15.0,-4.0,-4.0,5.0,-2.0,-1.0,0.032860755920410156
9,19.0,27.0,4.0,0.0,10758.0,7026.0,-10158.0,-397.0,-2.0,-8.0,2.0,8.0,27.0,5.0,2.0,-1.0,0.03663325309753418
10,-4.0,22.0,2.0,0.0,10757.0,7028.0,-10157.0,-397.0,-2.0,-8.0,2.0,8.0,27.0,5.0,2.0,-1.0,0.04041767120361328
11,-4.0,22.0,2.0,0.0,10757.0,7028.0,-10157.0,-397.0,0.0,-5.0,-9.0,-3.0,4.0,-3.0,-3.0,-1.0,0.04430747032165527
12,-4.0,22.0,2.0,0.0,10757.0,7028.0,-10157.0,-397.0,-4.0,-4.0,-3.0,-9.0,9.0,0.0,0.0,-1.0,0.04849505424499512
13,-1.0,6.0,3.0,0.0,10757.0,7028.0,-10157.0,-397.0,-4.0,-4.0,-3.0,-9.0,9.0,0.0,0.0,-1.0,0.053305625915527344
14,-1.0,6.0,3.0,0.0,10757.0,7028.0,-10157.0,-397.0,-2.0,-4.0,9.0,-3.0,-11.0,-5.0,0.0,-3.0,0.057410478591918945
15,-1.0,6.0,3.0,0.0,10757.0,7028.0,-10157.0,-397.0,-4.0,-8.0,-20.0,0.0,4.0,-1.0,3.0,-2.0,0.06116819381713867
16,9.0,-14.0,-4.0,0.0,10756.0,7029.0,-10158.0,-397.0,-4.0,-8.0,-20.0,0.0,4.0,-1.0,3.0,-2.0,0.06493091583251953
17,9.0,-14.0,-4.0,0.0,10756.0,7029.0,-10158.0,-397.0,-2.0,-1.0,16.0,-4.0,-7.0,1.0,-2.0,-2.0,0.06880426406860352
18,9.0,-14.0,-4.0,0.0,10756.0,7029.0,-10158.0,-397.0,-1.0,-3.0,-8.0,-6.0,-14.0,-4.0,6.0,3.0,0.07257413864135742
19,10.0,-10.0,0.0,0.0,10755.0,7029.0,-10158.0,-397.0,-1.0,-3.0,-8.0,-6.0,-14.0,-4.0,6.0,3.0,0.07635998725891113
20,10.0,-10.0,0.0,0.0,10755.0,7029.0,-10158.0,-397.0,0.0,5.0,-14.0,2.0,11.0,12.0,-4.0,-3.0,0.08024454116821289
21,10.0,-10.0,0.0,0.0,10755.0,7029.0,-10158.0,-397.0,2.0,7.0,15.0,-2.0,9.0,-1.0,1.0,0.0,0.08514928817749023
22,-8.0,-11.0,12.0,0.0,10755.0,7030.0,-10158.0,-398.0,2.0,7.0,15.0,-2.0,9.0,-1.0,1.0,0.0,0.08919429779052734
23,-8.0,-11.0,12.0,0.0,10755.0,7030.0,-10158.0,-398.0,4.0,15.0,-17.0,-5.0,5.0,0.0,-1.0,1.0,0.09307503700256348
24,-8.0,-11.0,12.0,0.0,10755.0,7030.0,-10158.0,-398.0,0.0,5.0,29.0,1.0,6.0,-3.0,-3.0,0.0,0.0968327522277832
25,-10.0,-12.0,19.0,0.0,10750.0,7031.0,-10162.0,-401.0,0.0,5.0,29.0,1.0,6.0,-3.0,-3.0,0.0,0.10060334205627441
26,-10.0,-12.0,19.0,0.0,10750.0,7031.0,-10162.0,-401.0,-2.0,-10.0,12.0,-2.0,-8.0,-4.0,-1.0,-1.0,0.1045067310333252
27,-10.0,-12.0,19.0,0.0,10750.0,7031.0,-10162.0,-401.0,1.0,2.0,-20.0,0.0,2.0,-3.0,-2.0,-1.0,0.10827374458312988
28,-18.0,-22.0,17.0,0.0,10746.0,7030.0,-10166.0,-405.0,1.0,2.0,-20.0,0.0,2.0,-3.0,-2.0,-1.0,0.11202740669250488
29,-18.0,-22.0,17.0,0.0,10746.0,7030.0,-10166.0,-405.0,-3.0,-1.0,12.0,-9.0,4.0,5.0,-1.0,0.0,0.1166534423828125
30,-18.0,-22.0,17.0,0.0,10746.0,7030.0,-10166.0,-405.0,-2.0,-8.0,12.0,2.0,11.0,9.0,-2.0,-2.0,0.12087798118591309
31,-2.0,-11.0,27.0,0.0,10744.0,7030.0,-10170.0,-406.0,-2.0,-8.0,12.0,2.0,11.0,9.0,-2.0,-2.0,0.12468123435974121
32,-2.0,-11.0,27.0,0.0,10744.0,7030.0,-10170.0,-406.0,1.0,3.0,40.0,7.0,-20.0,-1.0,1.0,2.0,0.12857818603515625
33,-2.0,-11.0,27.0,0.0,10744.0,7030.0,-10170.0,-406.0,0.0,2.0,-12.0,1.0,2.0,5.0,-2.0,-1.0,0.1323227882385254
34,-40.0,-10.0,30.0,0.0,10745.0,7023.0,-10173.0,-408.0,0.0,2.0,-12.0,1.0,2.0,5.0,-2.0,-1.0,0.13608717918395996
35,-40.0,-10.0,30.0,0.0,10745.0,7023.0,-10173.0,-408.0,-2.0,-8.0,2.0,3.0,5.0,-3.0,2.0,-2.0,0.14014625549316406
36,-40.0,-10.0,30.0,0.0,10745.0,7023.0,-10173.0,-408.0,-1.0,3.0,7.0,-6.0,-16.0,-1.0,-2.0,-2.0,0.14391541481018066
37,-54.0,-9.0,34.0,0.0,10747.0,7012.0,-10178.0,-409.0,-1.0,3.0,7.0,-6.0,-16.0,-1.0,-2.0,-2.0,0.14832615852355957
38,-54.0,-9.0,34.0,0.0,10747.0,7012.0,-10178.0,-409.0,-6.0,-19.0,-25.0,3.0,10.0,-4.0,-1.0,-2.0,0.15268349647521973
39,-54.0,-9.0,34.0,0.0,10747.0,7012.0,-10178.0,-409.0,-1.0,-1.0,16.0,-1.0,-8.0,-6.0,-4.0,-1.0,0.15646028518676758
40,-21.0,-15.0,31.0,0.0,10746.0,7007.0,-10182.0,-410.0,-1.0,-1.0,16.0,-1.0,-8.0,-6.0,-4.0,-1.0,0.16022777557373047
41,-21.0,-15.0,31.0,0.0,10746.0,7007.0,-10182.0,-410.0,-3.0,-9.0,-10.0,-3.0,-4.0,5.0,-2.0,-1.0,0.164107084274292
42,-21.0,-15.0,31.0,0.0,10746.0,7007.0,-10182.0,-410.0,-3.0,-1.0,-5.0,-2.0,-6.0,-8.0,-2.0,0.0,0.16788077354431152
43,-19.0,-1.0,30.0,0.0,10745.0,7004.0,-10186.0,-410.0,-3.0,-1.0,-5.0,-2.0,-6.0,-8.0,-2.0,0.0,0.1716465950012207
44,-19.0,-1.0,30.0,0.0,10745.0,7004.0,-10186.0,-410.0,-1.0,-1.0,-15.0,-8.0,-4.0,-17.0,-2.0,-2.0,0.1755368709564209
45,-19.0,-1.0,30.0,0.0,10745.0,7004.0,-10186.0,-410.0,2.0,-1.0,17.0,10.0,9.0,10.0,3.0,1.0,0.1799020767211914
46,-13.0,2.0,25.0,0.0,10743.0,7002.0,-10189.0,-408.0,2.0,-1.0,17.0,10.0,9.0,10.0,3.0,1.0,0.18405818939208984
