,Gyro 0,Gyro 1,Gyro 2,Label,Orientation 0,Orientation 1,Orientation 2,Orientation 3,Sensor 0,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Timestamp
0,-39.0,-52.0,-16.0,0.0,-1183.0,8632.0,10792.0,8719.0,1.0,-5.0,-3.0,5.0,1.0,1.0,-5.0,0.0,1.6689300537109375e-06
1,-39.0,-52.0,-16.0,0.0,-1183.0,8632.0,10792.0,8719.0,5.0,28.0,-8.0,-3.0,-2.0,-4.0,-9.0,0.0,0.002155780792236328
2,-39.0,-52.0,-16.0,0.0,-1183.0,8632.0,10792.0,8719.0,-8.0,-10.0,5.0,6.0,2.0,1.0,-1.0,-3.0,0.004760026931762695
3,-39.0,-52.0,-16.0,0.0,-1183.0,8632.0,10792.0,8719.0,-5.0,-2.0,-5.0,-9.0,-15.0,-6.0,-5.0,-5.0,0.0075473785400390625
4,-37.0,-31.0,0.0,0.0,-1175.0,8636.0,10791.0,8718.0,-5.0,-2.0,-5.0,-9.0,-15.0,-6.0,-5.0,-5.0,0.010166645050048828
5,-37.0,-31.0,0.0,0.0,-1175.0,8636.0,10791.0,8718.0,-11.0,-3.0,0.0,-4.0,1.0,-3.0,0.0,-6.0,0.012057781219482422
6,-37.0,-31.0,0.0,0.0,-1175.0,8636.0,10791.0,8718.0,-8.0,-25.0,16.0,3.0,2.0,-1.0,0.0,-1.0,0.013858556747436523
7,-23.0,-20.0,-14.0,0.0,-1167.0,8636.0,10791.0,8718.0,-8.0,-25.0,16.0,3.0,2.0,-1.0,0.0,-1.0,0.015642166137695312
8,-23.0,-20.0,-14.0,0.0,-1167.0,8636.0,10791.0,8718.0,4.0,7.0,1.0,-3.0,-4.0,-4.0,-1.0,-1.0,0.017559051513671875
9,-23.0,-20.0,-14.0,0.0,-1167.0,8636.0,10791.0,8718.0,-7.0,-15.0,-5.0,-4.0,-3.0,0.0,-1.0,-1.0,0.02006840705871582
10,-14.0,-12.0,-8.0,0.0,-1168.0,8637.0,10792.0,8717.0,-7.0,-15.0,-5.0,-4.0,-3.0,0.0,-1.0,-1.0,0.023988008499145508
11,-14.0,-12.0,-8.0,0.0,-1168.0,8637.0,10792.0,8717.0,4.0,5.0,1.0,-1.0,0.0,-3.0,-5.0,3.0,0.026790857315063477
12,-14.0,-12.0,-8.0,0.0,-1168.0,8637.0,10792.0,8717.0,1.0,1.0,-3.0,-4.0,-2.0,2.0,5.0,-2.0,0.028764009475708008
13,16.0,-9.0,-2.0,0.0,-1169.0,8639.0,10795.0,8711.0,1.0,1.0,-3.0,-4.0,-2.0,2.0,5.0,-2.0,0.030553340911865234
14,16.0,-9.0,-2.0,0.0,-1169.0,8639.0,10795.0,8711.0,20.0,17.0,11.0,-1.0,-5.0,1.0,-10.0,4.0,0.032402753829956055
15,16.0,-9.0,-2.0,0.0,-1169.0,8639.0,10795.0,8711.0,7.0,8.0,-8.0,-1.0,4.0,1.0,7.0,0.0,0.03419232368469238
16,37.0,-10.0,-7.0,0.0,-1169.0,8639.0,10800.0,8705.0,7.0,8.0,-8.0,-1.0,4.0,1.0,7.0,0.0,0.03597116470336914
17,37.0,-10.0,-7.0,0.0,-1169.0,8639.0,10800.0,8705.0,-3.0,-12.0,-1.0,8.0,-2.0,1.0,-4.0,-5.0,0.03815174102783203
18,37.0,-10.0,-7.0,0.0,-1169.0,8639.0,10800.0,8705.0,-5.0,-11.0,3.0,0.0,1.0,0.0,5.0,-1.0,0.03995943069458008
19,14.0,8.0,-13.0,0.0,-1169.0,8639.0,10800.0,8705.0,-5.0,-11.0,3.0,0.0,1.0,0.0,5.0,-1.0,0.04175734519958496
20,14.0,8.0,-13.0,0.0,-1169.0,8639.0,10800.0,8705.0,-1.0,13.0,5.0,-8.0,-4.0,0.0,-11.0,-2.0,0.04362058639526367
21,14.0,8.0,-13.0,0.0,-1169.0,8639.0,10800.0,8705.0,-4.0,48.0,35.0,8.0,1.0,-1.0,2.0,-2.0,0.04545116424560547
22,16.0,19.0,-17.0,0.0,-1169.0,8635.0,10805.0,8702.0,-4.0,48.0,35.0,8.0,1.0,-1.0,2.0,-2.0,0.04725170135498047
23,16.0,19.0,-17.0,0.0,-1169.0,8635.0,10805.0,8702.0,11.0,0.0,-20.0,-1.0,5.0,3.0,-2.0,4.0,0.04923748970031738
24,16.0,19.0,-17.0,0.0,-1169.0,8635.0,10805.0,8702.0,-4.0,-5.0,20.0,-1.0,-1.0,0.0,3.0,4.0,0.0516204833984375
25,42.0,18.0,-2.0,0.0,-1175.0,8634.0,10810.0,8696.0,-4.0,-5.0,20.0,-1.0,-1.0,0.0,3.0,4.0,0.053905487060546875
26,42.0,18.0,-2.0,0.0,-1175.0,8634.0,10810.0,8696.0,-10.0,-23.0,-10.0,1.0,-1.0,-4.0,-2.0,-4.0,0.05580019950866699
27,42.0,18.0,-2.0,0.0,-1175.0,8634.0,10810.0,8696.0,3.0,-9.0,-16.0,-1.0,4.0,0.0,1.0,-1.0,0.05864095687866211
28,13.0,20.0,-16.0,0.0,-1177.0,8630.0,10813.0,8696.0,3.0,-9.0,-16.0,-1.0,4.0,0.0,1.0,-1.0,0.06080317497253418
29,13.0,20.0,-16.0,0.0,-1177.0,8630.0,10813.0,8696.0,-9.0,-12.0,1.0,-6.0,-2.0,-2.0,-10.0,-1.0,0.06268167495727539
