,Gyro 0,Gyro 1,Gyro 2,Label,Orientation 0,Orientation 1,Orientation 2,Orientation 3,Sensor 0,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Timestamp
0,-461.0,309.0,-205.0,1.0,-7659.0,-10124.0,-3788.0,-9642.0,0.0,1.0,0.0,23.0,13.0,-4.0,-14.0,1.0,2.1457672119140625e-06
1,-461.0,309.0,-205.0,1.0,-7659.0,-10124.0,-3788.0,-9642.0,-1.0,-4.0,-9.0,-46.0,-42.0,-10.0,-22.0,-5.0,0.0024547576904296875
2,-461.0,309.0,-205.0,1.0,-7659.0,-10124.0,-3788.0,-9642.0,0.0,-3.0,-3.0,-19.0,-11.0,-1.0,6.0,-1.0,0.005082368850708008
3,-461.0,309.0,-205.0,1.0,-7659.0,-10124.0,-3788.0,-9642.0,1.0,2.0,2.0,11.0,-15.0,8.0,9.0,1.0,0.007949590682983398
4,-461.0,309.0,-205.0,1.0,-7659.0,-10124.0,-3788.0,-9642.0,-1.0,-1.0,2.0,17.0,-12.0,-3.0,-1.0,-1.0,0.01024937629699707
5,-461.0,309.0,-205.0,1.0,-7659.0,-10124.0,-3788.0,-9642.0,1.0,1.0,-4.0,-24.0,11.0,0.0,-3.0,1.0,0.012470006942749023
6,-686.0,164.0,-186.0,1.0,-7870.0,-9911.0,-3772.0,-9699.0,1.0,1.0,-4.0,-24.0,11.0,0.0,-3.0,1.0,0.01449131965637207
7,-686.0,164.0,-186.0,1.0,-7870.0,-9911.0,-3772.0,-9699.0,-1.0,2.0,0.0,95.0,16.0,3.0,2.0,-1.0,0.01658773422241211
8,-686.0,164.0,-186.0,1.0,-7870.0,-9911.0,-3772.0,-9699.0,2.0,2.0,8.0,9.0,75.0,12.0,7.0,5.0,0.019446849822998047
9,-842.0,156.0,-120.0,1.0,-7993.0,-9796.0,-3735.0,-9730.0,2.0,2.0,8.0,9.0,75.0,12.0,7.0,5.0,0.021512269973754883
10,-842.0,156.0,-120.0,1.0,-7993.0,-9796.0,-3735.0,-9730.0,-5.0,-12.0,-32.0,-94.0,-97.0,-27.0,-8.0,-5.0,0.02363300323486328
11,-842.0,156.0,-120.0,1.0,-7993.0,-9796.0,-3735.0,-9730.0,-5.0,-8.0,-16.0,38.0,-26.0,-15.0,-9.0,-3.0,0.02541184425354004
12,-952.0,196.0,-31.0,1.0,-8109.0,-9678.0,-3681.0,-9772.0,-5.0,-8.0,-16.0,38.0,-26.0,-15.0,-9.0,-3.0,0.027156352996826172
13,-952.0,196.0,-31.0,1.0,-8109.0,-9678.0,-3681.0,-9772.0,2.0,3.0,4.0,30.0,93.0,18.0,6.0,1.0,0.029186248779296875
14,-952.0,196.0,-31.0,1.0,-8109.0,-9678.0,-3681.0,-9772.0,-4.0,-8.0,-10.0,-40.0,-40.0,-9.0,-2.0,-5.0,0.03135800361633301
15,-1227.0,188.0,57.0,1.0,-8237.0,-9547.0,-3586.0,-9829.0,-4.0,-8.0,-10.0,-40.0,-40.0,-9.0,-2.0,-5.0,0.03338336944580078
16,-1227.0,188.0,57.0,1.0,-8237.0,-9547.0,-3586.0,-9829.0,-1.0,-1.0,6.0,39.0,28.0,3.0,1.0,0.0,0.035494089126586914
17,-1227.0,188.0,57.0,1.0,-8237.0,-9547.0,-3586.0,-9829.0,0.0,5.0,13.0,33.0,40.0,10.0,5.0,2.0,0.037247419357299805
18,-1701.0,69.0,64.0,1.0,-8405.0,-9386.0,-3404.0,-9907.0,0.0,5.0,13.0,33.0,40.0,10.0,5.0,2.0,0.03897881507873535
19,-1701.0,69.0,64.0,1.0,-8405.0,-9386.0,-3404.0,-9907.0,0.0,4.0,9.0,-14.0,17.0,5.0,-2.0,0.0,0.04082465171813965
20,-1701.0,69.0,64.0,1.0,-8405.0,-9386.0,-3404.0,-9907.0,-3.0,-2.0,1.0,13.0,-14.0,-2.0,1.0,-1.0,0.04266214370727539
