,Gyro 0,Gyro 1,Gyro 2,Orientation 0,Orientation 1,Orientation 2,Orientation 3,Sensor 0,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Timestamp
0,123.0,-41.0,-10.0,-8479.0,3791.0,6026.0,-12077.0,2.0,1.0,7.0,0.0,3.0,-1.0,-8.0,0.0,1.0251998901367188e-05
1,123.0,-41.0,-10.0,-8479.0,3791.0,6026.0,-12077.0,-23.0,2.0,-2.0,7.0,0.0,2.0,1.0,-5.0,0.002274036407470703
2,123.0,-41.0,-10.0,-8479.0,3791.0,6026.0,-12077.0,-20.0,-6.0,-4.0,1.0,1.0,-2.0,-4.0,-7.0,0.0050258636474609375
3,7.0,-54.0,-27.0,-8480.0,3782.0,6032.0,-12077.0,-20.0,-6.0,-4.0,1.0,1.0,-2.0,-4.0,-7.0,0.00757598876953125
4,7.0,-54.0,-27.0,-8480.0,3782.0,6032.0,-12077.0,0.0,-4.0,2.0,6.0,-1.0,-4.0,-1.0,-2.0,0.009615659713745117
5,-5.0,-37.0,-27.0,-8479.0,3780.0,6040.0,-12074.0,0.0,-4.0,2.0,6.0,-1.0,-4.0,-1.0,-2.0,0.011575698852539062
6,-5.0,-37.0,-27.0,-8479.0,3780.0,6040.0,-12074.0,4.0,2.0,8.0,0.0,-2.0,-2.0,-16.0,2.0,0.013769388198852539
7,-5.0,-37.0,-27.0,-8479.0,3780.0,6040.0,-12074.0,-5.0,-1.0,-3.0,-4.0,-3.0,-6.0,-55.0,-4.0,0.015732526779174805
8,7.0,-32.0,-23.0,-8478.0,3777.0,6046.0,-12072.0,-5.0,-1.0,-3.0,-4.0,-3.0,-6.0,-55.0,-4.0,0.017507314682006836
9,7.0,-32.0,-23.0,-8478.0,3777.0,6046.0,-12072.0,22.0,-5.0,3.0,14.0,4.0,-4.0,-7.0,12.0,0.019783496856689453
10,7.0,-32.0,-23.0,-8478.0,3777.0,6046.0,-12072.0,28.0,2.0,-1.0,2.0,-5.0,0.0,6.0,8.0,0.02185988426208496
11,27.0,-25.0,-9.0,-8477.0,3773.0,6048.0,-12073.0,28.0,2.0,-1.0,2.0,-5.0,0.0,6.0,8.0,0.02375960350036621
12,27.0,-25.0,-9.0,-8477.0,3773.0,6048.0,-12073.0,-6.0,-3.0,0.0,-9.0,-4.0,-3.0,1.0,-6.0,0.025682926177978516
13,27.0,-25.0,-9.0,-8477.0,3773.0,6048.0,-12073.0,0.0,5.0,-4.0,0.0,1.0,-1.0,9.0,0.0,0.027421236038208008
14,45.0,-11.0,-14.0,-8478.0,3771.0,6044.0,-12075.0,0.0,5.0,-4.0,0.0,1.0,-1.0,9.0,0.0,0.029224395751953125
15,45.0,-11.0,-14.0,-8478.0,3771.0,6044.0,-12075.0,7.0,1.0,-14.0,-5.0,-1.0,3.0,12.0,6.0,0.03099989891052246
16,86.0,-1.0,-24.0,-8484.0,3763.0,6032.0,-12079.0,7.0,1.0,-14.0,-5.0,-1.0,3.0,12.0,6.0,0.03273129463195801
17,86.0,-1.0,-24.0,-8484.0,3763.0,6032.0,-12079.0,-4.0,-2.0,9.0,-7.0,-4.0,1.0,19.0,-6.0,0.034662723541259766
18,86.0,-1.0,-24.0,-8484.0,3763.0,6032.0,-12079.0,-13.0,-2.0,-20.0,-36.0,-3.0,-2.0,-1.0,-6.0,0.03678441047668457
19,9.0,-3.0,-11.0,-8484.0,3763.0,6032.0,-12080.0,-13.0,-2.0,-20.0,-36.0,-3.0,-2.0,-1.0,-6.0,0.03869056701660156
20,9.0,-3.0,-11.0,-8484.0,3763.0,6032.0,-12080.0,-7.0,-8.0,-10.0,-4.0,0.0,-3.0,-30.0,-4.0,0.04050731658935547
21,9.0,-3.0,-11.0,-8484.0,3763.0,6032.0,-12080.0,-5.0,0.0,4.0,-13.0,-3.0,4.0,17.0,10.0,0.042266845703125
22,18.0,16.0,-16.0,-8489.0,3760.0,6029.0,-12078.0,-5.0,0.0,4.0,-13.0,-3.0,4.0,17.0,10.0,0.043985605239868164
23,18.0,16.0,-16.0,-8489.0,3760.0,6029.0,-12078.0,-4.0,-1.0,-9.0,-4.0,1.0,0.0,30.0,0.0,0.045789241790771484
24,18.0,16.0,-16.0,-8489.0,3760.0,6029.0,-12078.0,-22.0,-3.0,11.0,9.0,2.0,5.0,24.0,-1.0,0.04748201370239258
25,48.0,12.0,-23.0,-8495.0,3756.0,6020.0,-12080.0,-22.0,-3.0,11.0,9.0,2.0,5.0,24.0,-1.0,0.04922676086425781
26,48.0,12.0,-23.0,-8495.0,3756.0,6020.0,-12080.0,4.0,0.0,-4.0,6.0,1.0,5.0,9.0,6.0,0.051061153411865234
27,48.0,12.0,-23.0,-8495.0,3756.0,6020.0,-12080.0,8.0,8.0,39.0,17.0,-3.0,5.0,39.0,2.0,0.052776336669921875
28,97.0,-12.0,-22.0,-8501.0,3746.0,6005.0,-12087.0,8.0,8.0,39.0,17.0,-3.0,5.0,39.0,2.0,0.05450034141540527
29,97.0,-12.0,-22.0,-8501.0,3746.0,6005.0,-12087.0,-13.0,-1.0,7.0,-3.0,1.0,2.0,33.0,0.0,0.0562894344329834
30,97.0,-12.0,-22.0,-8501.0,3746.0,6005.0,-12087.0,10.0,2.0,-12.0,4.0,1.0,-4.0,-12.0,-6.0,0.05805039405822754
31,65.0,-56.0,-11.0,-8499.0,3735.0,5997.0,-12095.0,10.0,2.0,-12.0,4.0,1.0,-4.0,-12.0,-6.0,0.05974149703979492
32,65.0,-56.0,-11.0,-8499.0,3735.0,5997.0,-12095.0,6.0,-2.0,4.0,-4.0,-1.0,2.0,-25.0,18.0,0.061537981033325195
33,65.0,-56.0,-11.0,-8499.0,3735.0,5997.0,-12095.0,0.0,-3.0,0.0,0.0,4.0,10.0,-5.0,-10.0,0.06322169303894043
34,94.0,-75.0,-7.0,-8499.0,3716.0,5992.0,-12104.0,0.0,-3.0,0.0,0.0,4.0,10.0,-5.0,-10.0,0.0649871826171875
35,94.0,-75.0,-7.0,-8499.0,3716.0,5992.0,-12104.0,0.0,-4.0,-19.0,-36.0,-7.0,-11.0,-47.0,-17.0,0.06680536270141602
